Doculect1	Doculect2	SharedCognateCount
AOMNgun2	NNBBuu3	40
AOMNgun2	NSFBiya5	98
AOMNgun2	NUNMunken4	96
AOMNgun2	NVBAbar7	99
AOMNgun2	NVIAjumbu1	27
AOMNgun2	TELKoshin4	24
AOMNgun2	TNTMunken2	91
AOMNgun2	WCANgun1	111
AOMNgun2	ZKGKung1	18
APBMumfu1	BAAMashi4	32
APBMumfu1	BKBMashi2	30
APBMumfu1	BNMKung2	12
APBMumfu1	CENMundabli2	99
APBMumfu1	DNMMumfu2	99
APBMumfu1	DPJKoshin1	11
APBMumfu1	DPNFang13	45
APBMumfu1	ECLAbar8	13
APBMumfu1	ENBBiya1	12
APBMumfu1	FBCBiya8	14
APBMumfu1	ICNBiya2	11
APBMumfu1	JGYKoshin3	45
APBMumfu1	KBMNgun4	13
APBMumfu1	KCSKung3	16
APBMumfu1	KCYBuu2	43
APBMumfu1	KDCAjumbu10	27
APBMumfu1	KDVFang1	33
APBMumfu1	KEMBuu1	44
APBMumfu1	KFKMashi1	32
APBMumfu1	KHKFang12	44
APBMumfu1	KJSFang2	33
APBMumfu1	KMNAjumbu2	27
APBMumfu1	LFNMundabli1	102
APBMumfu1	MCANgun3	14
APBMumfu1	MEAMumfu3	104
APBMumfu1	MNJBuu4	47
APBMumfu1	MRYKoshin2	26
APBMumfu1	NACAbar2	13
APBMumfu1	NCCMumfu4	108
APBMumfu1	NCMMashi5	31
APBMumfu1	NDNMissong5	22
APBMumfu1	NEAMunken1	14
APBMumfu1	NEMAjumbu9	30
APBMumfu1	NFKBiya7	15
APBMumfu1	NGTMunken3	16
APBMumfu1	NINMundabli4	98
APBMumfu1	NJNBiya6	16
APBMumfu1	NJSKung4	16
APBMumfu1	NMAAbar1	12
APBMumfu1	NMNMundabli3	100
APBMumfu1	NMSMissong4	20
APBMumfu1	NNBBuu3	46
APBMumfu1	NSFBiya5	15
APBMumfu1	NUNMunken4	13
APBMumfu1	NVBAbar7	13
APBMumfu1	NVIAjumbu1	26
APBMumfu1	TELKoshin4	44
APBMumfu1	TNTMunken2	13
APBMumfu1	WCANgun1	14
APBMumfu1	ZKGKung1	13
BAAMashi4	BKBMashi2	113
BAAMashi4	BNMKung2	20
BAAMashi4	CENMundabli2	33
BAAMashi4	DNMMumfu2	30
