Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ɪ̃̀	ɪ̃ ¹			
ɪ̀	ɪ ¹			
ɪ̌	ɪ ¹⁵			
ɪ	ɪ ³			
ɪ̃̄	ɪ̃ ³			
ɪ̄	ɪ ³			
ɪ̃́	ɪ̃ ⁵			
ɪ́	ɪ ⁵			
ɪ̃̂	ɪ̃ ⁵¹			
ɪ̂	ɪ ⁵¹			
ɪ᷇	ɪ ⁵³			
ɪ̀ː	ɪ ¹			
ɪ̃̀ː	ɪ̃ː ¹			
ɪ̌ː	ɪː ¹⁵			
ɪ̃̌ː	ɪ̃ː ¹⁵			
ɪ̃ː	ɪ̃ː ³			
ɪ̄ː	ɪː ³			
ɪ̃́ː	ɪ̃ː ⁵			
ɪ́ː	ɪː ⁵			
ɪ̂ː	ɪː ⁵¹			
ɪ̃̂ː	ɪ̃ː ⁵¹			
ɪ᷇ː̄	ɪː ⁵³			
ɪ᷇ː	ɪː ⁵³			
ɪ́ⁱ	ɪ ⁵			
ɪ᷇ʲː	ɪː ⁵³			
ɨ̀	ɨ ¹			
ɨ̃̀	ɨ̃ ¹			
ɨ̏	ɨ ¹			
ɨ̌	ɨ ¹⁵			
ɨ	ɨ ³			
ɨ̄	ɨ ³			
ɨ́	ɨ ⁵			
ɨ̃́	ɨ̃ ⁵			
ɨ̂	ɨ ⁵¹			
ɨ̃̂	ɨ̃ ⁵¹			
ɨ̀ː	ɨː ¹			
ɨ̌ː	ɨː ¹⁵			
ɨ́ː	ɨː ⁵			
ɨ̄᷇ː	ɨː ⁵³			
ɨ᷇ː	ɨː ⁵³			
j	j			
ʲ	j			
ᵏ	k			
K	k			
k	k			
kᶠ	kʰ			
kʲ	kʲ			
kp	kp			
kpʳʷ	kpʳʷ			
kpʷ	kpʷ			
kʷ	kʷ			
kx	kx			
kˣ	kx			
ƙ	q			
l	l			
lː	l			
m̩	m			
ṃ	m			
m	m			
̀m	m ¹			
m̀	m ¹			
m̩̀	m ¹			
m̄	m ³			
m̩̄	m ³			
ṃ̄	m ³			
ḿ	m ⁵			
ḿ̩	m ⁵			
ḿ̩̩	m ⁵			
m̂	m ⁵¹			
M	ɱ			
mʷ	mʷ			
ɱ	ɱ			
ɱ̀	ɱ ¹			
ⁿ	n			
N	n			
n̩	n			
ṇ	n			
n	n			
Ǹ	n ¹			
ǹ̩	n ¹			
ǹ	n ¹			
n̄	n ³			
ṇ̄	n ³			
ń	n ⁵			
ń̩	n ⁵			
N̂	n ⁵¹			
Ń	n ⁵			
ⁿb	ⁿb			
ⁿbʷ	ⁿbʷ			
ⁿd	ⁿd			
ⁿdʷ	ⁿdʷ			
ⁿt	ⁿt			
nʷ	nʷ			
ɲ	ɲ			
ɲ̀	ɲ ¹			
ɲ̄	ɲ ³			
ɲ́	ɲ ⁵			
ɲⁱ	ɲʲ			
ɲʲ	ɲʲ			
ɲʷ	ɲʷ			
ᶇ	ŋ			
ɳ	ɳ			
Ŋ	ŋ			
ŋ̃	ŋ			
ŋ̩	ŋ			
ŋ	ŋ			
ŋ̩̀	ŋ ¹			
ŋ̀	ŋ ¹			
ŋ̄	ŋ ³			
ŋ̄̀	ŋ ³¹			
ŋ́	ŋ ⁵			
ŋ̩́	ŋ ⁵			
ŋ̈	ŋˤ			
ŋm̀	ŋ m ¹			
ŋm	ŋm			
ŋmʷ	ŋmʷ			
ŋʃʲ	ŋ ʃʲ			
ŋʷ	ŋʷ			
õ̀	õ ¹			
ø̀	ø ¹			
ò	o ¹			
õ̌	õ ¹⁵			
ø̌	ø ¹⁵			
ǒ	o ¹⁵			
o	o ³			
ȭ	õ ³			
ø	ø ³			
ø̄	ø ³			
ō	o ³			
ő	o ⁵			
ṍ	õ ⁵			
ǿ	ø ⁵			
ó	o ⁵			
o᷇	o ⁵			
õ̂	õ ⁵¹			
ø̂	ø ⁵¹			
ô	o ⁵¹			
ø᷇	ø ⁵³			
ø̀ː	øː ¹			
òː	oː ¹			
õ̌ː	õː ¹⁵			
ǒː	oː ¹⁵			
oː	oː ³			
ȭː	õː ³			
ōː	oː ³			
ṍː	õː ⁵			
ǿː	øː ⁵			
ø̂ː	øː ⁵			
óː	oː ⁵			
ôː	oː ⁵¹			
õ᷇ː	õː ⁵³			
ø᷇ː	øː ⁵³			
ø᷇᷇ː	øː ⁵³			
o᷇ː	oː ⁵³			
œ̀	œ ¹			
œ̏	œ ¹			
œ̌	œ ¹⁵			
œ	œ ³			
œ̄	œ ³			
œ́	œ ⁵			
œ̂	œ ⁵¹			
œ̃᷇	œ̃ ⁵³			
œ᷇	œ ⁵³			
œ̀ː	œː ¹			
œ̌ː	œː ¹⁵			
œ̄ː	œː ³			
œ́ː	œː ⁵			
œ̂ː	œː ⁵¹			
œ᷇ː	œː ⁵³			
óő	oː ⁴⁵			
ɔ̃̀	ɔ̃ ¹			
ɔ̀	ɔ ¹			
ɔ̌	ɔ ¹⁵			
ɔ̃̌	ɔ̃ ¹⁵			
ɔ	ɔ ³			
ɔ̃̄	ɔ̃ ³			
ɔ̄	ɔ ³			
ɔ́	ɔ ⁵			
ɔ̋	ɔ ⁵			
ɔ̃́	ɔ̃ ⁵			
ɔ̂	ɔ ⁵¹			
ɔ̃̂	ɔ̃ ⁵¹			
ɔ᷇	ɔ ⁵³			
ɔ̀ː	ɔː ¹			
ɔ̌ː	ɔː ¹⁵			
