Concept	NumDoculects	Pct
fourty (40)	26	0.49
he/she	26	0.49
husband	26	0.49
kernel oil	26	0.49
kernel shell (bark)	26	0.49
knowledge	26	0.49
laugh (n)	26	0.49
lower grinding stone	26	0.49
mist, fog	26	0.49
mosquito	26	0.49
mud	26	0.49
nail	26	0.49
nine (9)	26	0.49
nineteen (19)	26	0.49
ninety (90)	26	0.49
odour (n)	26	0.49
oil chaff	26	0.49
one (1)	26	0.49
one hundred (100)	26	0.49
one thousand (1000)	26	0.49
orange	26	0.49
pawpaw	26	0.49
pear	26	0.49
rib	26	0.49
rice	26	0.49
ringworm	26	0.49
seven (7)	26	0.49
seventeen (17)	26	0.49
seventy (70)	26	0.49
sheath	26	0.49
six (6)	26	0.49
sixteen (16)	26	0.49
sixty (60)	26	0.49
skin	26	0.49
snail	26	0.49
soup	26	0.49
spit	26	0.49
tears	26	0.49
ten (10)	26	0.49
they	26	0.49
thief	26	0.49
thirteen (13)	26	0.49
thirty (30)	26	0.49
three (3)	26	0.49
throat	26	0.49
toe	26	0.49
twelve (12)	26	0.49
twenty (20)	26	0.49
twenty four (24)	26	0.49
twenty one (21)	26	0.49
twenty three (23)	26	0.49
twenty two (22)	26	0.49
two (2)	26	0.49
two hundred (200)	26	0.49
two thousand (2000)	26	0.49
urine	26	0.49
village	26	0.49
we (inc)	26	0.49
wine (palm, raffia)	26	0.49
witch	26	0.49
woman	26	0.49
wound	26	0.49
you (pl)	26	0.49
you (sg)	26	0.49
back (human body)	25	0.47
beggar	25	0.47
brick	25	0.47
bundle (n)	25	0.47
chin	25	0.47
cockroach (house)	25	0.47
door (lid)	25	0.47
elbow	25	0.47
farm house (corn storage)	25	0.47
fingernail	25	0.47
foam	25	0.47
gossip (n)	25	0.47
huckleberry (njamanjama)	25	0.47
laziness	25	0.47
maggot	25	0.47
mortar	25	0.47
palm beetle	25	0.47
pus	25	0.47
quarrel (n)	25	0.47
river	25	0.47
scabies	25	0.47
sleep	25	0.47
spear	25	0.47
thumb	25	0.47
twin	25	0.47
white man	25	0.47
wife	25	0.47
witch man	25	0.47
world	25	0.47
ankle rattle (men)	24	0.45
ask	24	0.45
baby	24	0.45
beat	24	0.45
belch	24	0.45
black man	24	0.45
boil (abscess)	24	0.45
box	24	0.45
burn (trans)	24	0.45
buy	24	0.45
catch (run)	24	0.45
come	24	0.45
cook	24	0.45
count (v)	24	0.45
cowpea bean	24	0.45
cry (v)	24	0.45
die (v)	24	0.45
dig	24	0.45
drink (v)	24	0.45
duck	24	0.45
earthworm	24	0.45
eat	24	0.45
face	24	0.45
fall	24	0.45
fight (v)	24	0.45
firewood	24	0.45
give; offer	24	0.45
go	24	0.45
ground (soil)	24	0.45
grow	24	0.45
handle	24	0.45
hawk	24	0.45
headache	24	0.45
honey bee	24	0.45
jump	24	0.45
kill	24	0.45
laugh (v)	24	0.45
liver	24	0.45
nostril	24	0.45
pain (n)	24	0.45
palm frond	24	0.45
pestle (cocoyam)	24	0.45
rock	24	0.45
run	24	0.45
sell	24	0.45
shoulder	24	0.45
sole (underfoot)	24	0.45
take	24	0.45
talking drum	24	0.45
thank (n)	24	0.45
thatch grass	24	0.45
tie (bag)	24	0.45
tobacco pipe	24	0.45
trouble (n)	24	0.45
valley	24	0.45
vomit	24	0.45
waist	24	0.45
walk	24	0.45
wear	24	0.45
yellow soup	24	0.45
ankle	23	0.43
beg (n)	23	0.43
belt	23	0.43
box rattle (zinc)	23	0.43
branch (tree)	23	0.43
burn (intrans) 1	23	0.43
calabash (wine share)	23	0.43
country	23	0.43
finger	23	0.43
fireside stone	23	0.43
fist	23	0.43
flute	23	0.43
gall bladder	23	0.43
hut	23	0.43
kernel (uncracked)	23	0.43
land	23	0.43
law (n)	23	0.43
leg	23	0.43
man	23	0.43
milk	23	0.43
musical pipe	23	0.43
pen	23	0.43
pestle (fufu)	23	0.43
rat mole	23	0.43
salt calabash	23	0.43
slave	23	0.43
thongs	23	0.43
upper grinding stone	23	0.43
wicked man	23	0.43
wind	23	0.43
anus	22	0.42
brain	22	0.42
breath 2	22	0.42
butterfly	22	0.42
clitoris	22	0.42
cooking spoon	22	0.42
crab (cast lots)	22	0.42
guard	22	0.42
heaven	22	0.42
hienia (swellings around groin)	22	0.42
kernel chaff	22	0.42
knitting pin	22	0.42
mat (soft plant  tissue)	22	0.42
palm (hand)	22	0.42
palm cone	22	0.42
poison	22	0.42
shin	22	0.42
slimy soup	22	0.42
staff (walk support)	22	0.42
stingy man	22	0.42
suffer (n)	22	0.42
viper	22	0.42
weaver bird	22	0.42
wicklow	22	0.42
wrist	22	0.42
bush (owner)	21	0.4
calf (leg)	21	0.4
carpenter bee	21	0.4
chair (carved)	21	0.4
clay	21	0.4
cloud	21	0.4
cocoyam (native)	21	0.4
death	21	0.4
elephant	21	0.4
goitre	21	0.4
heel (backfoot)	21	0.4
indian bamboo	21	0.4
knuckle	21	0.4
lice	21	0.4
male	21	0.4
mbanga soup	21	0.4
mountain	21	0.4
partridge (red legs)	21	0.4
peace plant	21	0.4
raffia	21	0.4
soup dish	21	0.4
spleen (side belly pain)	21	0.4
stream	21	0.4
swell (n)	21	0.4
umbilical cord	21	0.4
wasp (house, black)	21	0.4
wickedness	21	0.4
centipede	20	0.38
cocoyam (egg yolk)	20	0.38
cocoyam leaf (soup)	20	0.38
cowpea leaf	20	0.38
fireside stone support	20	0.38
forehead	20	0.38
fruit fly	20	0.38
gauze	20	0.38
kite	20	0.38
lie (n), false (n)	20	0.38
meat	20	0.38
net	20	0.38
placenta	20	0.38
planting basket	20	0.38
praying mantis	20	0.38
shoe	20	0.38
skull	20	0.38
spoon (vegetables)	20	0.38
trough, (cocoyam, cow)	20	0.38
wall (house)	20	0.38
ant	19	0.36
clock	19	0.36
cold (air)	19	0.36
diarrhoea	19	0.36
eczema	19	0.36
frog (edible)	19	0.36
fufu dish	19	0.36
iron	19	0.36
open	19	0.36
palm maggot (grub)	19	0.36
partridge (non red legs)	19	0.36
piano (bamboo)	19	0.36
pillar	19	0.36
roof	19	0.36
scar	19	0.36
spirit	19	0.36
stinginess (n)	19	0.36
wall shelf	19	0.36
white neck hawk	19	0.36
woven dish	19	0.36
Adam's apple	18	0.34
build (house)	18	0.34
calcium carbonate (kangwa)	18	0.34
chameleon	18	0.34
clay pot (fufu)	18	0.34
crowd, group	18	0.34
gecko	18	0.34
hot, heat (solid)	18	0.34
leprosy	18	0.34
lungs	18	0.34
scorpion	18	0.34
shave head(razor)	18	0.34
thing	18	0.34
vomit matter	18	0.34
watch	18	0.34
Senegalese kucal (time bird)	17	0.32
aerial yam	17	0.32
branch (of the road)	17	0.32
calabash (ball)	17	0.32
child calabash	17	0.32
cold (solid)	17	0.32
date palm	17	0.32
door (space)	17	0.32
father-in-law	17	0.32
jealousy	17	0.32
meat slate	17	0.32
oath (n)	17	0.32
oil mill	17	0.32
raffia fibre	17	0.32
ridge (bed-farm)	17	0.32
soot	17	0.32
spine (backbone)	17	0.32
spring	17	0.32
tapping knife	17	0.32
buffalo (bush cow)	16	0.3
calabash (long neck)	16	0.3
canoe	16	0.3
cliff	16	0.3
coarse flour (kende)	16	0.3
coffin	16	0.3
empty palm cone	16	0.3
fruit	16	0.3
green snake	16	0.3
groundnut basket	16	0.3
hot, heat (air)	16	0.3
hunt (v)	16	0.3
long mouth rat	16	0.3
male lizard (red head)	16	0.3
palm broom	16	0.3
piano (string)	16	0.3
pipe	16	0.3
pregnancy	16	0.3
ram	16	0.3
slimy soup dish	16	0.3
swamp	16	0.3
think	16	0.3
wooden dish	16	0.3
ascaris (stomach worm)	15	0.28
bamboo rattle	15	0.28
clay pot (soup)	15	0.28
earth	15	0.28
fungi pimple	15	0.28
grasshopper (mongwin)	15	0.28
iron trap	15	0.28
line (n)	15	0.28
mudfish	15	0.28
needle	15	0.28
palm bamboo	15	0.28
palm cotton	15	0.28
pepper stone	15	0.28
pimple	15	0.28
pumpkin fruit	15	0.28
quarter	15	0.28
raffia fruit	15	0.28
rainy season	15	0.28
rhizome fruit (hill lilly)	15	0.28
seedling (planting seeds)	15	0.28
skin rashes (baby)	15	0.28
tobacco leaf	15	0.28
twin calabash	15	0.28
uncle	15	0.28
aged person	14	0.26
calabash (no hole)	14	0.26
cane	14	0.26
dragonfly	14	0.26
funnel	14	0.26
hunger	14	0.26
juju	14	0.26
locust	14	0.26
screech owl	14	0.26
soup (liquid)	14	0.26
soup (vegetable)	14	0.26
spear grass	14	0.26
tobacco powder	14	0.26
twine	14	0.26
two head snake (human)	14	0.26
baboon	13	0.25
basket (visit, feast)	13	0.25
cane rat	13	0.25
clock bird	13	0.25
co-wife	13	0.25
egussi pudding	13	0.25
garri	13	0.25
groundnut pudding	13	0.25
injunction order	13	0.25
inner palm nuts (cone)	13	0.25
k. o cricket	13	0.25
letter	13	0.25
mother-in-law	13	0.25
oil chaff sieve	13	0.25
palm barren fruit	13	0.25
palm flower	13	0.25
pap spoon	13	0.25
rhizome fruit (valley lilly)	13	0.25
road junction	13	0.25
wood pecker	13	0.25
dysentry	12	0.23
frog (smooth back)	12	0.23
hunger (n)	12	0.23
measurement	12	0.23
pumpkin leaf	12	0.23
saucer (calabash)	12	0.23
shell (snail)	12	0.23
swallow (food)	12	0.23
swear (n)	12	0.23
bicycle	11	0.21
calabash (peace plant)	11	0.21
cup sieve	11	0.21
faxed pillar	11	0.21
horn trumpet	11	0.21
kingfisher	11	0.21
lizard (smooth skin)	11	0.21
marrow	11	0.21
mat (bamboo splint)	11	0.21
messenger	11	0.21
month	11	0.21
sub chief	11	0.21
tyre (car)	11	0.21
bedbug	10	0.19
door (frame)	10	0.19
egussi uncracked	10	0.19
female lizard (brown)	10	0.19
lazy man	10	0.19
lion	10	0.19
meat mat	10	0.19
stripped rat	10	0.19
tiger	10	0.19
dish	9	0.17
door (lid/space)	9	0.17
electric fish	9	0.17
female	9	0.17
money	9	0.17
native maggi spice	9	0.17
tatoo	9	0.17
egussi cracked	8	0.15
jealous man	8	0.15
laughter	8	0.15
robe	8	0.15
spoon (calabash)	8	0.15
tadpole	8	0.15
bell	7	0.13
clay pot	7	0.13
doorway (space)	7	0.13
k.o tree (leaf)	7	0.13
leopard	7	0.13
mbanga soup fish	7	0.13
stem	7	0.13
build (bridge)	6	0.11
chair (bamboo)	6	0.11
cold	6	0.11
guitar	6	0.11
hanged ceiling	6	0.11
heat (fufu)	6	0.11
hunter	6	0.11
market	6	0.11
razor blade	6	0.11
roast (corn)	6	0.11
shave (scissors)	6	0.11
woven-tray	6	0.11
abstinence	5	0.09
bangle	5	0.09
burn (unknown)	5	0.09
bush (farm)	5	0.09
frog (variegated)	5	0.09
hunt (n)	5	0.09
k.o ant	5	0.09
marrow (brain)	5	0.09
open (pot)	5	0.09
pestle (palm nut)	5	0.09
stinginess, selfishness	5	0.09
basket (visit)	4	0.08
bush (inside)	4	0.08
calabash (wine container)	4	0.08
calabash (wine)	4	0.08
cocoyam (makabo)	4	0.08
dance (v)	4	0.08
group (cow)	4	0.08
hand rattle (cane)	4	0.08
horn trumpet (cow)	4	0.08
indian-bamboo	4	0.08
k.o cap	4	0.08
marrow (bone)	4	0.08
meat-gauze	4	0.08
roast	4	0.08
tapping pipe	4	0.08
time	4	0.08
tunic	4	0.08
wax (native-incense)	4	0.08
woven bowl	4	0.08
ankle rattle (women)	3	0.06
ant (black, builds a mount on a tree)	3	0.06
bamboo-piano	3	0.06
bat (largest)	3	0.06
breath 1	3	0.06
calcium carbonate (liquid)	3	0.06
clay pot (cooking fufu)	3	0.06
corn flour	3	0.06
egussi	3	0.06
fence (open, farm)	3	0.06
fence (sealed, - palace)	3	0.06
fire, gun	3	0.06
guide (v)	3	0.06
he-goat	3	0.06
k.o cocoyam	3	0.06
k.o snake (mboma)	3	0.06
k.o tree	3	0.06
lie	3	0.06
millipede	3	0.06
palm margot (yellow, destroys young palms)	3	0.06
palm thorns	3	0.06
red	3	0.06
ring	3	0.06
swallow bird	3	0.06
tarantula	3	0.06
termite mount	3	0.06
upper-grinding-stone(pepper)	3	0.06
upper-wall-shelf (inside the house)	3	0.06
vein	3	0.06
wasp (brown)	3	0.06
water duck	3	0.06
wooden spoon	3	0.06
Cocoyam (igbo)	2	0.04
Fang annual dance	2	0.04
attached-house (3 walls)	2	0.04
bark (of tree)	2	0.04
barn (corn storage)	2	0.04
basket (very big, feast)	2	0.04
bat (smallest)	2	0.04
black	2	0.04
breath, air	2	0.04
calabash (for twins)	2	0.04
calf	2	0.04
carved chair (used by chief)	2	0.04
caterpillar (edible)	2	0.04
caterpillar (variegated)	2	0.04
chair (plank)	2	0.04
clap (v)	2	0.04
clay-pot (legs)	2	0.04
cobra	2	0.04
cobweb	2	0.04
cocoyam (native, red)	2	0.04
cocoyam (slimy strands)	2	0.04
datepalm	2	0.04
dish (aluminium)	2	0.04
dish/pot (clay)	2	0.04
door	2	0.04
drum (bothside)	2	0.04
elder (palace)	2	0.04
finger abscess (wicklow)	2	0.04
flute (horizontal)	2	0.04
flute (vertical)	2	0.04
flute dance	2	0.04
friend (male)	2	0.04
graveyard	2	0.04
half	2	0.04
hand-piano	2	0.04
handle(knife), arm	2	0.04
hatred (n)	2	0.04
k.o bat	2	0.04
k.o fish	2	0.04
k.o fruit	2	0.04
k.o rat	2	0.04
k.o trap	2	0.04
k.o trap (neck trap)	2	0.04
k.o trap(rope)	2	0.04
k.o tree (brown edible leaves)	2	0.04
k.o tree (camwood tree)	2	0.04
k.o tree (spoon-fruit)	2	0.04
k.o. dance	2	0.04
lock (v)	2	0.04
lower-grinding-stone(pepper)	2	0.04
lower-pepper-stone	2	0.04
malaria	2	0.04
metal ankle rattles	2	0.04
mumps	2	0.04
native pant (men)	2	0.04
native umbrella	2	0.04
necklace (women)	2	0.04
palm cone (empty)	2	0.04
palm grub	2	0.04
palm oil	2	0.04
patches, dotted	2	0.04
pestle	2	0.04
pillar (in-house support ceiling)	2	0.04
planting basket (waist)	2	0.04
quarter head	2	0.04
ring (hand, ear)	2	0.04
rope (k.o)	2	0.04
rope (palm climbing)	2	0.04
skeleton	2	0.04
skin rasches (cause by heat)	2	0.04
sky, heaven	2	0.04
slimy soup dish (clay pot)	2	0.04
small grinding stone	2	0.04
small hand bag for male (dance)	2	0.04
small noise making grasshopper	2	0.04
small woven dish	2	0.04
song bird (early morning	2	0.04
spin (v)	2	0.04
stirring spoon (vegetables)	2	0.04
tad-pole (frog/fish)	2	0.04
tapping hoe	2	0.04
traditional regalia	2	0.04
trap (2)	2	0.04
trap (partridge)	2	0.04
twine (weaved-rope)(lap)	2	0.04
twine (woven fibre)	2	0.04
umbrella (non-native)	2	0.04
upper-pepper-stone	2	0.04
vehicle, car	2	0.04
waist beads	2	0.04
walking-staff	2	0.04
weaved rope	2	0.04
white	2	0.04
women cloth (leaves)	2	0.04
wooden dish (leg)	2	0.04
Basket (male)	1	0.02
Basket (small)	1	0.02
Beans (from Kom)	1	0.02
Calabash-rattle	1	0.02
Canoe, trough	1	0.02
Cap (native black)	1	0.02
Clay pot (father soup)	1	0.02
Clay pot (palace-wine)	1	0.02
Clay pot (soup, amulet)	1	0.02
Cone (nuts removed)	1	0.02
Cone (palmnut)	1	0.02
Flat swelling (filaria)	1	0.02
Furrow (between ridges)	1	0.02
Lizard (smallest)	1	0.02
Palm frond rope	1	0.02
Palmnut (ripe, uncracked)	1	0.02
Pipe (wine tapping)	1	0.02
Soup pestle(vegetable)	1	0.02
Wooden-dish (leg+lid)	1	0.02
Wooden-dish (yellow soup, feast)	1	0.02
amulets (for compound)	1	0.02
amulets (inclined roof)	1	0.02
ants (black, open thongs)	1	0.02
banana (native)	1	0.02
barren palm cone	1	0.02
beetle	1	0.02
big hawk (catches monkeys)	1	0.02
big termite mount	1	0.02
big woven dish	1	0.02
bite	1	0.02
boil (small abscess)	1	0.02
box (container)	1	0.02
calabash (long-neck), child, twin calabash	1	0.02
calabash (not yet perforated)	1	0.02
caterpillar (black, stings)	1	0.02
caterpillar (cylinder sticks)	1	0.02
caterpillar (for crabs)	1	0.02
caterpillar (red, yellow lines)	1	0.02
caterpillar (stings)	1	0.02
chimpanzee	1	0.02
clay pot (for cooking fufu)	1	0.02
clay-pot (big)	1	0.02
cloth-tree	1	0.02
cockroach (toilet)	1	0.02
cutlass (small)	1	0.02
discussion	1	0.02
elder (cultural initiation rites)	1	0.02
elders dance	1	0.02
evil society (nyoŋgo)	1	0.02
faeces (little)	1	0.02
fax-stick	1	0.02
female youth dance	1	0.02
fibre - palm (rope)	1	0.02
fireside stone (pot support stones)	1	0.02
fish (nose rashes)	1	0.02
flat-long-stones	1	0.02
fly (larger than normal fly)	1	0.02
friend (female)	1	0.02
front-door	1	0.02
garbage pit	1	0.02
gauze (drying meat)	1	0.02
grass-house	1	0.02
grasshopper (fattest)	1	0.02
grinding stone	1	0.02
hand (plantain) 1	1	0.02
hill grass	1	0.02
hot	1	0.02
hour	1	0.02
hut (k. o (a))	1	0.02
hut (k. o (b))	1	0.02
itching catarrh	1	0.02
join (people)	1	0.02
joint	1	0.02
juju house	1	0.02
k. o ant (yellow)	1	0.02
k.o bag (hanged)	1	0.02
k.o bee	1	0.02
k.o calabash	1	0.02
k.o calabash (ball like)	1	0.02
k.o caterpillar	1	0.02
k.o cocoyam (a)	1	0.02
k.o cocoyam (b)	1	0.02
k.o dragonfly	1	0.02
k.o female dance, female rite society	1	0.02
k.o fish (white)	1	0.02
k.o fly (slow, painful bite)	1	0.02
k.o fly (smart, bite, sucks)	1	0.02
k.o fly (sucks, compound)	1	0.02
k.o mushroom (brown)	1	0.02
k.o mushroom (small)	1	0.02
k.o mushroom (white, flat like fufu)	1	0.02
k.o mushroom (whitish)	1	0.02
k.o mushroom (yellowish)	1	0.02
k.o rope	1	0.02
k.o rope (bangle)	1	0.02
k.o song	1	0.02
k.o spear (fins)	1	0.02
k.o spear (large head)	1	0.02
k.o spear (sharp head)	1	0.02
k.o trap (a dug hole)	1	0.02
k.o tree (boma) (fruit, children spin)	1	0.02
k.o tree (boundary tree)	1	0.02
k.o tree (caterpillars for crabs)	1	0.02
lie (deceive) (v)	1	0.02
light	1	0.02
little hand bag	1	0.02
long drum	1	0.02
long neck calabash	1	0.02
male youth dance	1	0.02
moss plant	1	0.02
native cup	1	0.02
oil-sieve spoon	1	0.02
outer palm nuts	1	0.02
palace	1	0.02
palm beetle (from dead palm)	1	0.02
palm fin	1	0.02
palmnuts(cracked)	1	0.02
pestle (for fufu)	1	0.02
pot-sizing stone	1	0.02
power (n)	1	0.02
price (n)	1	0.02
prince	1	0.02
rat (bush)	1	0.02
rat (size next to rat mole)	1	0.02
rat (smallest)	1	0.02
rat (yellow abdomen)	1	0.02
red feather bird (feather on caps)	1	0.02
response	1	0.02
rope (goat)	1	0.02
sacred dance	1	0.02
sand-paper tree	1	0.02
seed (corn)	1	0.02
seed (groundnut)	1	0.02
shaving knife	1	0.02
short drum	1	0.02
side pain (rapid heart beat under the left breast)	1	0.02
slimy soup chaff	1	0.02
small drum	1	0.02
small hand bag for female (dance)	1	0.02
snake (black)	1	0.02
snake (dotted mboma)	1	0.02
snake (white, smallest)	1	0.02
sneeze	1	0.02
soil beetle (edible)	1	0.02
song bird (after rain)	1	0.02
soup-pot (clay-made)	1	0.02
sperm	1	0.02
staff (stick walk support)	1	0.02
stick1	1	0.02
stick2	1	0.02
stone trap	1	0.02
summon  (v)	1	0.02
swelling (with no pus)	1	0.02
tapping -pipe	1	0.02
tapping pipe (raffia/palm wine)	1	0.02
tapping-pipe	1	0.02
teeth	1	0.02
toenail	1	0.02
trap (inclined stone)	1	0.02
trap (rope-bone)	1	0.02
tray	1	0.02
tree beans	1	0.02
trumpet	1	0.02
twine weaved (hand)	1	0.02
vegetable spoon	1	0.02
waist-bead	1	0.02
warm	1	0.02
wasp (bush)	1	0.02
weed (v)	1	0.02
wicked heart (n)	1	0.02
wine red ant	1	0.02
wooden-dish (yellow soup, feast bitter-leaf)	1	0.02
woven dish (tray)	1	0.02
woven dish (with a lid)	1	0.02
woven-dish (flat for sieving corn flour)	1	0.02
woven-dish (for corn-fufu)	1	0.02
yard	1	0.02
young cock	1	0.02
young hen	1	0.02
young palm tree	1	0.02
zinc-house	1	0.02
ʻNkohʼ leaf	1	0.02
ʻNkohʼ tree	1	0.02
