Concept	Stability
tongue	0.9326074963
child	0.931366073
they	0.9167644759
ram	0.9156774833
give; offer	0.9097447689
sell	0.9097447689
breast	0.9094090401
knee	0.9043046424
axe	0.8931207002
grave	0.8931207002
mother	0.8776142843
bone	0.8727232608
ear	0.8596845172
thank (n)	0.85822732
navel	0.8415662359
groundnut	0.839280213
horse	0.8302504547
cry (v)	0.8230567591
box	0.8218766046
come	0.8218766046
jump	0.8218766046
nail	0.8202069453
husband	0.8191336393
hunger (n)	0.818680831
bird	0.8146494912
heart	0.8106082317
I	0.8105514178
cow, cattle	0.8084923511
talking drum	0.8061736487
song	0.8029827324
you (sg)	0.8020214735
die (v)	0.7997157373
father	0.7947238922
pear	0.7936536808
sugar cane	0.789898232
orange	0.7891124405
dish (pan)	0.7879644401
egussi uncracked	0.7826779887
count (v)	0.781895708
dig	0.781895708
rope	0.7772857833
tooth	0.7768137847
law (n)	0.7757509558
five (5)	0.7749695132
ladder	0.7735844612
hunger	0.773301784
fight (v)	0.7729856934
take	0.7729856934
war	0.7680910651
chief	0.767358255
soap	0.7640363124
sieve	0.7588305979
he/she	0.7574448888
you (pl)	0.7563822785
medicine	0.7546184661
smoke	0.7537247346
bag	0.7533715738
stone	0.7528250584
headpad	0.7525833734
deity, god, God	0.7509742461
penis	0.7502807793
cold	0.7485370014
tree	0.7484875723
pus	0.7468846511
sheep	0.7404700503
oil chaff	0.7400171974
rat	0.7399034204
gong	0.7382399097
kernel	0.7377215038
house fly	0.7364237217
thongs	0.7327983965
fence	0.7295754486
road	0.72920572
sleep	0.7287336685
hand	0.7276877419
head	0.7270275101
drink (v)	0.7270143066
arm	0.7257070871
grow	0.7223511305
laugh (v)	0.7223511305
burn (trans)	0.7206799119
three (3)	0.7203835033
amaranthus (green)	0.7200276429
cat	0.7199588897
nose	0.718580772
pumpkin fruit	0.7175996149
sand	0.7145357637
hair	0.7131887501
sub chief	0.7126608296
fowl	0.7080770611
build (house)	0.706374948
milk	0.7063197678
cock	0.7062385455
book	0.705039231
forest	0.7048387019
basket	0.7037444213
camwood	0.7005010593
tears	0.6959958505
aerial yam	0.6907780013
goat	0.6899007219
knowledge	0.6893115804
burn (unknown)	0.6890824929
dance	0.6860764741
cockroach (house)	0.684662617
umbrella	0.6840524425
spear	0.6836287604
crab	0.6829095802
go	0.6811619992
charcoal	0.6797506256
two (2)	0.6797506256
devil	0.6791770354
hailstone	0.6788727403
stomach	0.6775295908
pillar	0.6768525458
letter	0.6762049813
butterfly	0.6727314727
shoe	0.672219841
raffia bamboo	0.6693194066
cola	0.6687185222
body	0.668569729
neck	0.668569729
vagina	0.6684236307
swear (n)	0.6684144185
horn (head)	0.6670465763
nine (9)	0.6667696018
friend	0.6637915311
witch	0.6635754692
jaw	0.66307879
fire	0.6608164902
bitter leaf	0.6597711199
eat	0.6594785401
caterpillar	0.6591985147
kernel (uncracked)	0.6591868886
ridge (bed-farm)	0.6569800247
seven (7)	0.6565574857
work (n)	0.6557579008
eye	0.6553836207
place	0.6536154332
measurement	0.6508668732
farm	0.6500184035
rain	0.6479708625
tobacco	0.6474403813
dog	0.6472428366
stinginess (n)	0.6455868454
build (bridge)	0.6447546787
roast (corn)	0.6447546787
bridge	0.6447520106
faeces	0.6437302268
pumpkin leaf	0.6427655438
open	0.6399589384
seed	0.6398722936
planting basket	0.6397951064
shin	0.6381098462
juju	0.6378631565
huckleberry (njamanjama)	0.6374013059
house	0.6360902439
toilet	0.6356405749
burn (intrans) 1	0.6353757521
dust	0.6344671589
quarter	0.634114838
ridge (farm)	0.6333203962
pineapple	0.6326090637
fight (n)	0.6318977703
wine (palm, raffia)	0.6318977703
palm (hand)	0.6316965698
beat	0.630305468
four (4)	0.6302155889
wax (incense)	0.6301639681
corn	0.629754692
air	0.6286719932
grass	0.6283411305
witch man	0.628035033
firewood	0.6272275037
eight (8)	0.6266440966
calcium carbonate (kangwa)	0.6264374591
cricket	0.6259356361
cocoyam (native)	0.6251541881
carpenter bee	0.6247450823
monkey	0.6240258046
spit	0.6236159559
kill	0.6227724963
lice	0.621246723
person	0.6212298026
potato	0.6207953974
animal	0.6187011962
plantain	0.6166202732
