Variety	Concept	Stability
meru1245	cloud	0.6890824929
meru1245	count	0.6890824929
meru1245	dew	0.6890824929
meru1245	die	0.6890824929
meru1245	dog	0.6890824929
meru1245	drink	0.6890824929
meru1245	ear	0.6890824929
meru1245	egg	0.6890824929
meru1245	elephant	0.6890824929
meru1245	fat, oil	0.6890824929
meru1245	fingernail	0.6890824929
meru1245	fire	0.6890824929
meru1245	fire-wood	0.6890824929
meru1245	fish	0.6890824929
meru1245	five	0.6890824929
meru1245	fly	0.6890824929
meru1245	goat	0.6890824929
meru1245	head	0.6890824929
meru1245	hunger	0.6890824929
meru1245	knee	0.6890824929
meru1245	knife	0.6890824929
meru1245	man	0.6890824929
meru1245	mouth	0.6890824929
meru1245	name	0.6890824929
meru1245	navel	0.6890824929
meru1245	night	0.6890824929
meru1245	nose	0.6890824929
meru1245	person	0.6890824929
meru1245	rain	0.6890824929
meru1245	road	0.6890824929
meru1245	root	0.6890824929
meru1245	see	0.6890824929
meru1245	send	0.6890824929
meru1245	sing	0.6890824929
meru1245	sun	0.6890824929
meru1245	three	0.6890824929
meru1245	tree	0.6890824929
meru1245	village	0.6890824929
meru1245	vomit	0.6890824929
meru1245	war	0.6890824929
meru1245	water	0.6890824929
meru1245	wind	0.6890824929
meru1245	woman	0.6890824929
myen1241	belly	0.6890824929
myen1241	cloud	0.6890824929
myen1241	dew	0.6890824929
myen1241	dog	0.6890824929
myen1241	ear	0.6890824929
myen1241	eat	0.6890824929
myen1241	four	0.6890824929
myen1241	heart	0.6890824929
myen1241	man	0.6890824929
myen1241	one	0.6890824929
myen1241	person	0.6890824929
myen1241	see	0.6890824929
myen1241	sing	0.6890824929
myen1241	sun	0.6890824929
myen1241	ten	0.6890824929
mbos1242	ashes	0.5943609378
mbos1242	belly	0.5943609378
mbos1242	count	0.5943609378
mbos1242	ear	0.5943609378
mbos1242	feather	0.5943609378
mbos1242	fire	0.5943609378
mbos1242	goat	0.5943609378
mbos1242	ground, soil	0.5943609378
mbos1242	hair	0.5943609378
mbos1242	hear	0.5943609378
mbos1242	hunger	0.5943609378
mbos1242	iron	0.5943609378
mbos1242	one	0.5943609378
mbos1242	stone	0.5943609378
mbos1242	sun	0.5943609378
mbos1242	tail	0.5943609378
mbos1242	tree	0.5943609378
mbos1242	vomit	0.5943609378
mbos1242	war	0.5943609378
meru1245	leg	0.5943609378
swah1253	ashes	0.5943609378
swah1253	come	0.5943609378
swah1253	egg	0.5943609378
swah1253	fingernail	0.5943609378
swah1253	four	0.5943609378
swah1253	hunger	0.5943609378
swah1253	kill	0.5943609378
swah1253	knee	0.5943609378
swah1253	knife	0.5943609378
swah1253	leaf	0.5943609378
swah1253	leg	0.5943609378
swah1253	liver	0.5943609378
swah1253	mouth	0.5943609378
swah1253	name	0.5943609378
swah1253	navel	0.5943609378
swah1253	neck	0.5943609378
swah1253	road	0.5943609378
swah1253	root	0.5943609378
swah1253	salt	0.5943609378
swah1253	tail	0.5943609378
swah1253	tree	0.5943609378
swah1253	urine	0.5943609378
meru1245	belly	0.5818343399
meru1245	eye	0.5818343399
meru1245	shame	0.5818343399
myen1241	bite	0.5818343399
myen1241	count	0.5818343399
myen1241	die	0.5818343399
myen1241	fish	0.5818343399
myen1241	leaf	0.5818343399
myen1241	sand	0.5818343399
myen1241	steal	0.5818343399
mbos1242	cloud	0.5
mbos1242	leg	0.5
mbos1242	sky	0.5
mbos1242	wind	0.5
swah1253	big	0.5
swah1253	bird	0.5
swah1253	breast	0.5
swah1253	feather	0.5
swah1253	fly	0.5
swah1253	man	0.5
swah1253	rain	0.5
swah1253	spear	0.5
meru1245	burn	0.4095637167
meru1245	come	0.4095637167
meru1245	hair	0.4095637167
meru1245	hear	0.4095637167
meru1245	tongue	0.4095637167
meru1245	walk	0.4095637167
myen1241	fly	0.4095637167
myen1241	ground, soil	0.4095637167
meru1245	ashes	0.3445412465
meru1245	bark	0.3445412465
meru1245	bed	0.3445412465
meru1245	bone	0.3445412465
meru1245	eat	0.3445412465
meru1245	face	0.3445412465
meru1245	skin	0.3445412465
meru1245	sky	0.3445412465
meru1245	sleep	0.3445412465
meru1245	smoke	0.3445412465
meru1245	tail	0.3445412465
meru1245	tooth	0.3445412465
meru1245	two	0.3445412465
myen1241	burn	0.3445412465
myen1241	kill	0.3445412465
myen1241	vomit	0.3445412465
mbos1242	bone	0.25
mbos1242	sand	0.25
meru1245	snake	0.25
swah1253	fish	0.25
swah1253	know	0.25
swah1253	person	0.25
swah1253	sun	0.25
swah1253	walk	0.25
swah1253	water	0.25
swah1253	woman	0.25
meru1245	fall	0.1722706232
meru1245	feather	0.1722706232
meru1245	give	0.1722706232
meru1245	horn	0.1722706232
meru1245	kill	0.1722706232
meru1245	steal	0.1722706232
meru1245	stone	0.1722706232
myen1241	come	0.1722706232
myen1241	give	0.1722706232
myen1241	know	0.1722706232
mbos1242	road	0.0
myen1241	send	-0.0
