ID	Concept	Doculect	Value	Tokens
64	father	NACAbar2	tə̀à ~ bàbá / bə̀tə́à	t ə.¹/ə a.¹/a
65	father	NEMAjumbu9	tâː~tâːtá~tátò / bàtâːtá~bə̀tâː	t aː.⁵¹/aː
66	father	NVIAjumbu1	tsè~bâːbə́ / àtsèː~àbâbə́	ts e.¹/e
67	father	KMNAjumbu2	tsè / brǎs	ts e.¹/e
68	father	KDCAjumbu10	bâbə́~bʷâ / bə̀bâbə́~ábʷá	b a.⁵¹/a b ə.⁵/ə
69	father	NNBBuu3	tə̌ː / bə̀tǎː	t əː.¹⁵/əː
70	father	MNJBuu4	tə̌ː / bə̀tə̌ː	t əː.¹⁵/əː
71	father	KEMBuu1	tǎː / bə̀tə̌ː	t aː.¹⁵/aː
72	father	KCYBuu2	tàː / bə̀tàː	t aː.¹/aː
73	father	KHKFang12	tɪ̀lə́ / bə̀tɪ̀lə́	t ɪ.¹/ɪ l ə.⁵/ə
74	father	DPNFang13	bə̀bá / bə̀bø̂	b ə.¹/ə b a.⁵/a
75	father	JGYKoshin3	bâ / bə̀bâ	b a.⁵¹/a
76	father	TELKoshin4	tʲə̂ / bə́tʲə̂	tʲ ə.⁵¹/ə
77	father	KCSKung3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê	b ɛː.⁵¹/ɛː
78	father	NJSKung4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ	b ɛː.¹⁵/ɛː
79	father	ZKGKung1	bɛ̂ː / ɣɪ̀bɛ̂ː	b ɛː.⁵¹/ɛː
80	father	BNMKung2	pə̀pá / sə̀pə̀pá	p ə.¹/ə p a.⁵/a
81	father	NMNMundabli3	tɪ̌ː / tʲě	t ɪː.¹⁵/ɪː
82	father	CENMundabli2	tɪ̌ː / tɪ̌ː wɪ̄	t ɪː.¹⁵/ɪː
83	father	LFNMundabli1	těː / tēbó	t eː.¹⁵/eː
84	father	NINMundabli4	tjě / bə̀tjěbó	t j e.¹⁵/e
85	father	NGTMunken3	kʲə̀lə́ / bə̀kʲə̀lə́	kʲ ə.¹/ə l ə.⁵/ə
86	father	NUNMunken4	tâ / bə̀tǎː	t a.⁵¹/a
87	father	NEAMunken1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː	t aː.¹⁵/aː
88	father	TNTMunken2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː	t aː.³/aː
89	father	MCANgun3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé	p aː.¹⁵/aː
90	father	KBMNgun4	bə̀bá / bə̀bə̀bá	b ə.¹/ə b a.⁵/a
91	father	WCANgun1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé	b aː.⁵³/aː
92	father	AOMNgun2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá	b aː.⁵¹/aː
93	father	APBMumfu1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː	t a.¹⁵/a
94	father	DNMMumfu2	tā / bə̀tāːbə́	t a.³/a
95	father	BKBMashi2	bə̀bə́ / bʊ̀bə̀bə́	b ə.¹/ə b ə.⁵/ə
96	father	KFKMashi1	tʃyě / bʊ̀tʃyě	tʃ j e.¹⁵/e
97	father	ABSMissong1	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ.¹⁵/ɛ
98	father	AGAMissong2	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ.¹⁵/ɛ
99	mother	NVBAbar7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî	n a.⁵¹/a
100	mother	ECLAbar8	nɪ́jā / àné~bʷɪ̀nɪ́jā	n ɪ.⁵/ɪ j a.³/a
101	mother	NMAAbar1	néà / bə̀néà	n e.⁵/e a.¹/a
102	mother	NACAbar2	nɪ́yā / bə̀nɪ́yā	n ɪ.⁵/ɪ j a.³/a
103	mother	NEMAjumbu9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́	ɲʲ ə.⁵/ə
104	mother	NVIAjumbu1	má / nânə́ ~	m a.⁵/a
105	mother	KMNAjumbu2	mà / màs	m a.¹/a
106	mother	KDCAjumbu10	nânə́ / bə̀nânə́~ánâ	n a.⁵¹/a n ə.⁵/ə
107	mother	NNBBuu3	nâ / bə̀nâ	n a.⁵¹/a
108	mother	MNJBuu4	nɪ́ː / bə̀nɪ́	n ɪː.⁵/ɪː
109	mother	KEMBuu1	nâː / ɲí	n aː.⁵¹/aː
110	mother	KCYBuu2	nâ / bə̀nâ	n a.⁵¹/a
111	mother	KHKFang12	nɛ́ / bə̀nɛ́	n ɛ.⁵/ɛ
112	mother	DPNFang13	nɛ̂ / bə̀nɛ̂	n ɛ.⁵¹/ɛ
113	mother	JGYKoshin3	nə̂ / bə̀nə̂	n ə.⁵¹/ə
114	mother	TELKoshin4	ɲʲə́ / bə̀ɲʲə́	ɲʲ ə.⁵/ə
115	mother	MRYKoshin2	ɲʲə̄ / ø	ɲʲ ə.³/ə
116	mother	KCSKung3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ	n e.⁵¹/e ɲ
117	mother	NJSKung4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ	n e.⁵¹/e j
118	mother	ZKGKung1	nɪ̂ / ɣénɪ̂	n ɪ.⁵¹/ɪ
119	mother	BNMKung2	nè~nɪ̀ / sə́nè	n e.¹/e
120	mother	NMNMundabli3	nɪ́ / bɑ̀ɦ ~ bònɪ́	n ɪ.⁵/ɪ
121	mother	CENMundabli2	nɪ́ / nɪ́ː	n ɪ.⁵/ɪ
122	mother	LFNMundabli1	nɪ́ / nɪ́bō	n ɪ.⁵/ɪ
123	mother	NINMundabli4	nɛ́ / bə̀nɛ́bó	n ɛ.⁵/ɛ
124	mother	NGTMunken3	ɲí / bə̀ɲí	ɲ i.⁵/i
125	mother	NUNMunken4	nâ / bə̀nàâ	n a.⁵¹/a
126	mother	NEAMunken1	nǎː~na᷇ː / bə̀na᷇ː	n aː.¹⁵/aː
127	mother	TNTMunken2	nà ~ nǎ / bèɲí ~bə̀na᷇	n a.¹/a
128	mother	MCANgun3	níjā / bɛ̀nɪ́jā	n i.⁵/i j a.³/a
129	mother	KBMNgun4	níjā / bɛ̀nɪ́jā	n i.⁵/i j a.³/a
130	mother	WCANgun1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː	ɲ ɪ.⁵/ɪ s ə.¹/ə
131	mother	AOMNgun2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā	n ɪ.⁵/ɪ
132	mother	APBMumfu1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː	n.³/n n aː.³/aː
133	mother	DNMMumfu2	màmí / bə̄nâː	m a.³/a m i.⁵/i
134	mother	BKBMashi2	nî / bʊ̀nî	n i.⁵¹/i
135	mother	KFKMashi1	nî / bʊ̀nî	n i.⁵¹/i
136	mother	ABSMissong1	ɲí / bàɲí	ɲ i.⁵/i
137	mother	AGAMissong2	ɲí / bàɲí	ɲ i.⁵/i
138	man	NMAAbar1	ʊ̀nʊ̀ɲə́ŋhṍ / ána᷇ːɲə́ŋhṍ	ʊ.¹/ʊ n ʊ.¹/ʊ ɲ ə.⁵/ə ŋ h õ.⁵/õ
139	man	NACAbar2	ʊ̀nò / bə́na᷇ː	ʊ.¹/ʊ n o.¹/o
140	man	NVIAjumbu1	ŋʊ̀dzʊ̀ŋ / âdû~ànə́m	ŋ ʊ.¹/ʊ d z ʊ.¹/ʊ ŋ
141	man	KMNAjumbu2	ŋʊ̀dzʊ̀ŋ~ŋʊ̀ / âdû~ànì	ŋ ʊ.¹/ʊ d z ʊ.¹/ʊ ŋ
142	man	KDVFang1	ŋmə̀ / ŋmɪ᷇m	ŋm ə.¹/ə
143	man	KJSFang2	man, person	m a.³/a n
