Concept	Stability
trap (2)	1.0
trap (inclined stone)	1.0
trap (rope-bone)	1.0
tray	1.0
tree beans	1.0
trumpet	1.0
tunic	1.0
twine (weaved-rope)(lap)	1.0
twine (woven fibre)	1.0
twine weaved (hand)	1.0
umbrella (non-native)	1.0
upper-wall-shelf (inside the house)	1.0
vegetable spoon	1.0
vehicle, car	1.0
vein	1.0
waist-bead	1.0
walking-staff	1.0
warm	1.0
wasp (bush)	1.0
weed (v)	1.0
white	1.0
wicked heart (n)	1.0
wine red ant	1.0
wooden-dish (yellow soup, feast bitter-leaf)	1.0
woven dish (tray)	1.0
woven dish (with a lid)	1.0
woven-dish (flat for sieving corn flour)	1.0
woven-dish (for corn-fufu)	1.0
yard	1.0
young cock	1.0
young hen	1.0
young palm tree	1.0
zinc-house	1.0
ʻNkohʼ leaf	1.0
ʻNkohʼ tree	1.0
nail	0.9499635362
tie (bag)	0.9454995994
cow, cattle	0.9431007128
breast	0.9326074963
tongue	0.9326074963
child	0.931366073
mother	0.9188605575
they	0.9167644759
three (3)	0.9167644759
wine (palm, raffia)	0.9167644759
ear	0.9110469983
ask	0.9097447689
give; offer	0.9097447689
sell	0.9097447689
chief	0.9016915776
pear	0.9003993948
axe	0.8931207002
grave	0.8931207002
talking drum	0.8915694112
swear (n)	0.8845687088
bone	0.8727232608
groundnut	0.8727232608
rope	0.8695534274
bag	0.8674546379
drink (v)	0.85822732
knee	0.8571227439
head	0.8499400091
sheep	0.8481788318
book	0.8441150143
navel	0.8415662359
dish	0.8412396714
sand	0.8394301918
headpad	0.8357847814
seven (7)	0.8354987204
tears	0.8354987204
five (5)	0.8341963978
ram	0.8328588892
horse	0.8302504547
gong	0.8276027968
shoe	0.8270251926
sieve	0.8231451039
thank (n)	0.8230567591
box	0.8218766046
come	0.8218766046
jump	0.8218766046
bird	0.8215515719
husband	0.8191336393
hunger (n)	0.818680831
scabies	0.8117276852
heart	0.8106082317
I	0.8105514178
carpenter bee	0.8048875718
firewood	0.803701247
song	0.8029827324
you (sg)	0.8020214735
die (v)	0.7997157373
corn beer	0.7955007058
slave	0.7949739758
father	0.7947238922
raffia bamboo	0.794246625
hand	0.7906279011
eight (8)	0.7891124405
orange	0.7891124405
dish (pan)	0.7879644401
stone	0.7867538527
soap	0.7842741821
count (v)	0.781895708
dig	0.781895708
tooth	0.7768137847
law (n)	0.7757509558
ladder	0.7751504648
war	0.7740925735
hunger	0.773301784
take	0.7729856934
kernel	0.7715932056
fence	0.7679432003
milk	0.7598730034
fowl	0.7578265753
deity, god, God	0.7574750789
he/she	0.7574448888
cat	0.7570005937
spit	0.7563822785
you (pl)	0.7563822785
house	0.7544339182
smoke	0.7537247346
goat	0.753261448
cold	0.7485370014
pus	0.7468846511
crab	0.7409615374
oil chaff	0.7400171974
house fly	0.7399034204
grass	0.7375412057
bitter leaf	0.7372725965
leprosy	0.7367967435
neck	0.7363131325
dance	0.7342600034
thongs	0.7327983965
letter	0.7321225757
witch man	0.7321212357
kernel (uncracked)	0.7315621462
potato	0.7259663933
arm	0.7257070871
faeces	0.7252265656
laugh (v)	0.7223511305
tree	0.721499101
oil mill	0.7210818038
burn (trans)	0.7206799119
amaranthus (green)	0.7200276429
medicine	0.7192995305
nose	0.718580772
sleep	0.7177224606
pumpkin fruit	0.7175996149
hair	0.7170629053
forest	0.716728955
eye	0.7166077536
sub chief	0.7126608296
urine	0.7123609316
cry (v)	0.7107746192
stinginess (n)	0.7099805076
sugar cane	0.7081551787
build (house)	0.706374948
cock	0.7062385455
cry (n)	0.7024825289
camwood	0.7005010593
penis	0.6990976693
spear	0.6965106567
jaw	0.69537099
pillar	0.6951466166
road	0.6940068715
grow	0.6928605904
horn (head)	0.6919445505
garri	0.6918972432
knowledge	0.6893115804
abstinence	0.6890824929
burn (unknown)	0.6890824929
stinginess, selfishness	0.6890824929
dry season	0.6880501827
wax (incense)	0.6823315793
laughter	0.6818553324
name	0.6813964999
elbow	0.6809741456
two (2)	0.6797506256
death	0.6794442858
case (court) (n)	0.6792876279
devil	0.6791770354
cloth	0.6761057065
hill	0.6753602682
rain	0.6746654499
caterpillar	0.6744784595
animal	0.6736987121
butterfly	0.6727314727
dog	0.6707938905
cola	0.6687185222
vagina	0.6684236307
bat	0.6678367454
nine (9)	0.6667696018
seventeen (17)	0.6652648376
friend	0.6637915311
seed	0.6613866765
eat	0.6609383023
cricket	0.6603072693
cutlass	0.6602456118
chair	0.658398488
fight (n)	0.6580594191
ridge (bed-farm)	0.6569800247
pawpaw	0.656346118
moon	0.6563125867
corn	0.6562780936
eczema	0.6549398584
vomit	0.654312876
place	0.6536154332
box rattle (zinc)	0.6535826784
umbrella	0.6533843852
lice	0.6511136717
measurement	0.6508668732
one (1)	0.6488997566
cocoyam	0.6485728233
work (n)	0.6484034794
tobacco	0.6474403813
fire	0.6459340027
roast (corn)	0.6447546787
mat (rhizom plant)	0.6447175003
plantain	0.6444815357
family	0.6444150582
blood	0.643256452
pumpkin leaf	0.6427655438
stomach	0.6418882559
root	0.641030486
flute	0.6399638687
open	0.6399589384
planting basket	0.6397951064
palm (hand)	0.6383731446
basket	0.6382908558
shin	0.6381098462
juju	0.6378631565
huckleberry (njamanjama)	0.6374013059
dust	0.6344671589
snake	0.6341213361
palm bamboo	0.634114838
go	0.6339310371
ridge (farm)	0.6333203962
pineapple	0.6326090637
rat	0.6317130043
sun	0.6314490951
boil (abscess)	0.630305468
four (4)	0.6302155889
ten (10)	0.6302155889
leaf	0.6296588615
farm	0.6295904251
indian bamboo	0.6294307909
hoe	0.6279306303
hailstone	0.6273018377
salt	0.6264902844
calcium carbonate (kangwa)	0.6264374591
cocoyam (native)	0.6251541881
monkey	0.6246116825
kill	0.6227724963
iron	0.6217373594
pig	0.6185170509
fireside	0.6181154745
thatch grass	0.6179621606
co-wife	0.6163817258
date palm	0.6160679903
corn fufu	0.615987148
person	0.6147306089
guitar	0.6131471928
belch	0.6121301103
mouth	0.6115592705
fight (v)	0.6108672366
throat	0.6096981818
rat mole	0.6081493471
cockroach (house)	0.6081442323
world	0.6081442323
face	0.6052699352
meat slate	0.605204247
bed	0.6027315913
thing	0.6024526278
buy	0.601957222
air	0.6017088438
ringworm	0.6013092777
brick	0.599635204
belly	0.5995642254
charcoal	0.5990847637
jigger	0.5984401538
injunction order	0.5977436715
seventy (70)	0.5974854268
oil	0.5968754266
peace plant	0.596491173
cook	0.5962925118
hand rattle (cane)	0.5943609378
k.o cap	0.5943609378
wax (native-incense)	0.5943609378
tapping knife	0.5941297043
thumb	0.5935809083
tobacco pipe	0.5934524083
bridge	0.5921460779
yam	0.5920065073
elephant	0.591176428
owl	0.5898394092
eighteen (18)	0.5895827111
wife	0.5894976856
yellow soup	0.5894323366
raffia fruit	0.5892038552
fireside stone	0.5884097296
stingy man	0.5881837254
thigh (lap)	0.5881649844
groundnut basket	0.5876506324
broom	0.586507242
witch	0.5864221973
stick	0.5835135084
year	0.5834490208
palm nut	0.5822790753
bangle	0.5818343399
hunt (n)	0.5818343399
week	0.5818258378
coffin	0.5815512648
ceiling	0.5811203457
egg	0.5800063419
soldier ant	0.5797295421
knife	0.5790035346
musical pipe	0.5777066922
mist, fog	0.5775488534
viper	0.577215738
palm tree	0.5745957471
aerial yam	0.5744415878
xylophone	0.5740981653
skull	0.5736306555
snore	0.572891032
meat	0.5727741637
wall shelf	0.5704218162
scorpion	0.5692755723
waist	0.5682464233
wall (house)	0.5671027945
eighty (80)	0.5663895712
belt	0.565239785
eleven (11)	0.5647552647
ground (soil)	0.5643968037
zinc	0.5638808951
cup	0.5637535117
water	0.5634502919
skin	0.5631954386
soup (vegetable)	0.5628204322
thirteen (13)	0.5623782853
foot	0.5619035221
intestine	0.5615244169
partridge (red legs)	0.5613094792
spoon	0.561277106
cough (n)	0.561245103
duck	0.5607573331
heel (backfoot)	0.5601055456
trouble (n)	0.5593364087
sky	0.5589369544
village	0.5583669994
burn (intrans) 1	0.5579841762
beans	0.5564127554
piano (string)	0.5564006324
pap	0.5550236337
toilet	0.5544146594
spider	0.5537524482
thirty (30)	0.5533496452
fly (bird)	0.5530040603
feather	0.5524773801
chest	0.5524014696
walk	0.5521209051
trap	0.5510062389
calabash (wine share)	0.5507680573
lower grinding stone	0.5505557953
sixteen (16)	0.5505557953
crab (cast lots)	0.5481175233
quarrel (n)	0.5470434261
pepper	0.546024087
sweat	0.5455524952
mat (bamboo splint)	0.5454098137
cold (air)	0.5448374322
praying mantis	0.5439649732
river	0.5422601458
mountain	0.5420720207
lion	0.5418539922
gizzard (fowl)	0.5412371135
we (inc)	0.5409127026
woman	0.5400476744
kernel oil	0.5393615435
handle	0.538165806
hole	0.5371005019
raffia fibre	0.5356304271
gun	0.5352369036
shave head(razor)	0.5334375186
spear grass	0.5329228847
horn trumpet	0.5325273771
beat	0.531895708
quarter	0.5310176079
sole (underfoot)	0.5299789829
body	0.5294682142
roof	0.5281732321
twin	0.528035033
ash (wood)	0.5279124587
brain	0.5274684227
fist	0.5272932411
beg (n)	0.5269887253
day	0.5251039226
mat (soft plant  tissue)	0.5250340423
maggot	0.5242247077
six (6)	0.5236825934
lie (n), false (n)	0.5231378213
fish	0.5213094475
frog (edible)	0.5210435302
hunt (v)	0.5200658205
palm broom	0.5200658205
man	0.5187732585
fruit fly	0.5183870986
cap	0.517588511
foam	0.5172748281
wear	0.5162959703
funnel	0.5161021153
bottle	0.5159512258
gall bladder	0.5156717781
run	0.515535441
wingless termite	0.5147752529
banana	0.5147582729
mushroom	0.5137153513
cloud	0.5128323188
calabash	0.5124658889
centipede	0.5120939258
tobacco leaf	0.5119160496
long mouth rat	0.5117951172
story	0.5090475032
doorway (space)	0.5088674102
elephant stalk	0.5071486704
comb	0.5064539341
palm cotton	0.5059690262
saucer (calabash)	0.503294071
sheath	0.5022777055
cocoyam (makabo)	0.5
egussi cracked	0.5
marrow (bone)	0.5
woven bowl	0.5
cold (solid)	0.4969187108
fungi pimple	0.4968898713
needle	0.4968898713
uncle	0.4968898713
sickness	0.4968801588
think	0.4945544446
kernel shell (bark)	0.4943749898
country	0.4930989975
storm (wind)	0.4916422845
black man	0.4912230998
goitre	0.4909460917
white man	0.4902185344
baboon	0.4887106314
suffer (n)	0.4884045471
snail	0.487889321
elder (birth)	0.487380939
fourty (40)	0.4869411454
palm beetle	0.4869171025
wooden dish	0.4862408669
partridge (non red legs)	0.485924648
tadpole	0.4837350198
pestle (cocoyam)	0.483639733
fifteen (15)	0.4829298595
month	0.4825944627
tyre (car)	0.4825944627
lazy man	0.4816479931
dirts	0.480637864
heaven	0.4802835419
spoon (vegetables)	0.4802228785
palm maggot (grub)	0.4801708397
fear (n)	0.4789185736
cane	0.4785807531
male	0.477196976
forehead	0.4768621787
grasshopper	0.4764337982
palm cone	0.4763046459
toad (rough back)	0.4752811418
sixty (60)	0.4745873502
cowpea leaf	0.4745515093
star	0.4739868318
fourteen (14)	0.4739012193
laugh (n)	0.4703646966
rainy season	0.4694231782
drum	0.4689611299
net	0.4688801401
oath (n)	0.4681362941
shoulder	0.4678695432
fingernail	0.4663276663
pot	0.4638801894
hot, heat (air)	0.4633044446
kernel chaff	0.4615774996
staff (walk support)	0.4609156586
twelve (12)	0.4603878809
mud	0.4593593599
weaver bird	0.4567299881
coarse flour (kende)	0.455644679
fruit	0.4549908669
fifty (50)	0.4542109833
nostril	0.4541491928
shell (snail)	0.4535095091
thief	0.452518784
ninety (90)	0.4523653091
rice	0.4518340039
groundnut pudding	0.450081323
empty palm cone	0.4492951172
mortar	0.449100604
odour (n)	0.447822718
chin	0.4476811195
armpit	0.4473479548
buttock	0.4473479548
finger	0.4472170716
mbanga soup fish	0.4455076929
white neck hawk	0.4444805622
calabash (no hole)	0.4437179568
soup (liquid)	0.4429329352
tobacco powder	0.4429329352
testicle	0.4418771518
farm house (corn storage)	0.4417381626
compound	0.4381988245
baby	0.4374714577
clitoris	0.435959553
father-in-law	0.4355450641
chair (bamboo)	0.4355245321
hunter	0.4355245321
market	0.4355245321
razor blade	0.4355245321
woven-tray	0.4355245321
leg	0.433665712
gossip (n)	0.4304540572
marrow	0.4300372216
chameleon	0.4298593499
aged person	0.4268971873
branch (tree)	0.4268122871
clock	0.4262929808
garden egg	0.4231555958
wicked man	0.4226581588
lizard	0.4213379184
fufu dish	0.4212580555
cane rat	0.421252692
ant (black, builds a mount on a tree)	0.4206198357
bamboo-piano	0.4206198357
bat (largest)	0.4206198357
breath 1	0.4206198357
calcium carbonate (liquid)	0.4206198357
fire, gun	0.4206198357
he-goat	0.4206198357
k.o snake (mboma)	0.4206198357
k.o tree	0.4206198357
millipede	0.4206198357
palm thorns	0.4206198357
red	0.4206198357
ring	0.4206198357
swallow bird	0.4206198357
tarantula	0.4206198357
termite mount	0.4206198357
wasp (brown)	0.4206198357
water duck	0.4206198357
raffia	0.4201588036
cooking spoon	0.4181082164
valley	0.4172711968
lake	0.4169260725
pestle (fufu)	0.4160266404
twenty (20)	0.4146177927
nineteen (19)	0.4142754027
wasp (house, black)	0.410611999
honey bee	0.4104110216
vomit matter	0.4097447462
bush (farm)	0.4095637167
pestle (palm nut)	0.4095637167
umbilical cord	0.4095293135
door (space)	0.4088020176
leopard	0.4070939281
catarrh	0.4061237611
hawk	0.4046682044
ascaris (stomach worm)	0.4035858163
piano (bamboo)	0.4015130952
door (lid)	0.3997227309
kite	0.3994666762
trough, (cocoyam, cow)	0.3994666762
slimy soup	0.3987403331
honey juice	0.3956473831
beggar	0.3919998652
gauze	0.3918887848
laziness	0.38985811
stream	0.3889291182
pain (n)	0.3885426861
rainbow	0.3885078772
lizard (smooth skin)	0.3877380903
ankle	0.3870042054
shave (scissors)	0.3868528072
liver	0.3864928467
woven dish	0.385567778
knuckle	0.3849771098
hienia (swellings around groin)	0.3837778573
wicklow	0.3833513458
fireside stone support	0.3831555587
breath 2	0.3823334269
rock	0.3820378394
palm barren fruit	0.3817535498
soup	0.3807280873
knitting pin	0.3800342908
canoe	0.3791353517
green snake	0.3791353517
hot, heat (solid)	0.3778981898
wind	0.3773586939
pen	0.376398836
twenty three (23)	0.3757107331
egussi pudding	0.3741759061
placenta	0.3732669979
chair (carved)	0.3714782969
buffalo (bush cow)	0.3689006324
slimy soup dish	0.3689006324
pepper stone	0.3687440595
child calabash	0.3671164873
twenty one (21)	0.3659973128
salt calabash	0.3652373791
land	0.3649890989
robe	0.3647869793
ankle rattle (men)	0.3635071533
bedbug	0.3612359948
tiger	0.3612359948
pimple	0.3603789247
spleen (side belly pain)	0.3595158185
calabash (peace plant)	0.3576425782
messenger	0.3576425782
palm frond	0.3558849486
line (n)	0.3541586673
locust	0.351854463
twine	0.351854463
mbanga soup	0.3508781016
swamp	0.3494457496
seedling (planting seeds)	0.3474976238
food	0.3469918569
twenty two (22)	0.3469918569
rhizome fruit (hill lilly)	0.3457935326
frog (variegated)	0.3445412465
open (pot)	0.3445412465
one thousand (1000)	0.3437977243
frog (smooth back)	0.3429809819
ant	0.342600311
headache	0.3421645983
lungs	0.3417525421
soup dish	0.3416113482
calabash (ball)	0.3403734408
upper grinding stone	0.3391345606
hut	0.3385104702
termite	0.3382385263
calabash (long neck)	0.3376506324
swell (n)	0.3373792886
cocoyam leaf (soup)	0.3368799161
calf (leg)	0.3362966031
twenty four (24)	0.3356441301
clay pot (soup)	0.3346163229
poison	0.3338673289
two thousand (2000)	0.3332671507
spine (backbone)	0.3327163253
swallow (food)	0.3315855815
mosquito	0.3294672325
pipe	0.3284304689
bush (owner)	0.3210111529
watch	0.3197499554
wrist	0.3171971243
anus	0.3161792054
cup sieve	0.3153434469
toe	0.3139193047
bamboo rattle	0.3133698872
spirit	0.3112281212
mother-in-law	0.3067179667
rhizome fruit (valley lilly)	0.3067179667
wood pecker	0.3067179667
heat (fufu)	0.3065735964
bundle (n)	0.3025021796
meat mat	0.3010299957
earth	0.298784495
male lizard (red head)	0.2930451172
guard	0.2880989096
two hundred (200)	0.2873660402
Adam's apple	0.2865729
rib	0.286548887
earthworm	0.2863507153
wickedness	0.2847467736
road junction	0.280835128
branch (of the road)	0.2807692371
tatoo	0.2804132238
iron trap	0.2775380593
cowpea bean	0.2750355328
wound	0.2750122451
skin rashes (baby)	0.2663608496
inner palm nuts (cone)	0.265142866
female lizard (brown)	0.2635483747
cliff	0.2617951172
diarrhoea	0.2571518692
screech owl	0.2534525802
Senegalese kucal (time bird)	0.2519868204
bush (inside)	0.25
calabash (wine container)	0.25
calabash (wine)	0.25
group (cow)	0.25
horn trumpet (cow)	0.25
jealous man	0.25
meat-gauze	0.25
spoon (calabash)	0.25
tapping pipe	0.25
k. o cricket	0.2494506041
door (frame)	0.2408239965
crowd, group	0.2398124666
palm flower	0.2392600273
female	0.2367699726
cocoyam (egg yolk)	0.2355954048
twin calabash	0.2305290217
one hundred (100)	0.225917002
scar	0.2169451109
door (lid/space)	0.2103099179
bicycle	0.2102289646
faxed pillar	0.2102289646
clock bird	0.2078755034
pap spoon	0.2078755034
clay pot (fufu)	0.2066354111
gecko	0.2066354111
mudfish	0.2047664198
bell	0.2035469641
clay pot	0.2035469641
k.o tree (leaf)	0.2035469641
clay	0.1980152502
grasshopper (mongwin)	0.1964012851
soot	0.194421987
two head snake (human)	0.1876068107
basket (visit, feast)	0.1819926647
oil chaff sieve	0.1819926647
pregnancy	0.1798402344
k.o ant	0.1722706232
marrow (brain)	0.1722706232
native maggi spice	0.1666666667
jealousy	0.1656395703
kingfisher	0.1576717234
dragonfly	0.1500854486
spring	0.1439120836
dysentry	0.1394714728
hanged ceiling	0.1289509357
stripped rat	0.1204119983
stem	0.101773482
electric fish	0.070103306
Cocoyam (igbo)	0.0
ankle rattle (women)	0.0
attached-house (3 walls)	0.0
bark (of tree)	0.0
basket (very big, feast)	0.0
basket (visit)	0.0
calabash (for twins)	0.0
carved chair (used by chief)	0.0
caterpillar (edible)	0.0
caterpillar (variegated)	0.0
clay pot (cooking fufu)	0.0
clay-pot (legs)	0.0
cocoyam (native, red)	0.0
drum (bothside)	0.0
friend (male)	0.0
guide (v)	0.0
k.o bat	0.0
k.o cocoyam	0.0
k.o fish	0.0
k.o fruit	0.0
k.o trap	0.0
k.o. dance	0.0
lower-grinding-stone(pepper)	0.0
lower-pepper-stone	0.0
malaria	0.0
native pant (men)	0.0
native umbrella	0.0
necklace (women)	0.0
skeleton	0.0
skin rasches (cause by heat)	0.0
small grinding stone	0.0
small hand bag for male (dance)	0.0
small noise making grasshopper	0.0
small woven dish	0.0
song bird (early morning	0.0
stirring spoon (vegetables)	0.0
tad-pole (frog/fish)	0.0
tapping hoe	0.0
traditional regalia	0.0
trap (partridge)	0.0
upper-grinding-stone(pepper)	0.0
upper-pepper-stone	0.0
waist beads	0.0
weaved rope	0.0
women cloth (leaves)	0.0
wooden dish (leg)	0.0
wooden spoon	0.0
