ID	Concept	Doculect	Value
99	father	KEM-Buu-1	tǎː / bə̀tə̌ː 
100	father	KCY-Buu-2	tàː / bə̀tàː
101	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
102	father	DPN-Fang-13	bə̀bá / bə̀bø̂
103	father	KDV-Fang-1	nan
104	father	KJS-Fang-2	nan
105	father	JGY-Koshin-3	bâ / bə̀bâ
106	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
107	father	MRY-Koshin-2	nan
108	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
109	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
110	father	ZKG-Kung-1	bɛ̂ː / ɣɪ̀bɛ̂ː
111	father	BNM-Kung-2	pə̀pá / sə̀pə̀pá
112	father	NMN-Mundabli-3	tɪ̌ː / tʲě
113	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
114	father	LFN-Mundabli-1	těː / tēbó
115	father	NIN-Mundabli-4	tjě / bə̀tjěbó
116	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
117	father	NUN-Munken-4	tâ / bə̀tǎː
118	father	NEA-Munken-1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː
119	father	TNT-Munken-2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː
120	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
121	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
122	father	WCA-Ngun-1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé
123	father	AOM-Ngun-2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá
124	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
125	father	DNM-Mumfu-2	tā / bə̀tāːbə́
126	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
127	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
128	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
129	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
130	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
131	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
132	mother	NMA-Abar-1	néà / bə̀néà
133	mother	NAC-Abar-2	nɪ́yā / bə̀nɪ́yā
134	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
135	mother	NVI-Ajumbu-1	má / nânə́ ~
136	mother	KMN-Ajumbu-2	mà / màs
137	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
138	mother	ENB-Biya-1	nɪ́ā / bə̀nɪ́ā
139	mother	ICN-Biya-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
140	mother	NNB-Buu-3	nâ / bə̀nâ
141	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
142	mother	KEM-Buu-1	nâː / ɲí
143	mother	KCY-Buu-2	nâ / bə̀nâ
144	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
145	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
146	mother	KDV-Fang-1	nan
147	mother	KJS-Fang-2	nan
148	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
