ID	Concept	Doculect	Value
86	friend	ICN-BIYA-2	bʲê / bə̀bʲê
87	friend	NNB-Buu-3	ǹsʊ́n / bə̀nsʊ́n
88	friend	MNJ-Buu-4	ǹsʊ́ːn / bə̀nsʊ́ːn
89	friend	KHK-FANG-12	sʊ̄n / bə̀nsʊ́n
90	friend	DPN-FANG-13	sʊ̄n / bə̀nsʊ́n
91	friend	JGY-Koshin-3	ńséɲ / ǹséɲ ~ ńséɲ
92	friend	TEL-Koshin-4	ǹsɪ̄ɲ / ńsɪ́ɲ
93	friend	KCS-Kung-3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ
94	friend	NJS-Kung-4	sóʲ / ə̄sóʲ
95	friend	NMN-Mundabli-3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ
96	friend	CEN-Mundabli-2	ńsʊ́ːŋ / ńsǿé
97	friend	NGT-Munken-3	bʲâ / bə̀bʲá
98	friend	NUN-Munken-4	àtsò / bàtsò
99	friend	MCA-Ngun-3	bī~bîː / bɛ̀bí
100	friend	KBM-Ngun-4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀
101	chief	NVB-Abar-7	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂
102	chief	ECL-Abar-8	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂
103	chief	NEM-Ajumbu-9	ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú
104	chief	KDC-Ajumbu-10	ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú
105	chief	ENB-BIYA-1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
106	chief	ICN-BIYA-2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
107	chief	NNB-Buu-3	ŋ̀kə́ŋ / bə̀ŋkə́ŋ
108	chief	MNJ-Buu-4	ŋ̀kə́ŋ / bə̀ŋkə́ŋ
109	chief	KHK-FANG-12	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
110	chief	DPN-FANG-13	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
111	chief	JGY-Koshin-3	fèɲ / tə́fêɲ
112	chief	TEL-Koshin-4	fə̀ɲ / tə̀fə̂ɲ
