ID	Concept	Doculect	Value
87	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
88	father	LFN-Mundabli-1	těː / tēbó
89	father	NIN-Mundabli-4	tjě / bə̀tjěbó
90	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
91	father	NUN-Munken-4	tâ / bə̀tǎː
92	father	NEA-Munken-1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː
93	father	TNT-Munken-2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː
94	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
95	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
96	father	WCA-Ngun-1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé
97	father	AOM-Ngun-2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá
98	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
99	father	DNM-Mumfu-2	tā / bə̀tāːbə́
100	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
101	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
102	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
103	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
104	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
105	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
106	mother	NMA-Abar-1	néà / bə̀néà
107	mother	NAC-Abar-2	nɪ́yā / bə̀nɪ́yā
108	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
109	mother	NVI-Ajumbu-1	má / nânə́ ~
110	mother	KMN-Ajumbu-2	mà / màs
111	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
112	mother	ENB-Biya-1	nɪ́ā / bə̀nɪ́ā
113	mother	ICN-Biya-2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́
114	mother	NNB-Buu-3	nâ / bə̀nâ
115	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
116	mother	KEM-Buu-1	nâː / ɲí
117	mother	KCY-Buu-2	nâ / bə̀nâ
118	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
119	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
120	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
121	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
122	mother	MRY-Koshin-2	ɲʲə̄ / ø
123	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
124	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
125	mother	ZKG-Kung-1	nɪ̂ / ɣénɪ̂
126	mother	BNM-Kung-2	nè~nɪ̀ / sə́nè
127	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
128	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
129	mother	LFN-Mundabli-1	nɪ́ / nɪ́bō
130	mother	NIN-Mundabli-4	nɛ́ / bə̀nɛ́bó
131	mother	NGT-Munken-3	ɲí / bə̀ɲí
132	mother	NUN-Munken-4	nâ / bə̀nàâ
133	mother	NEA-Munken-1	nǎː~na᷇ː / bə̀na᷇ː
134	mother	TNT-Munken-2	nà ~ nǎ / bèɲí ~bə̀na᷇
135	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
136	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
137	mother	WCA-Ngun-1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː
138	mother	AOM-Ngun-2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā
139	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
140	mother	DNM-Mumfu-2	màmí / bə̄nâː
141	mother	BKB-Mashi-2	nî / bʊ̀nî
142	mother	KFK-Mashi-1	nî / bʊ̀nî
143	mother	ABS-Missong-1	ɲí / bàɲí
144	mother	AGA-Missong-2	ɲí / bàɲí
145	man	NMA-Abar-1	ʊ̀nʊ̀ɲə́ŋhṍ / ána᷇ːɲə́ŋhṍ
146	man	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
147	man	NVI-Ajumbu-1	ŋʊ̀dzʊ̀ŋ / âdû~ànə́m
148	man	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ~ŋʊ̀ / âdû~ànì
149	man	KDV-Fang-1	ŋmə̀ / ŋmɪ᷇m
150	man	KJS-Fang-2	man, person
151	man	ZKG-Kung-1	wùònô / ɣyə̂nôɣə̀
152	man	BNM-Kung-2	wùnʊ̂ː / ɣɨ᷇ːnʊ̂ː
153	man	LFN-Mundabli-1	mɔ̀ / mbɛ̂ː
154	man	NIN-Mundabli-4	mō ~mònó / mbɛ̀ːbɛ́n ~nóbɛ́n
155	man	NEA-Munken-1	ʊ̀nɛ̀~ʊ̀nʊ̀ɱfə́ / bə́nɛ᷇ː~bə́nʊ́mfə̄
156	man	TNT-Munken-2	ʊ̀nɛ̀ / bə̀nnɛ̂
157	man	WCA-Ngun-1	ɪ̀nnò / bə̄no᷇ː
158	man	AOM-Ngun-2	ʊ̀nɪ̀hɪ́ / bɛ́nɪ᷇ː
159	man	APB-Mumfu-1	mà / mbɛ̂ː~nʊ̂ːbə́
160	man	DNM-Mumfu-2	mà / mbɛ̂ː
161	man	BKB-Mashi-2	mwɪ́ / bʊ́nɪ́
162	man	KFK-Mashi-1	mwɪ̀ɲómnɪ́ / bʊ́nôbó
