ID	Concept	Doculect	Value
87	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
88	father	NUN-Munken-4	tâ / bə̀tǎː
89	father	NEA-Munken-1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː
90	father	TNT-Munken-2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː
91	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
92	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
93	father	WCA-Ngun-1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé
94	father	AOM-Ngun-2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá
95	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
96	father	DNM-Mumfu-2	tā / bə̀tāːbə́
97	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
98	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
99	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
100	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
101	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
102	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
103	mother	NMA-Abar-1	néà / bə̀néà
104	mother	NAC-Abar-2	nɪ́yā / bə̀nɪ́yā
105	mother	NEM-Ajumbu-9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́
106	mother	NVI-Ajumbu-1	má / nânə́ ~
107	mother	KMN-Ajumbu-2	mà / màs
108	mother	KDC-Ajumbu-10	nânə́ / bə̀nânə́~ánâ
109	mother	NNB-Buu-3	nâ / bə̀nâ
110	mother	MNJ-Buu-4	nɪ́ː / bə̀nɪ́
111	mother	KEM-Buu-1	nâː / ɲí
112	mother	KCY-Buu-2	nâ / bə̀nâ
113	mother	KHK-Fang-12	nɛ́ / bə̀nɛ́
114	mother	DPN-Fang-13	nɛ̂ / bə̀nɛ̂
115	mother	JGY-Koshin-3	nə̂ / bə̀nə̂
116	mother	TEL-Koshin-4	ɲʲə́ / bə̀ɲʲə́
117	mother	DPJ-Koshin-1	ø / ø
118	mother	MRY-Koshin-2	ɲʲə̄ / ø
119	mother	KCS-Kung-3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ
120	mother	NJS-Kung-4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ
121	mother	ZKG-Kung-1	nɪ̂ / ɣénɪ̂
122	mother	BNM-Kung-2	nè~nɪ̀ / sə́nè
123	mother	NMN-Mundabli-3	nɪ́ / bɑ̀ɦ ~ bònɪ́
124	mother	CEN-Mundabli-2	nɪ́ / nɪ́ː
125	mother	LFN-Mundabli-1	nɪ́ / nɪ́bō
126	mother	NIN-Mundabli-4	nɛ́ / bə̀nɛ́bó
127	mother	NGT-Munken-3	ɲí / bə̀ɲí
128	mother	NUN-Munken-4	nâ / bə̀nàâ
129	mother	NEA-Munken-1	nǎː~na᷇ː / bə̀na᷇ː
130	mother	TNT-Munken-2	nà ~ nǎ / bèɲí ~bə̀na᷇
131	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
132	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
133	mother	WCA-Ngun-1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː
134	mother	AOM-Ngun-2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā
135	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
136	mother	DNM-Mumfu-2	màmí / bə̄nâː
137	mother	BKB-Mashi-2	nî / bʊ̀nî
138	mother	KFK-Mashi-1	nî / bʊ̀nî
139	mother	ABS-Missong-1	ɲí / bàɲí
140	mother	AGA-Missong-2	ɲí / bàɲí
141	man	NMA-Abar-1	ʊ̀nʊ̀ɲə́ŋhṍ / ána᷇ːɲə́ŋhṍ
142	man	NAC-Abar-2	ʊ̀nò / bə́na᷇ː
143	man	NVI-Ajumbu-1	ŋʊ̀dzʊ̀ŋ / âdû~ànə́m
144	man	KMN-Ajumbu-2	ŋʊ̀dzʊ̀ŋ~ŋʊ̀ / âdû~ànì
145	man	KDV-Fang-1	ŋmə̀ / ŋmɪ᷇m
146	man	KJS-Fang-2	man, person
147	man	ZKG-Kung-1	wùònô / ɣyə̂nôɣə̀
148	man	BNM-Kung-2	wùnʊ̂ː / ɣɨ᷇ːnʊ̂ː
149	man	LFN-Mundabli-1	mɔ̀ / mbɛ̂ː
