OrderingID,Concept,GroupID,Concept Group
231,amaranthus (green),,Vegetables
232,garden egg,,Vegetables
233,elephant stalk,,Vegetables
234,mushroom,234.000,Vegetables
235,k.o mushroom (whitish),234.000,Vegetables
236,k.o mushroom (yellowish),234.000,Vegetables
237,k.o mushroom (small),234.000,Vegetables
238,"k.o mushroom (white, flat like fufu)",234.000,Vegetables
239,k.o mushroom (brown),234.000,Vegetables
240,k.o mushroom (whitish on palm tree;edible),234.000,Vegetables
241,k.o mushroom (thick yellow stem; edible),234.000,Vegetables
242,k.o mushroom (smallish brown; edible) ,234.000,Vegetables
243,k.o mushroom (brown and soft on tree; edible),234.000,Vegetables
244,slimy soup chaff,,Vegetables
245,huckleberry (njamanjama),,Vegetables
246,soup,,Vegetables
247,slimy soup,,Vegetables
248,pepper,,Vegetables
249,native maggi spice ,,Vegetables
250,calcium carbonate (kangwa),250.000,Vegetables
251,calcium carbonate (liquid),250.000,Vegetables
252,yellow soup,250.000,Vegetables
253,oil,253.000,Palms
254,palm oil,253.000,Palms
255,palm tree,,Palms
256,palm nut,,Palms
257,palm flower,,Palms
258,palm cone,,Palms
259,kernel (uncracked),,Palms
260,kernel chaff,,Palms
261,palm cotton,,Palms
262,palm bamboo,,Palms
263,palm frond,,Palms
264,palm beetle,,Palms
265,palm maggot (grub),,Palms
266,barren palm broom ,,Palms
267,palm barren fruit,,Palms
268,pestle (palm nut),,Palms
269,kernel shell (bark),,Palms
270,kernel oil,,Palms
271,palm cone (empty),,Palms
272,datepalm,,Palms
273,young palm tree,,Palms
274,mbanga soup,,Palms
275,"wine (palm, raffia)",,Palms
276,outer palm nuts,,Palms
277,fibre - palm (rope),,Palms
278,empty palm cone,,Palms
279,inner palm nuts (cone),,Palms
280,Cone (palmnut),,Palms
281,Cone (nuts removed),,Palms
282,Palm frond rope,,Palms
283,barren palm cone,,Palms
284,palmnuts(cracked),,Palms
285,"Palmnut (ripe, uncracked)",,Palms
286,palm thorns,,Palms
287,"palm margot (yellow, destroys young palms)",,Palms
288,barren-palm-flower,,Palms
289,oil chaff,,Palms
290,kernel,,Palms
291,raffia,,Palms
292,raffia fruit,,Palms
293,raffia fibre,,Palms
294,raffia bamboo,,Palms
295,indian-bamboo,,Palms
296,beans,,Cereals
297,tree beans,,Cereals
298,Beans (from Kom),,Cereals
299,groundnut pudding,,Cereals
300,garri,,Cereals
301,milk,,Cereals
302,egussi,,Cereals
303,egussi uncracked,,Cereals
304,egussi cracked,,Cereals
305,egussi pudding,,Cereals
306,rice,,Cereals
307,cowpea bean,,Cereals
308,cowpea leaf,,Cereals
309,seed,,Cereals
310,seedling (planting seeds),,Cereals
311,pap,,Cereals
312,corn,,Cereals
313,corn fufu,,Cereals
314,corn flour,,Cereals
315,coarse flour (kende),,Cereals
316,corn beer,,Cereals
317,plantain,317.000,Suckers and Tubers
318,plantain ( a ),317.000,Suckers and Tubers
319,plantain ( b ),317.000,Suckers and Tubers
320,plantain ( c ),317.000,Suckers and Tubers
321,plantain ( d ),317.000,Suckers and Tubers
322,hand (plantain) ,317.000,Suckers and Tubers
323,banana,323.000,Suckers and Tubers
324,banana (native),323.000,Suckers and Tubers
325,cassava,,Suckers and Tubers
326,potato,,Suckers and Tubers
327,sugar cane,,Suckers and Tubers
328,yam,,Suckers and Tubers
329,cocoyam,329.000,Suckers and Tubers
330,k.o cocoyam,329.000,Suckers and Tubers
331,k.o cocoyam (a),329.000,Suckers and Tubers
332,k.o cocoyam (b),329.000,Suckers and Tubers
333,k.o cocoyam (c),329.000,Suckers and Tubers
334,cocoyam (slimy strands),329.000,Suckers and Tubers
335,Cocoyam (igbo),329.000,Suckers and Tubers
336,cocoyam (makabo),329.000,Suckers and Tubers
337,cocoyam (egg yolk) ,329.000,Suckers and Tubers
338,cocoyam (native),329.000,Suckers and Tubers
339,"cocoyam (native, red)",329.000,Suckers and Tubers
340,cocoyam leaf (soup),,Suckers and Tubers
341,aerial yam,,Suckers and Tubers
342,rhizome fruit (hill lilly),,Suckers and Tubers
343,rhizome fruit (valley lilly),,Suckers and Tubers
344,drum,344.000,Music
345,talking drum,344.000,Music
346,guitar,,Music
