"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"747","fowl","ɪ̀ʃʲê / ɪ̀ʃʲêhɛ̀","ɪ̀ʃʲê / ɪ̄ʃʲé","ʃì / kə́ʃîlə̀","ʃì / kə́ʃîlə̀","ɪ̀ʃʲɛ̄ / ɪ̀ʃʲɛ́","ɪ̀ʃʲé / ɪ̄ʃʲé","ʃí / kə́ʃîːtə́","ʃī / kə́ʃītə́","dʒʷə̀n / dʒʷə́n","dʒʷə̄n / dʒʷə́n","ʃì / ʃî","ʃì / ʃî","mbvə̄ / sə̄mbvə̄","mbvə́ / sə́mbvə́","gí / gə́ŋ","gí / gə́ŋ","ìyì / àyì","ɪ̀yìː / áyíːwú","yə̄ŋ / yə̄ŋkə́","yə́ŋ / yə́ŋkə́","ʃī ~ ʃí / ʃī","ʃī / ʃí","ɪ̀ʃʲɛ̂ / ɪ́ʃʲɛ́","ɪ̀ʃʲɛ̂ / ɪ́ʃʲɛ́ ~ ɪ́ʃáhā","ìʃʲɛ̄ / īʃʲɛ́","ɪ̄ʃʲɛ́~ɪ̀ʃʲɛ́ / ɪ̀ʃʲɛ́ ~  ɪ́ʃʲɛ́"
"751","egg","ɪ́jî / áŋjî","ɪ̀jì / ŋmə̀njì","ʒí / áʒí","ʒí / kə́ʒílə́","ɪ̀ɲì / kə̀ɲìlə̀~kə̀ɲìː","ɪ́ɲī / áɲī","yɪ᷇ːŋ~yi᷇ːŋ / kə́yɪ̂ŋtə́","yə́ŋ / kə́yə́ŋtə́","gǐː / tə̀gǐː","gí~gī / tə̀gí~tə̀gǐː","ⁿgə́nə́ / ⁿgə́","ⁿgə́nə́ / ⁿgə̄ ~ ŋ̄ⁿgə̄","ìɣôm / ə̀ɣôm","ɪ́ɣo᷇ːm / ə̀ɣo᷇ːm","ø / ø","ø / ø","kìtsə̌n / bìtsə̌n","kpɪ́ŋkpɪ́ŋ / bàkpɪ́ŋkpɪ́ŋ","ɠʲʊ́ŋƙɥóƙɥó / ɠʲʊ́ŋƙɥǒkɥòbə̌","ndʒɔ̀ṃ / ndʒɔ̂ṃbə̌","yə̄ŋ / yə̄ŋ","yə̄ŋ / yə́ŋ","ɪ̀ɲìː / àɲìː","ɪ̀ɲì / àɲì","ɪ̀ɲî / kə̀ɲî~àɲî","ɪ̀ɲî / áɲî~kə̀ɲílə́"
"752","feather","kə́bə́lō / ɪ̀bə́lə́bî","kə̄bə́lō / bībə́lō","vúlə́ / kə̀vúlə́","gʷâɲnə̀ / kə́gʷâɲnə̀","kə̀wə́nnə́ / bìwə́nnə́ ~ ìwə́nə́/kə̀wə́nə́","ɪ̀dʒʊ́lə́ / kə̀dʒʊ́lə́~ádʒʊ́lə́","kə́be᷇ː / mə́mbe᷇ːm","kə́be᷇ː / kə́be᷇ːtə́","gʷə̂n / tə̀gʷə̂ntə̀","gʷə᷇ːn / tə́gʷə᷇ːntə̄","wúnə́ / dɥɪ̃̂","kə́bêʲ / bə́bêʲ","ìwʊ̂l / sə̀wʊ̂l","ɪ́wúlə̀ / sə̀wúlə̀","fíŋkʊ́ŋ / múŋkʊ́ŋ","ŋ̀kʊ̀n / bʊ̀ŋkʊ̀n","ìɲàːm / kìɲāːmnə̄","fíɲáːfə̄ / múɲáːfə̄","n̄tāŋ / n̄tāŋbə́","ǹtǎːŋ / ǹtǎŋbə́","gʷɪ̂n / gʷɛ̂n","wɪ̂ːn / gʷɛ̂ːn","ɪ́dʒʊ́lə́ / kɪ́dʒʊ́lə́","ɪ̀bìlə̀~ábí / bíbílə̄~bìbílə̄","kə̀bə́lə̄~àbə́lə̄ / bìbə́lə̄~ɪ̀bɪ́lɪ̀","ɪ̀zɛ́bə́ / àzɛ́bə́~kə̀zɛ́bə́~ɪ̀wə́nə́/kə̀wə́nə́"
"783","grasshopper","kə̀ⁿdʒám / ɪ̀ⁿdʒámbî","kə̀ⁿdʒám / bìⁿdʒám","vɥʊ̈̀nə́ / vɥʊ̈́nə́~kə̀vǘnə́","kə̀ⁿgbʊ̀ / bə̀ⁿgbʊ̀","kàkà / bə̀kàkà","kə̀mfã̌ː / bìmfã̌ː ~ kə̀jo᷇ː / bìjo᷇ː","kə̀ⁿgáːmə́ / bə̀ⁿgáːmə́","kə̀ⁿgáːmə́ / bə̀ⁿgáːmə́","ⁿgíŋ / ⁿgíŋⁿgə́lə̀","ⁿgíŋⁿgə́lə̀ / bə̀ⁿgíŋⁿgə́lə̀","kə́tâɲ / bə́ntâɲ","kə́ntâɲ / bə́ntâɲ","kə́tsú / ùtsú","kə́tsʊ᷇~kə́tsʊ́ / sə̀tsʊ᷇ː~ʊ́tsʊ́","dzzə̄ / dzzə̂","ǹdzê / ńdzê","ɪ̀dʒə̀ŋ / kìdʒə́ŋnə̄","ɪ̀dʒə̀ŋ / kìdʒə́ŋnə̄","gyə̀ŋkàː / gyə̀ŋkàːyə́","gìŋkàː~gìŋkà / gìŋkàːbə́~gìŋkà","tʷôm / tʷôm","tʷɥôɦm / tɥòɦmbóɦ","àndʒámə́ / bìndʒámə́","àndʒámə́ / bìndʒámə́~mùndʒámə́","ʊ̀fʷɛ́n~ʊ̀fʲɛ́n~ / kə̀ʊ́fʷɛ́n~àfʲɛ́n","kə̀ⁿfáːm / bìⁿfáːm"
"787","cricket","ɪ̀ⁿdʒìndʒàŋ / ɪ̀ⁿdʒíⁿdʒáŋə́kì","ɪ̀ⁿdʒìⁿdʒàŋ / kíⁿdʒíⁿdʒáŋō","dzàŋ / dzâŋ~kə́dzâŋnə̀","dzàŋ / kə́dzâːnə̀","ɪ̀ⁿdʒìndʒàŋ / kə̀ⁿdʒìⁿdʒáŋə̄","ɪ̀ⁿdʒə̀ŋ / kə̀dʒə́ŋə̄","dʒʲɛ̂n~dʒʲɛ̀ŋ / kə́dʒʲɛ̂ntə́~dʒʲɛ᷇ŋ~dʒʲɛ᷇ŋɛ́","dʒʲɛ̂ŋ / kə́dʒʲɛ᷇ːŋtə́","dzə̀ŋ / dzə́ŋkə́","dzə̀ŋkə́ / dzə́ŋkə́","ǹⁿdzə̀ŋə̀ / ńⁿdzə́ŋə̀","ǹ̩zə̀ŋə̀ / ń̩zə́ŋə̀","tsə̄ŋ / sə̀tsə̂ŋ","tsə́ŋ / sə̀tsə᷇ŋ","mbʊ̀mbʊ̌ / bʊ̀mbʊ̀mbʊ̌","mbʊ̀mbʊ̌ / bʊ̀mbʊ̀mbʊ̌","ʊ́dáːlə̄ / ídáːlə̄","kìfàhà / bífáhá","ʃīʃāŋ / ʃīʃâŋyə̌","ø","dzə̀ŋ / dzə́ŋ","dzə̀ŋkə̀ / dzɨ̀ŋkə̀ː","ɪ̀ndʒìndʒàŋ / kìndʒáŋā~kìndʒã́ã́","ʃìndʒàŋ / mʊ̀ndʒǎŋ","ɪ̀dʒìndʒàŋ/kə̀dʒìⁿdʒáŋə̄~àdʒìⁿdʒáŋə̄","ɪ̀dʒɪ̀ⁿdʒàŋ / kə̀dʒìⁿdʒàŋ~àdʒìⁿdʒàŋ"
"791","spider","ɪ̀dǎː / ɪ́da᷇ːkî","ɪ̀dǎː / kɪ́dáːlō","ⁿkʲáŋə́kʷʊ̌ːkʊ̀ / àⁿkʲáŋə́kʷʊ̌ːkʊ̀","ⁿkâmsə́ / àⁿkâmsə́","ɪ̀dǎː / kə́da᷇ː","ʊ́dâːlə́ / kə́dâːlə́","ʃàŋ~bîːʃǎŋ / kə́ʃâŋtə́~bîːʃǎːŋ","bîːʃǎːŋ / dzɪ̂ːʃǎːŋ","sàŋ / sáŋ","sàŋ / sáŋ","fʲàŋ / fʲâŋ","fʲàŋ / fʲâŋ","kə̀tsàŋə́tfø̀tfø̀ / ùtsàŋə́tfø̀tfø̀","kə̀tsàŋápfə̀pfə̀ / ʊ̀tsàŋápfə̀pfə̀","fìmkpām / mùmkpǎm","fìmkpām / mùmkpǎm","kìtɪ́tɪ̀ːlə́ / bɪ̀tɪ́tɪ̀ːlə́","kɪ̀tə́tìːlə́ / bìtə́tìːlə́","ŋgʊ́ŋgwɛ̂ʔn / ŋgʊ́ŋgwɛ̀ʔnbə́","ŋgʊ́ŋgwɛ̄ʔn / ŋ̀gʊ́ŋgwɛ́ʔn","sìsìáŋ / sìsíáŋ","sìsǎːŋ / sìsáŋ","ʊ́dálə̄ / kídálə̄","ɪ̀dàʃə́ŋ / kìdàʃə́ŋ","kə̀kʷɔ̀bə̀~àkʷɔ̀bə̀/bìkʷɔ̀bə̀~ɪ̀kʷɔ̀bə̀","ʊ̀dâá / ádâá~ɪ́dàâ"
"833","sky","ʊ̀bòlò / ɪ̀bòlòkì","ʊ̀bʷòlò / kìbʷòlò~ʊ̀bʷòlò","kə́bɥó / bə́bɥó","kə́bɥó / bə́bɥó","kə̀bòː / bìbòː","kə̀bɛ̀ʊ́wʊ́ə́ / kə̀bɛ̀ʊ́wʊ́ə́","bòːlə́ / kə̀bòːlə́","bólə́ / kə́bólə́nə́","kʷóm / tə̀kʷóm","kʷóm / kʷóm~tə̀kʷómkə̄","bʊ̀ːwə̀ / tə́bʊ́","bʊ́ / ø","kə́wʊ́lə̄ / ʊ̀wʊ́lə̄","kə̀wúlə̄ / ʊ̀wúlə̄","ákpí / bíkpí","ákpí / bíkpí","fìntʃám / àntʃám","àntʃám / àntʃámmū","ŋkɥɔ́m / ŋkɥɔ́mmə́","ŋkyɔ́ʔm / ŋkyɔ́mmə́~ŋkyɔ́ʔm","bʷē / bʷē","bʷē / bʷéː","ɪ́zə́mə́~ɪ́dzə́mə́ / kízə́mə́~kídzə́mə́","ábó / bíbó","kə̀bɔ̀ː~àbɔ̀ː / bìbɔ̀lə̀~ɪ̀bɔ̀lə̀","kə̀zámə́ / àzámə́~bɛ̀nzàmə́"
"841","farm","òmɥɪ̀n / ɪ̀mɥɪ̀nnə̀","ʊ́mʷɪ̂n / kìmʷɪ̀nò~ìmʷɪ̀nò","ɲʊ̈́ / kə́ɲʊ̈́lə́","ɲǘ / kə́ɲǘlə́","ʊ̀ŋmɛ̀~ʊ̀ŋmʷɛ̀ / kə̀ŋmʷɛ̀","ʊ̀ŋmʷɛ̄ / ɪ̀ŋmʷɛ̄","ɲǘ / kə́ɲʊ̈̂ːtə́","ɲʊ̈́ / kə́ɲʊ̈̂tə́","ŋmə́ / ɲʲɛ́","ŋmə́ / ɲ́ɲʲɛ́","mʊ̄ / mɥí","mʊ́ / mʲə́","kə̀fʊ̂ʔ / m̀fʊ̂ʔ","kə́fʊ̂ʔ / ḿfʊ̂ʔ","kú / kʊ́ŋ","Kʊ́ / kʊ́ŋ","ʊ́tʃʊ́m / kítʃúmnə́~ìtʃúmmə́","ʊ́tʃʊ́m / ʊ́tʃúMú~ɪ́tʃúmɪ́","kwə᷇ntʃə̄ŋ / kwɛ᷇ntʃə̄ŋbə́","kɔ́l / ø"," ɲʊ́ / ɲʷɛ̄","ɲǘ/ ɲǘɛ̀","ʊ́mʷɪ́lə̄ / kìmʷɪ̀lə̀","ʊ̀mʷèː / ʊ́mʷɛ̂nɛ́","ʊ̀mʷà / ɪ̀mʷà~àmʷà","ʊ̀mʷà / ɪ̀mʷà~ɪ̀ŋmà"
"848","compound","ḿfɪ̀hɪ̀ / ḿfɪ̀hɪ̀~òtóm/ŋ̀kônófʷɪ̂","ʊ̄tóm~ʊ́tʷóm / kìtómó~tómó","fʊ́kʷáɲ / fʊ́kʷáɲ","kɥǘ / kə́kɥǘlə́","ʊ̀tám / kə̀tám","ɪ̀kʊ́~fə́kɔ̂nə̄ / kə̀kʊ́lə́","kə̀tʊ̀kə̀ / bə̀tʊ̀kə̀","kə̀tʊ̀kə̀ / bə̀tʊ̀kə̀","gbɪ᷇ːn / tə̀gbɪ᷇ːn","gbín / tə́gbíntə̄","kə́tø̂ / bə́tø̂","kə́tô / bə́tʊ̂","kə́bæʲ / ʊ́bǽʲ","kə́bɑ́ʲ / ʊ́bɑ́ʲ","bwán / bwáŋ","bwán / bwáŋ","ìbàhà / àbàhà","ɪ́tʃí / átʃíwʊ́","ɠyá / ɠyáyə́","gyá / gyákə́","tɒ̀ɦ / tɒ̀ɦ kɪ́","mʊ́ŋkʷú / bíkʷú","ótóm / ótômə̀sə́","ʊ́tóm / kítóm","fífʲɛ̀hɛ̀~ʊ̀tɔ́m / òtɔ́m~àtɔ́m","ʊ̀tɔ́m / àtɔ́m"
"849","toilet","ɪ̀kɥɪ̂ / ɪ̀kɥɪ̀kì","ɪ̀kɥɪ̀ / kìkɥɪ̀lò","kpʳʷô / kə̀kpʳʷòlə̀","kpʳʷò / kə́kpʳʷóːlə́","ɪ́kʷɛ́ / kə́kʷɛ́","ɪ̀kʷɛ̀ / kə́kʷɛ́lə̄","tʃʊ́ / kə́tʃʊ̂ːtə́","tʃó / kə́tso᷇ːtə̄","tʃùə̀ / tʃúə́","tʃʊ̀ə̀ / tʃʊ́ə́","tú / tə̀tú","tʃfú / tə̀tʃfú","ìkʊ̂l / sə̀kʊ̂l","ɪ́kʊ̂l / sə́kʊ̂l","tə̄ / ták","tə̄ / ták","ìtʃìː / àtʃìː","ɪ́tʃí / átʃíwʊ́","tʃʲə́ː / tɛ́ːkə́","tʃyé / tɛ̄ːkə́~tɛ́ː","tsʊ́ / tsʊ̄","tsʊ́ / tsʊ́ yō","ɪ̀kɥìlə̀ / kìkɥìlə̀","ɪ̀kɥɪ̀lɛ̀ / ɪ́kɥɪ́lɛ̄","ʊ̀gbɛ́bɛ́n / bìʊ̀gbɛ́bɛ́n","ʊ̀gbɛ́bɛ́n / ìgbɛ́bɛ́n"
