ID	Concept	Doculect	Value
97	mother	MCA-Ngun-3	níjā / bɛ̀nɪ́jā
98	mother	KBM-Ngun-4	níjā / bɛ̀nɪ́jā
99	mother	APB-Mumfu-1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː
100	mother	DNM-Mumfu-2	màmí / bə̄nâː
101	mother	BKB-Mashi-2	nî / bʊ̀nî
102	mother	KFK-Mashi-1	nî / bʊ̀nî
103	mother	ABS-Missong-1	ɲí / bàɲí
104	mother	AGA-Missong-2	ɲí / bàɲí
105	man	NVB-Abar-7	nan
106	man	ECL-Abar-8	nan
107	man	NEM-Ajumbu-9	nan
108	man	KDC-Ajumbu-10	nan
109	man	ENB-Biya-1	nan
110	man	ICN-Biya-2	nan
111	man	NNB-Buu-3	nan
112	man	MNJ-Buu-4	nan
113	man	KHK-Fang-12	nan
114	man	DPN-Fang-13	nan
115	man	JGY-Koshin-3	nan
116	man	TEL-Koshin-4	nan
117	man	KCS-Kung-3	nan
118	man	NJS-Kung-4	nan
119	man	NMN-Mundabli-3	nan
120	man	CEN-Mundabli-2	nan
121	man	NGT-Munken-3	nan
122	man	NUN-Munken-4	nan
123	man	MCA-Ngun-3	nan
124	man	KBM-Ngun-4	nan
125	man	APB-Mumfu-1	mà / mbɛ̂ː~nʊ̂ːbə́
126	man	DNM-Mumfu-2	mà / mbɛ̂ː
127	man	BKB-Mashi-2	mwɪ́ / bʊ́nɪ́
128	man	KFK-Mashi-1	mwɪ̀ɲómnɪ́ / bʊ́nôbó
129	man	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄~ʊ́ɲʊ́ŋhʊ̃̄/bàɲʊ́ŋhʊ̃̄
130	man	AGA-Missong-2	n̄nō / bánɛ᷇ːbʊ̄ ~ǹnò/bànɛ᷇ː
131	woman	NVB-Abar-7	nan
132	woman	ECL-Abar-8	nan
133	woman	NEM-Ajumbu-9	nan
134	woman	KDC-Ajumbu-10	nan
135	woman	ENB-Biya-1	nan
136	woman	ICN-Biya-2	nan
137	woman	NNB-Buu-3	nan
138	woman	MNJ-Buu-4	nan
139	woman	KHK-Fang-12	nan
140	woman	DPN-Fang-13	nan
141	woman	JGY-Koshin-3	nan
142	woman	TEL-Koshin-4	nan
143	woman	KCS-Kung-3	nan
144	woman	NJS-Kung-4	nan
145	woman	NMN-Mundabli-3	nan
146	woman	CEN-Mundabli-2	nan
147	woman	NGT-Munken-3	nan
148	woman	NUN-Munken-4	nan
149	woman	MCA-Ngun-3	nan
150	woman	KBM-Ngun-4	nan
151	woman	APB-Mumfu-1	kpɛ᷆ / tʃɛ᷆
152	woman	DNM-Mumfu-2	kpɛ᷇~tʃɛ̂ / tʃɛ᷇ː~tʃɛ́hɛ̄~tsɛ̂
153	woman	BKB-Mashi-2	mwɪ́kpān / bʊ́kǎbó
154	woman	KFK-Mashi-1	mwɪ́kpān / bʊ́kâːbó
155	woman	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́bʊ̄
156	woman	AGA-Missong-2	ʊ̀tʃœ̀lə́ / bàtʃœ̀lə́bū
157	person	NVB-Abar-7	ònò~ʊ̀nʊ̀ / ána᷇ː
158	person	ECL-Abar-8	ʊ̀nò / bʷɪ̀na᷇ː
159	person	NEM-Ajumbu-9	ŋʊ̀ / ánɪ̂~ánîbə̄
160	person	KDC-Ajumbu-10	ŋʊ̀ / ànè
161	person	ENB-Biya-1	ʊ̀nʊ̀ / bə̀nô
162	person	ICN-Biya-2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂
163	person	NNB-Buu-3	mgbɪ̀ / mbɪ́lə́
164	person	MNJ-Buu-4	mgbɪ̀ː / mbɪ᷇ːlə́
165	person	KHK-Fang-12	ŋmə̀ / ŋmɪ̀m
166	person	DPN-Fang-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
167	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
168	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
169	person	KCS-Kung-3	wùò / àɣʲə᷇ː
170	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
171	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
172	person	CEN-Mundabli-2	mò / mbɛ̂ː
173	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
174	person	NUN-Munken-4	ʊ̀nè / bə́nê
175	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
176	person	KBM-Ngun-4	ʊ̀nò / bə́nô
177	person	APB-Mumfu-1	ø / ø
178	person	DNM-Mumfu-2	màwɛ̌n / mbɛ̂ː
179	person	BKB-Mashi-2	mwɪ̀ / bʊ́ní
180	person	KFK-Mashi-1	mwɪ̀ / bʊ́ní
181	person	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄
182	person	AGA-Missong-2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː
183	male	NVB-Abar-7	nan
184	male	ECL-Abar-8	nan
185	male	NEM-Ajumbu-9	nan
186	male	KDC-Ajumbu-10	nan
187	male	ENB-Biya-1	nan
188	male	ICN-Biya-2	nan
189	male	NNB-Buu-3	nan
190	male	MNJ-Buu-4	nan
191	male	KHK-Fang-12	nan
192	male	DPN-Fang-13	nan
193	male	JGY-Koshin-3	nan
194	male	TEL-Koshin-4	nan
195	male	KCS-Kung-3	nan
196	male	NJS-Kung-4	nan
197	male	NMN-Mundabli-3	nan
198	male	CEN-Mundabli-2	nan
199	male	NGT-Munken-3	nan
200	male	NUN-Munken-4	nan
201	male	MCA-Ngun-3	nan
202	male	KBM-Ngun-4	nan
203	male	APB-Mumfu-1	mànʊ̂ / nʊ̂ːbə́
204	male	DNM-Mumfu-2	ø
205	male	BKB-Mashi-2	mwɪ̀ɲǒmnɪ̄ / bʊ́nôbó
206	male	KFK-Mashi-1	mwɪ̀ɲǒmnɪ̄ / bʊ́nôːbó
207	male	ABS-Missong-1	ʊ̀tʃʊ̀lə́ / bàtʃʊ̀lə́
208	male	AGA-Missong-2	nòːɲúŋhʊ̄ / bánɛ᷇báɲúŋhʊ̄
209	wife	NVB-Abar-7	nan
210	wife	ECL-Abar-8	nan
211	wife	NEM-Ajumbu-9	nan
212	wife	KDC-Ajumbu-10	nan
213	wife	ENB-Biya-1	nan
214	wife	ICN-Biya-2	nan
215	wife	NNB-Buu-3	nan
216	wife	MNJ-Buu-4	nan
217	wife	KHK-Fang-12	nan
218	wife	DPN-Fang-13	nan
219	wife	JGY-Koshin-3	nan
220	wife	TEL-Koshin-4	nan
221	wife	KCS-Kung-3	nan
222	wife	NJS-Kung-4	nan
223	wife	NMN-Mundabli-3	nan
224	wife	CEN-Mundabli-2	nan
225	wife	NGT-Munken-3	nan
226	wife	NUN-Munken-4	nan
227	wife	MCA-Ngun-3	nan
228	wife	KBM-Ngun-4	nan
229	wife	APB-Mumfu-1	kpɛ̂~kpá / tʃɛ̂~kpé
230	wife	DNM-Mumfu-2	kpá~kpɛ̂ / tʃɛ̄bɛ̄n~tʃɛ̂
231	wife	BKB-Mashi-2	kpāːn / bʊ́kâː
232	wife	KFK-Mashi-1	kpāːn / bʊ́kâːbó
233	wife	ABS-Missong-1	tʃə̄ / bátʃâː
234	wife	AGA-Missong-2	tʃə́wú / bátʃâwú
235	co-wife	NVB-Abar-7	nan
236	co-wife	ECL-Abar-8	nan
237	co-wife	NEM-Ajumbu-9	nan
238	co-wife	KDC-Ajumbu-10	nan
239	co-wife	ENB-Biya-1	nan
240	co-wife	ICN-Biya-2	nan
241	co-wife	NNB-Buu-3	nan
242	co-wife	MNJ-Buu-4	nan
243	co-wife	KHK-Fang-12	nan
244	co-wife	DPN-Fang-13	nan
245	co-wife	JGY-Koshin-3	nan
246	co-wife	TEL-Koshin-4	nan
247	co-wife	KCS-Kung-3	nan
248	co-wife	NJS-Kung-4	nan
249	co-wife	NMN-Mundabli-3	nan
250	co-wife	CEN-Mundabli-2	nan
251	co-wife	NGT-Munken-3	nan
252	co-wife	NUN-Munken-4	nan
253	co-wife	MCA-Ngun-3	nan
254	co-wife	KBM-Ngun-4	nan
255	co-wife	APB-Mumfu-1	tʃɔ̄ːm / tʃɔ̄myə́
256	co-wife	DNM-Mumfu-2	tʃɔ́m / tʃɔ́m
257	co-wife	BKB-Mashi-2	kpǎːlə́ / bʊ̀kpǎːlə́ (your co-wife)
258	co-wife	KFK-Mashi-1	kpə̀ʃi᷇ː/ø  (his co-wife)*
