ID	Concept	Doculect	Value
88	person	DPN-Fang-13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm
89	person	JGY-Koshin-3	mùèɲ ~ mwèɲ / bə́nî
90	person	TEL-Koshin-4	mɥɪ̀ɲ / bə́nî
91	person	KCS-Kung-3	wùò / àɣʲə᷇ː
92	person	NJS-Kung-4	wʊ̀ə̀ / ɣʲə᷇ː
93	person	NMN-Mundabli-3	mò / ḿbɛ̂ː
94	person	CEN-Mundabli-2	mò / mbɛ̂ː
95	person	NGT-Munken-3	ʊ̀nɛ̀ / bə̀nɛ̂
96	person	NUN-Munken-4	ʊ̀nè / bə́nê
97	person	MCA-Ngun-3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː
98	person	KBM-Ngun-4	ʊ̀nò / bə́nô
99	person	APB-Mumfu-1	ø / ø
100	person	DNM-Mumfu-2	màwɛ̌n / mbɛ̂ː
101	person	BKB-Mashi-2	mwɪ̀ / bʊ́ní
102	person	KFK-Mashi-1	mwɪ̀ / bʊ́ní
103	person	ABS-Missong-1	ǹnò / bànɛ̂bʊ̄
104	person	AGA-Missong-2	n̄nōwʊ́ / bànɛ᷇bʊ́~ǹnò / bànɛ᷇ː
105	friend	NVB-Abar-7	bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀
106	friend	ECL-Abar-8	ʊ̀kʷèː / bʷɪ̀kʷè
107	friend	NEM-Ajumbu-9	ǹ̩sànə́ / ásěː~ǹ̩sànə́
108	friend	KDC-Ajumbu-10	ǹ̩sânə́ / ásé
109	friend	ENB-Biya-1	bí / bàbí~bə̀bí
110	friend	ICN-Biya-2	bʲê / bə̀bʲê
111	friend	NNB-Buu-3	ǹsʊ́n / bə̀nsʊ́n
112	friend	MNJ-Buu-4	ǹsʊ́ːn / bə̀nsʊ́ːn
113	friend	KHK-Fang-12	sʊ̄n / bə̀nsʊ́n
114	friend	DPN-Fang-13	sʊ̄n / bə̀nsʊ́n
115	friend	JGY-Koshin-3	ńséɲ / ǹséɲ ~ ńséɲ
116	friend	TEL-Koshin-4	ǹsɪ̄ɲ / ńsɪ́ɲ
117	friend	KCS-Kung-3	sø̄ʲ ~ wʊ̀òsòɲ / sóʲ
118	friend	NJS-Kung-4	sóʲ / ə̄sóʲ
119	friend	NMN-Mundabli-3	n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ
120	friend	CEN-Mundabli-2	ńsʊ́ːŋ / ńsǿé
121	friend	NGT-Munken-3	bʲâ / bə̀bʲá
122	friend	NUN-Munken-4	àtsò / bàtsò
123	friend	MCA-Ngun-3	bī~bîː / bɛ̀bí
124	friend	KBM-Ngun-4	ʊ̀kɥɪ̀ / bə̀kɥɪ̀
125	friend	APB-Mumfu-1	ńsʊ́ŋ / ńswéːn
126	friend	DNM-Mumfu-2	n̄sʊ̄ŋ / n̄sōn
127	friend	BKB-Mashi-2	ǹsʊ́ / ǹsʊ́
128	friend	KFK-Mashi-1	ǹsʊ́ / ǹsʊ́ŋ
129	friend	ABS-Missong-1	ìtsʊ̈̌ / kítsʊ̂lə̀
130	friend	AGA-Missong-2	ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́
131	chief	NVB-Abar-7	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂
132	chief	ECL-Abar-8	ŋkʊ́ŋ / ŋkʊ́ŋbʷɪ̂
133	chief	NEM-Ajumbu-9	ŋ̀kʊ́~ŋ̀kʷʊ́ò/àŋkʷʊ́bə̄~àŋkʊ́~àŋkú
134	chief	KDC-Ajumbu-10	ŋ̀kʊ́~ŋ̀kú /àŋkʊ́~àŋkú
135	chief	ENB-Biya-1	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
136	chief	ICN-Biya-2	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
137	chief	NNB-Buu-3	ŋ̀kə́ŋ / bə̀ŋkə́ŋ
138	chief	MNJ-Buu-4	ŋ̀kə́ŋ / bə̀ŋkə́ŋ
139	chief	KHK-Fang-12	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
140	chief	DPN-Fang-13	ŋkʊ́ŋ / bə̀ŋkʊ́ŋ
141	chief	JGY-Koshin-3	fèɲ / tə́fêɲ
142	chief	TEL-Koshin-4	fə̀ɲ / tə̀fə̂ɲ
143	chief	KCS-Kung-3	fɔ̀ʲ / sə̀fɔ̂ʲ
144	chief	NJS-Kung-4	fɔ̀ɪ̀ / fɔ̂ɪ̀sə̀ ~ sə̀fɔ́ɪ̀
145	chief	NMN-Mundabli-3	ŋkʊ̌ŋ / bòŋkʊ̌ŋ
146	chief	CEN-Mundabli-2	ŋ̀kʊ̌ːŋ / bòŋkʊ̌ŋ
147	chief	NGT-Munken-3	ŋkʊ́ŋ / ŋ̀kʊ́ŋsə́
148	chief	NUN-Munken-4	ŋ̀kʊ́ŋ / bə̀ŋkʊ́ŋ
149	chief	MCA-Ngun-3	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ
150	chief	KBM-Ngun-4	ŋkʊ́ŋ / bɛ̀ŋkʊ́ŋ
151	chief	APB-Mumfu-1	ŋkʊ̌ŋ / ŋkʊ̌ŋbə́ ~ŋkʊ́ŋ / ŋkʊ̄ŋ
152	chief	DNM-Mumfu-2	ŋ̀kʊ̌ŋ / bə̀ŋkʊ̄ŋbə́
153	chief	BKB-Mashi-2	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ
154	chief	KFK-Mashi-1	kʊ̌ːŋ / bʊ̀ŋkʊ̌ːŋ
155	chief	ABS-Missong-1	ŋ̀kʊ́ŋ / bàŋkʊ́ŋ
156	chief	AGA-Missong-2	ŋ̀kʊ́ŋ / bàŋkʊ́ŋbʊ̄
157	deity, god, God	NVB-Abar-7	kə̀jì / ìjìbì
158	deity, god, God	ECL-Abar-8	kə̀jì / bìjì
159	deity, god, God	NEM-Ajumbu-9	kə̀zə̀ / bə̀zə̀
160	deity, god, God	KDC-Ajumbu-10	kə̀zə̀ / bə̀zə̀
