ID	Concept	Doculect	Value
99	father	NNB-Buu-3	tə̌ː / bə̀tǎː
100	father	MNJ-Buu-4	tə̌ː / bə̀tə̌ː
101	father	KEM-Buu-1	tǎː / bə̀tə̌ː 
102	father	KCY-Buu-2	tàː / bə̀tàː
103	father	KHK-Fang-12	tɪ̀lə́ / bə̀tɪ̀lə́
104	father	DPN-Fang-13	bə̀bá / bə̀bø̂
105	father	KDV-Fang-1	nan
106	father	KJS-Fang-2	nan
107	father	JGY-Koshin-3	bâ / bə̀bâ
108	father	TEL-Koshin-4	tʲə̂ / bə́tʲə̂
109	father	DPJ-Koshin-1	nan
110	father	MRY-Koshin-2	nan
111	father	KCS-Kung-3	bɛ̂ː ~ tʃə́ʔ / ɣɛ̀bɛ̂ː ~ tʃə́ʔsê
112	father	NJS-Kung-4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ
113	father	ZKG-Kung-1	bɛ̂ː / ɣɪ̀bɛ̂ː
114	father	BNM-Kung-2	pə̀pá / sə̀pə̀pá
115	father	NMN-Mundabli-3	tɪ̌ː / tʲě
116	father	CEN-Mundabli-2	tɪ̌ː / tɪ̌ː wɪ̄
117	father	LFN-Mundabli-1	těː / tēbó
118	father	NIN-Mundabli-4	tjě / bə̀tjěbó
119	father	NGT-Munken-3	kʲə̀lə́ / bə̀kʲə̀lə́
120	father	NUN-Munken-4	tâ / bə̀tǎː
121	father	NEA-Munken-1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː
122	father	TNT-Munken-2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː
123	father	MCA-Ngun-3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé
124	father	KBM-Ngun-4	bə̀bá / bə̀bə̀bá
125	father	WCA-Ngun-1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé
126	father	AOM-Ngun-2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá
127	father	APB-Mumfu-1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː
128	father	DNM-Mumfu-2	tā / bə̀tāːbə́
129	father	BKB-Mashi-2	bə̀bə́ / bʊ̀bə̀bə́
130	father	KFK-Mashi-1	tʃyě / bʊ̀tʃyě
131	father	ABS-Missong-1	tʃyɛ̌ / bàtʃyɛ̌
132	father	AGA-Missong-2	tʃyɛ̌ / bàtʃyɛ̌
133	mother	NVB-Abar-7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî
134	mother	ECL-Abar-8	nɪ́jā / àné~bʷɪ̀nɪ́jā
135	mother	NMA-Abar-1	néà / bə̀néà
136	mother	NAC-Abar-2	nɪ́yā / bə̀nɪ́yā
