"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NMA-Abar-1","NAC-Abar-2","NEM-Ajumbu-9","KDC-Ajumbu-10","NVI-Ajumbu-1","KMN-Ajumbu-2","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KEM-Buu-1","KCY-Buu-2","KHK-FANG-12","DPN-FANG-13","KDV-Fang-1","KJS-Fang-2","JGY-Koshin-3","TEL-Koshin-4","DPJ-Koshin-1","MRY-Koshin-2","KCS-Kung-3","NJS-Kung-4","ZKG-Kung-1","BNM-Kung-2","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","LFN-Mundabli-1","NIN-Mundabli-4","NGT-Munken-3","NUN-Munken-4","NEA-Munken-1","TNT-Munken-2","MCA-Ngun-3","KBM-Ngun-4","WCA-Ngun-1","AOM-Ngun-2"
"309","seed","ɪ̀kpʊ̀ / m̀kpʊ̀mʷɪ̀~àmkpʊ̀","ɪ̀ʃàm / mʊ̀nʃàm~ɪ̀ʃàmò","ìndʒáhá / mwɪ̀ndʒáhá","ìdʒáhá / mə̀ndʒáhá","ʃɛ́n / áʃɛ́n","ʃɛ́n / áʃɛ́n","kə̀sáŋ / bə̀sáŋ","kə̀sáŋ / bə̀sáŋ","ɪ̀ʃám~ɪ̀ʃàm / kə̀ʃàm~kə̀ʃàmə̀","ɪ̄ʃām / āʃām","ʃám / mə́nʃâmfə́ ~ ʃa᷇ːm","ʃám / kə́ʃámtə́","gâːsə́ / gɣâsə̀","gǽːsə́ / gɣâsə̀","sām / sám","sām / sám","kə̀kpàn / bə̀kpàn "," kə̀kpàn / bə̀kpàn","ʃʷàmə́ / ʃʷám","ʃʷàmə́ / ʃʷa̽m","wúnə̄  /  gæ̂ː","gánə́ /  gæ̂ː","fə̀sáŋ / m̀sáŋ","fə̀sáŋ / m̀sáŋ","ìkóɪ́~ókóy / sə̀kóɪ́","ìkóɪ́ / ə̀kóɪ́","dzzí / dzə́ŋ","dzzí / dzə́ŋ","ìdʒáhà / ádʒáhà","ádʒáhà~ɪ́dʒáhà / ádʒáhāwū","gâ / gâːwə̌","gâ / gâhō","sám / sām~sám","sāɦm / sáɦːm","gɛ̂ː / gɛ̀ːkó","gɛ̂ / gɛ̀ːkó","ɪ́ʃám / kɪ́ʃámə́","ɪ̀kpò / ɪ̀kpólə̄~àkpólə̄","ɪ́dʒye~ɪ́dʒyə́ / ádʒyé~adʒyə́","ìdʒɛ́ / àdʒɛ́","ɪ̀kpò / àkpò","ɪ̀kpò / àkpò~kə̀kpǒ","ɪ̀dzáhá / àdʒáhá","ɪ̀dʒáhá / àdʒáhá"
"310","seedling (planting seeds)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mbʲə̀ / ø","ø / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"bʊ̀mʊ̀m / ø ","bʊ́mʊ̂m / ø",NULL,NULL,NULL,NULL
"311","pap","ⁿbʷôbó / ⁿbʷôbóbʷɪ̂","m̀bʷôbó / bʷɪ̀mbʷôbó",NULL,NULL,"ⁿtsàːlə̀ / àⁿtsàːlə̀","ⁿtsâːlə̀ / àⁿtsàːlə̀",NULL,NULL,"ⁿbʷàhá / bə̀ⁿbʷàhá","ⁿbʷâbə́ / ⁿbʷâbə́","ǹtsàːlə́~ǹtsàlə́ / ø ~ bə̀ntsàlə́","ǹtsàːlə́ / bə̀ntsàːlə́",NULL,NULL,"tsèlə̀ / bə̀ntsèːlə̀","tsèːlə̀~ntsɛ̀lə̀ / tsèːlə̀~bə̀ntsɛ̀ːlə̀",NULL,NULL,"ⁿdǐːbábə́ní (youths) ~ ǹtsùabə́ (elders)/ø","tsùàbə́ / ńtsúàbə́","mfóbə̀ / ø","ø / ø","ʊ̀wâŋ / sə̀wâŋ","ʊ̀wâŋ / ø",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ńtʃʷá / ńtʃʷá","ǹtʃúá / ǹtʃúá",NULL,NULL,"m̀bʷábə̄ / bə̀mbʷábə̄","mbʷábə̄ / bə̀mbʷábə̄",NULL,NULL,"ⁿbʷɔ̂bə́ / bìⁿbʷɔ̂bə́~ⁿbʷɔ̂bə́","ⁿbʷɔ̀bə́ / bɛ̀ⁿbʷɔ̀bə́",NULL,NULL
"312","corn","ǹdʒáhá / ǹdʒáhámʷɪ̂","ɪ̀dʒáhá / mwɪ̀ǹdʒáhá~ǹdʒáhá",NULL,NULL,"kə̀sáŋ / bə̀sáŋ","kə̀sáŋ / bə̀sáŋ","ntsàːlə̀ / àntsàːlə̀~","ø / ø","ɪ̀dʒáhá / àdʒáhá","ɪ̀dʒáhá / àdʒáhá","gɣàːsə̀ / ø","gɣáhà / gɣâsə̀","ø / bə̀tséːm ","ø / ø","kə̀kpàn / bə̀kpàn","kə̀kpàn / bə̀kpàn",NULL,NULL,"gánə́ / gɛ̂ː","gánə́ / gɛ̂ː",NULL,NULL,"ìsə̀f / sə̀sə̀f","ɪ̀sə̀f / sə́sə̀f",NULL,NULL,"gìgà / ø","gìgàk ~gìgà / bʊ̀gìgàk ~bùgìgà","kìntʃám / bìntʃám","mbòlə́ / bàmbòːlə́bʊ̄","tám / tāmwə́","ŋkènděː~ŋkɛ̀ndé / ø","gɛ̂ / gɛ̂","gɛ̂ː / gɛ̀ː wó","tām / tāmbó","tāɦm / tāmwó","ɪ̀dʒɛ́ / àdʒɛ́","ɪ́dʒɛ́ / ádʒɛ́","ŋ̀kèːndé / ø ","ŋkèndé ~ àŋkə̀ndé / ø ~ bə̀ŋkə̀ndé","ɪ̀dʒáhá / àdʒáhá","ɪ̀dʒáhá / àdʒáhá","ŋkə̀ndé / bɛ̀ŋkə̀ndé","ŋ̀kéndé / ø"
"313","corn fufu","ʊ̀mɔ̀m~ʊ̀mòm~bʊ̀mòm / ʊ̀mòmⁿbʊ̀~àmɔ̀m","bʊ́mòm~ʊ́mʊ̂m/bʷɪ̀mòm~bʊ́môm","m̄ké","ʃìŋké / m̀ké","kə́ɲʲə́ ~ɲʲə̄ː / bə́ɲʲə́","kə́ɲʲə́~bə́ɲʲə́ / bə́ɲʲə́ːlə́","m̀kàɲ / ə̀mkàɲ","ḿkâɲ / ø ~ fə̀kâɲ / ḿkâɲ","bùmɛ̂m / ʊ̀mɛ̀m","bʊ́mɛ̄m / bʊ́mɛ̄m","ø ~ kə́ɲʲɛ́m / bə́ɲʲɛ́m","kə́níɛ́m / bə́níɛ́m","ŋkáː / ø ~ kə̀ŋkátə́","ŋká / ø","lʲə́m / bə̀lʲə́m","bə̀lʲə́m~fə̀nlʲə́nə̀ / bə̀lʲə́m","mə́kâːn","mə́kâːn","ø / bə́ní","ø / bə́ní","kpə̄ / ø","ø / ø","kə́báʲ / ʊ̀báʲ","kə́báɪ́ / ʊ́báɪ́","ḿkxə́ / kxə́àmə̀","káŋ / sə̀káŋ","mʊ́kât / ø","mʊ́kâːt / ø","fìŋkàːlə̀ / àŋkàːlə̀","àŋkàːlə̀ / àŋkāːlə̄mū","ŋkɛ̀ʔ / ŋkɛ̂ʔmə́","ŋ̀kɛ̀ʔɛ̀~ŋkɛ́ʔɛ̀ / ŋkɛ́ʔɛ̀mə́~ŋkɛ́ʔə̀","ɲāːm / ɲāːm","ɲám / ɲáːm","ŋ́kâː / ŋ̀kàːmó ~ ŋkā / ŋkā","ŋkāːʰ / ŋkāːʰmó","bʊ̀mʊ̀m / bʊ́mʊ̂m","ʊ̀mʊ̀m ~ ʊ̀mʊ̀mʊ̀ / ʊ̀mʊ̀mbù ~ kìmʊ̀mʊ́","ø / mʊ̀ŋkɛ́","mùnkɛ́ / ø","bùmɛ̂m~ùmɛ̂m / ɪ̀ʃɔ́ŋ búmɛ̂m~ɪ́ʃɔ́ŋ~ búmɛ̂m","bʊ̀mɛ̀m / ɪ̀mɛ̀m~bùmɛ̀m","fìŋkɛ́ / m̀kɛ́","fìŋkɛ́ / mɨ̃̀ŋkɛ́"
"314","corn flour",NULL,NULL,"kéwɔ́m / bíwɔ́m","kə́wóm / bíwóm",NULL,NULL,"ŋgwám / àŋgwám ","ŋgwám / áŋgwám ",NULL,NULL,NULL,NULL,"ŋgóm / bə̀ŋgóːm","ŋgóːm / bə̀ŋgóːm",NULL,NULL,"ŋgwòːn / bə̀ŋgwòːn","ŋgʷʊ̂ːn / bə̀ŋgʷʊ̂ːn",NULL,NULL,"kə̀mə̀ːmə̂  /  bə̀mə̀ːmə̂","dʒʊ̀mə̀ /  bə̀mə̀ːmə̂",NULL,NULL,"kə́fə̂ː / úfə̂ː","kə́fə̂ː / úfə̂ː","nàmtə̌ː / námtə́","nàmtə̌ː / námtə́","kyə̌mbáːn / byə̌mbáːn","kɪ̀wʊ́mkyɛ̌mbān / kɪ̀wʊ́mbyɛ̌mbān","ŋgɔ́m / ŋgɔ̀mbə́","ŋgɔ́ʔṃ / ŋgɔ̀ʔmbə́",NULL,NULL,"ŋgɒ́m / ŋgɒ̄mbó","ŋgɒ́ɦm / ŋgɒ̀ɦmbó",NULL,NULL,"áŋgə́mə́ / bíŋgə́mə́","àŋgə́mməbə̀nɛ̂ / bìŋgə́mməbə̀nɛ̂",NULL,NULL,"kə́wómáno᷇ / bíwóm","kə̀wóm / bìwóm"
"315","coarse flour (kende)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"316","corn beer",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"317","plantain","kə́wóm~àwómə́ / bíwóm~ɪ̀wóm","kə̀wɔ́m / bìwɔ́m",NULL,NULL,"ⁿgʷám / àⁿgʷám","ⁿgʷɑ̂m / àⁿgʷɑ́m~ àⁿgʷɑ̀m",NULL,NULL,"ìgám / kə̀gám","ɪ̀gə́m / kə̀gə́m","ⁿgóm / bə̀ⁿgóm","ⁿgóm / bə̀ⁿgóm",NULL,NULL,"ⁿgôn / bə̀ⁿgôn","ⁿgʊ̂n / bə̀ⁿgʊ̂n",NULL,NULL,"kə̀ŋ̀wɛ̀ː / bə̀ŋ̀wɛ̀ː","kə̀ŋ̀wɛ̀ / bə̀ŋ̀wɛ̀",NULL,NULL,"kə̀fə̂ːɣ /ʊ̀fə̂ːɣ","kə̀fə̂ɣ /ʊ̀fə̂ɣ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋgɒ́m / ŋgɒ̄m","ŋgɒ̄ɦm / ŋgɒ̄ɦm bóɦ",NULL,NULL,"áŋgámá / bìŋgámá","àŋgə́mə́ / bìŋgə́mə́",NULL,NULL,"kə̀wóm~àwóm / bìwóm~ìwóm~ kə̀wóm bɛ̀nô / bìwóm bɛ̀nô","kə̀wóm / bìwóm",NULL,NULL
"318","plantain ( a )",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"319","plantain ( b )",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"320","plantain ( c )",NULL,NULL,"bǎːnà / bwɪ̀bànánà","kə̀wóm / bìwóm",NULL,NULL,"kə̀tsú / bə̀tsú ","kə̀tsú / bə̀tsú ",NULL,NULL,NULL,NULL,"fə̀ntʃə́ŋ / mə̀ntʃə́ŋ ","fə̀ntʃə́ŋ / mə̀ntʃə́ŋ",NULL,NULL,"kə̀tʃʊ́kə̂ / bə̀tʃʊ́kə̂","kə̀tʃʊ́kə̂ / bə̀tʃʊ́kə̂",NULL,NULL,"kə̀lǽ  /  bə̀lǽ","kə́tʃʊ́kʊ́ /  bə̀lǽ",NULL,NULL,"ø / ø","bànánà / sə̀bànánà","fìntsʊ̂k / mʊntsʊ̂k","fìntsʊ̂k / mʊntsʊ̂k","kìwúm / bìwúm","kɪ̀wʊ́m / bìwʊ́mbī","͏͏ƙɥǒk / ƙɥókbə́","kyǒk / kyókbə́",NULL,NULL,"tsǿ / tsǿbó","tsʉ́ɦ / tsʉ́ɦbó",NULL,NULL,"bàhánà / bə̀bàhánà","àŋgámə́bìdzʊ́ŋ / bìŋgə́mə́bìdzʊ́ŋ",NULL,NULL,"kə̀wómbìzʊ̌ŋ / bìwómbìzʊ̌ŋ","kə̀wómbìzʊ̌ŋ / bìwómbìzʊ̌ŋ"
"321","plantain ( d )",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"áŋgə́məbìdzʊ́ŋ / bíŋgə́mə́bìdzʊ́ŋ","ø / ø ",NULL,NULL,NULL,NULL
"322","hand (plantain) 2",NULL,NULL,"kèlókō / bìlókō","kə̀lókwó / bìlókwó",NULL,NULL,"lókō / àlókō","lóːkō / àlóːkō ",NULL,NULL,NULL,NULL,"kə̀lókó / bə̀lókó ","kə̀lókō / bə̀lókō",NULL,NULL,"kə̀lɒ̀kɔ́ / bə̀lɒ̀kɔ́","kə̀lɔ́kɔ́ / bə̀lɔ́kɔ́",NULL,NULL,"lɒ́kɒ̀  /  bə̀lɒ̄kɒ̀","lókɔ̀ /  bə̀lɒ̄kɒ̀",NULL,NULL,"lókō / sə̀lókō","lókō / sə̀lókō","àlʊ́kʊ́ / bìlʊ́kʊ́","àlʊ̌kʊ́ / bìlʊ̌kʊ́","kɪ̀lʊ́kʊ̀ / bìlʊ́kʊ̀","kɪ̀lókʊ̀ / bìlókʊ̀bí","lɔ́kɔ̄ / lɔ́kɔ̄bə́","lɔ́kɔ̄~lɔ́kɔ̀ / lɔ́kɔ́bə́",NULL,NULL,"lɔ́kɔ̀ / lɔ́kɔ̀bó","lɔ́kɔ̀ / lɔ́kɔ̀bó",NULL,NULL,"àlɔ́kō / bílɔ́kō","àlɒ́kɒ̄ / bìlɒ́kɒ́",NULL,NULL,"kʊ̀lókō ~bìlókō / bìlókó ","kə̀lókō / bìlókō"
"323","banana","kə̀wóm~àwóm / ɪ̀wómbî","kə̀wóm / bìwóm","ʃìntʃáŋ / m̀tʃáŋ ","ʃìntʃáŋ / m̀tʃáŋ","kə̀tsú / bə̀tsú","kə̀tsúkə̄~kə̀tsúɣə́ / bə̀tsʊ̀kə́~bə̀tsʊ̀ɣʊ́","fə̀ndə̀ʔtʃí / ə́mndə̀ʔtʃí","fə̀ndə̀ʔtʃí / m̀ndə̀ʔtʃí ","bǎːnà / bàbǎːnà","ígə́mbìdzʊ̂n / kə̀gə́mbìdzʊ̂n","fə̀ntʃə́ŋ / mə̀ntʃə́ŋ","fə̀ntʃə́ŋ / mə̀ntʃə́ŋ","ndòtʃí / bə̀ndòtʃí","ndòtʃí / bə̀ndòtʃí","kə̀tʃʊ́kə̂ / bə̀tʃʊ́kə̂","kə̀tʃʊ́kə̂ / bə̀tʃʊ́kə̂","fə̀ndʒâŋ / mə̀ndʒâŋ ","fə̀ndʒâŋ / mə̀ndʒâŋ","kə́tʃʊ́kʊ́ / bə́tʃʊ́kʊ́","kə̀tʃʊ́kə́ / bə̀tʃʊ́kə́","kə̀kʷù  /  bə̀kʷù","kə́lə́kpə̄ /  bə̀kʷù","kə̀tsʊ́ʔ /  ʊ̀tsʊ́ʔ","kə̀tsʊ́ʔ /  ʊ̀tsʊ́ʔ","ndɔ́ŋ / sə̀ndɔ́ŋ","ndɪ̀ʔtʃí / sə̀ndɪ̀ʔtʃí","fìndzâŋ / mùndʒâŋ","fìndzǎŋ / mùndʒǎŋ","ʊ̀làŋâ / bàlàŋâ","ʊ̀làŋâ / bàlàŋábʊ̄","lāŋ / làŋ","lǎŋ̈ / lǎŋbə́","tsʊ̈̄ / tsʊ̈̄","tsø̄ɦ  / tsǿɦ bō","ǹtsáŋ / ǹtsáŋbó","ǹtsáŋ / ǹtsáŋbó","bànánà / bə̀bànánà","pǎːnà / bə̀pànánà~bèpǎːnà","ʃintʃáŋ / mùntʃáŋ","ʃintʃáŋ / mùntʃáŋ","kə̀wóm / bìwóm~kə̀wómbìdzʊ̀ŋ / bìwómbìdzʊ̀ŋ","kə̀wómbìdzʊ̌ːŋ / bìwómbìdzʊ̌ŋ~bàhánà/bə̀bàhánà","fìntʃáŋ / m̀ntʃáŋ","fìntʃáŋ / mwɪ̀ntʃáŋ "
"324","banana (native)",NULL,NULL,"ʃìŋgʊ́n / ḿŋgʊ́n","ʃìŋgʊ́n / m̀ŋgʊ́n",NULL,NULL,"kə́dʒídʒyə̀ / bə̀dʒídʒyə̀","kə̀dʒídʒə̀~kə̀dʒídʒyə̀ / bə̀dʒídʒə̀~bə̀dʒídʒyə̀",NULL,NULL,NULL,NULL,"dzàŋtə́ / kə́dzáŋtə́nə̄","dzàŋtə́ / ə̀dzáːŋtə́",NULL,NULL,"kə̀ndzɛ̃̂ndzɛ̃̌ / bə̀ndzɛ̃̂ndzɛ̃̌","kə̀ndzɛ̌ːndzɛ́ / bə̀ndzɛ̌ːndzɛ́",NULL,NULL,"kə́nêkə̀ʃə́m  /  bə̀nǽbə̀ʃə́m","kə̀ndzáŋndzáŋ /  bə̀nǽbə̀ʃə́m",NULL,NULL,"kə́za᷇ːŋsə́ / ʊ́za᷇ːŋsə́","kə́za᷇ːŋsə́ / ʊ́za᷇ːŋsə́","dzàŋtí / dzàŋtí","dzàŋtɪ́ / dzāŋtɪ́","ìzàntə́ / kìzàntə́","ɪ̀zə̀ŋtɪ̄ / kɪ̀zə̀ŋtɪ́kɪ̄  ","dzáŋ~záŋ / dzáŋyə́","zǎŋ̈ / zǎŋ̈yə́",NULL,NULL,"záŋ~ záŋ / záŋyə̄","dzə́áŋ ~dzāŋ / dzə́áŋyə̄ ~dzāŋ",NULL,NULL,"ádʒâŋhə́ / bídʒâŋhə́","ádʒâŋsə́ / bídʒâŋsə́",NULL,NULL,"kə́dʒâːŋə́ ~kə́dʒâŋhɨ̃́ / bídʒâŋə́ ~bídʒâŋhɨ̃́","kə́dʒâŋhɨ́ / bìdʒâŋhɨ́"
"325","cassava",NULL,NULL,"kéyí / bíyí","kə̀yí / bìyí",NULL,NULL,"bə́vû / ə̀bə̀vû ","kə́vû / bə́vû",NULL,NULL,NULL,NULL,"kə́yʊ̂ː / bə̄yʊ̂ː","kə́yʊ̂ː / bə̄yʊ̂ː",NULL,NULL,"lʊ̀ / bə̀lʊ̀","lʊ̀ / bə̀lʊ̀",NULL,NULL,"kə́bʲə̃̄  /  bə́bʲə̃́","kə́dʒwə̂ /  bə́bʲə̃́",NULL,NULL,"ìɣʊ᷇ːm / sə̀ɣʊ᷇ːm","ɪ̀ɣo᷇ːm / sə̀ɣo᷇ːm","àŋká / bìŋká","àŋkā / bìŋkā","kíyúó / bíyúó","bíyʊ᷇ː / bíyʊ᷇ːbī","yʊ́ɔ̀ / yʊ́ɔ̀bə́","yòː / yòːbə́",NULL,NULL,"yʊ́œ̀ / yʊ̄œ̄bó","yúə̀ʰ / yūə̄ʰbó",NULL,NULL,"áyí / bíyí","áyí / bíyí",NULL,NULL,"kə̀yí / bìyí","kə̀yí / bìyí"
"326","potato","ǹtʃáŋʃî~ǹtʃáŋ / mʊ̀ntʃáŋ~ǹtʃáŋ","ʃìntʃáŋ / mùntʃáŋ~mʷɪ̀ntʃáŋ","kə̀mfʊ̂ / bìmfʊ̂ ","kə̀mfʊ̂ / bìmfʊ̂","fə̀ⁿdòʔtʃí / m̩̀ⁿdòʔtʃí","fə̀ⁿdə̀ʔtʃí / mə̀ⁿdə̀ʔtʃí~m̩̀ⁿdə̀ʔtʃí",NULL,NULL,"fìⁿtʃáŋ / m̩̀tʃáŋ","fìndʒáŋ / mʊ̀ndʒáŋ","ndòtʃí / bə̀ndòtʃí","ndòtʃí / bə̀ndòtʃí","kə̀ndɔ̀ŋ / bə̀ndɔ̀ŋ ","kə̀mfə̌ŋ /bə̀mfə̌n","fə̀ⁿdʒâŋ / mə̀ⁿdʒâŋ","fə̀ⁿdʒâŋ / mə̀ⁿdʒâŋ","ø / ø","kə́kxɛ᷇ː / kxɛ́ːn","kə́lə́kpə́ / bə́lə́kpə́","kə́lə́kpə́ / bə́lə́kpə́","kə̀mfʲẽ̀  /  bə̀mfʲẽ̀","kə̀mfʊ̌ː /  bə̀mfʲẽ̀","ndèʔtʃí / sə̀ndèʔtʃí","ndèʔtʃí / sə̀ndèʔtʃí","nâŋ~kə̀nâŋ / wùnâŋ","kə́na᷇ːŋ / ʊ́na᷇ːŋ",NULL,NULL,NULL,NULL,NULL,NULL,"ǹtsáŋ / ǹtsáŋ","ǹtsáŋ / ǹtsáŋ bó",NULL,NULL,"ʃìntʃáŋ / mùntʃáŋ","ʃìntʃáŋ / mʊ̀ntʃáŋ",NULL,NULL,"fìⁿtʃáŋ / m̩̀tʃáŋ~ǹ̩tʃáŋ","fɪ̀ⁿtʃáŋ / mʊ̀ⁿtʃáŋ",NULL,NULL
"327","sugar cane",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə̀ntã̂  /  bə̀ntã̂","ntòːsáŋ ~ ndòːsáŋ /  bə̀ntã̂",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"328","yam","kə̀jí~àjí / ɪ̀jíbî","kə̀jí / bìjí",NULL,NULL,"kə́vûː / bə́vûː","kə̀vù / bə̀vù",NULL,NULL,"kə̀jí / bìjí","kə̀jí / bìjí","kə́yʊ̂ː / bə́yʊ̂ː","kə́yʊ᷇ː / bə́yʊ᷇ː",NULL,NULL,"lʊ̂ / bə́lʊ̂","tø̄ / tə́tø᷇ː",NULL,NULL,"kə́dʷə̂ / bə́dʷə̂","kə̀dʒúə̀ / bə́dʒúə̀","kə̀fü / bə̀fü~kə̀fɥí","ø / bə̀fü~kə̀fɥí","ìlə́m / ə̀ːlə́m","ɪ̀lə́m / ə̀lə́m~lə́mə́",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"yùɒ̀ɦ / yúɒ́ɦ","yúɒ̀ɦ / yűɒ̏ɦː",NULL,NULL,"áyí / bìyí","ɪ̀yí / bìyí",NULL,NULL,"kə̀jí / bìjí","kə̀jí / bìjí",NULL,NULL
"329","cocoyam","kə̀mfʊ̂ / ɪ̀ɱfʊ́bî","kə̀mfǔː / bìmfǔː",NULL,NULL,"kə̀ⁿfʊ̀ / bə̀ⁿfʊ̀","ⁿfʊ̀ / àⁿfʊ̀",NULL,NULL,"kə̀mfʊ́ / bìmfʊ́","kə̀ɱfó / bìɱfó","kə̀ⁿdɔ́ŋ / bə̀ⁿdɔ́ŋ","kə̀ⁿfə̌ːŋ / bə̀ⁿfə̌ːŋ",NULL,NULL,"fə́kxɛ᷇ː / kxɛ᷇ːm","fə́kxɛ᷇ː / kxɛ́m",NULL,NULL,"kə̀kɔ̀bə̀m / bə̀kɔ̀bə̀m","kə̀mfʊ̀ú / bə̀mfʊ̀ú","kə̀fí  /  bə̀fí","ø /  bə̀fí","kə̀nâŋ / ʊ̀nâŋ","kə̀nâŋ / ʊ̀nâŋ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"m̀fǎɲ / m̀fǎɲ","m̀fʊ̌ŋ / m̀fɛ̌n",NULL,NULL,"ámfɪ́ / bìmfɪ̂","àɱfé / bìɱfé",NULL,NULL,"kə̀ⁿfʊ́ / bìⁿfʊ́","kə̀ⁿfʊ́ / bìⁿfʊ́",NULL,NULL
"330","k.o cocoyam",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"331","k.o cocoyam (a)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"332","k.o cocoyam (b)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə́ɲʷɛ̀ɲ  /  bə́ɲʷɛ̀ɲ","nə́kɛ̄ːkɛ́ /  bə́ɲʷɛ̀ɲ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"333","k.o cocoyam (c)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kə̀ndɔ́ŋ / bə̀ndɔ́ŋ","kə̀ndɔ́ŋ / bə̀ndɔ́ŋ",NULL,NULL,"kə́tsɛ̂  /  bə́tsɛ̂","kə̀kɔ̀bə̀m /  bə́tsɛ̂",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
