"OrderingID","Concept","NVB-Abar-7","ECL-Abar-8","NEM-Ajumbu-9","KDC-Ajumbu-10","ENB-BIYA-1","ICN-BIYA-2","NNB-Buu-3","MNJ-Buu-4","KHK-FANG-12","DPN-FANG-13","JGY-Koshin-3","TEL-Koshin-4","KCS-Kung-3","NJS-Kung-4","KFK-Mashi-1","BKB-Mashi-2","ABS-Missong-1","AGA-Missong-2","APB-Mumfu-1","DNM-Mumfu-2","NMN-Mundabli-3","CEN-Mundabli-2","NGT-Munken-3","NUN-Munken-4","MCA-Ngun-3","KBM-Ngun-4"
"11","white man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"nɪ̀sāː~nàsá / bʊ̀nɪ̀sá~bʊ̀nìsā~nàsárà","mʊ̀wʊ́nàsá / bʊ́níbʊ́nàsá","nàsálə̄ / bànàsálə̄","ø / ø","mànàsɛ́~nàsɛ́ː / mbɛ̂nàsɛ̄~nàsɛ̀bə́","nɛ̀sɛ́~màwɛ́ / mbɛ̂nɛ̀sɛ́~mbɛ̄bə̀wɛ̄bɛ́",NULL,NULL,NULL,NULL,NULL,NULL
"12","black man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó","mwɪ̀dzɪ̀twə̄ / bʊ́nìbʊ́dzɪ́tbó","nóːtsə́nsə́ / bànɛ̂bàtsə̀nsə́","nòːtsə̀nsə́ / bánɛ̂bàtsə̀nsə́","màyəl / mbɛ̀yə̄l~mbɛ̀bə̄yəl","yə́l~màyə́l~màyɪ́l / mbɛ̂yə́l~mbɛ́yɪ́l",NULL,NULL,NULL,NULL,NULL,NULL
"13","twin",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ŋwə́wɪ́mbámtʊ́~mbámtʊ́/ bìnbʊ́mbámtʊ́","mbāmtʊ́ / mbámtʊ́","fìmáŋ / ámáŋhə̃́ ~","ámáŋhə̃́ / ámáŋhə̃́mú","ǹtə̀mbə̀ntā / ǹtə̀mbə̀ntàbə́","mbá / ɲɔ̀ʔbə̀mbá",NULL,NULL,NULL,NULL,NULL,NULL
"14","uncle",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"tʃěkpó / bʊ̀","bə̀bə́kpó / bʊ̀bə̀bə́kó","kə́ŋɲí / bàkə́ŋɲī","kə᷇ːŋɲí / bàkə́ːŋɲíwú","tə᷇ːŋ / bə̀tə̂ŋbə̌","ø",NULL,NULL,NULL,NULL,NULL,NULL
"15","husband",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"ɲòmnɪ́ / bʊ́nómnɪ̄","ɲòmnɪ́ / bʊ́nómnɪ̄","núā / bànúā","no᷇áwú / bànóāwú","mànú~ɲɔ᷇ːm / mànú~ɲo᷇ːmbə́","ɲɔ́ʔm / ɲɔ́ʔmbɛ́",NULL,NULL,NULL,NULL,NULL,NULL
"16","friend","bî~bîmô / bʷɪ̀bî~àbìmóbʷɪ̀","ʊ̀kʷèː / bʷɪ̀kʷè","ǹ̩sànə́ / ásěː~ǹ̩sànə́","ǹ̩sânə́ / ásé","bí / bàbí~bə̀bí","bʲê / bə̀bʲê","ǹsʊ́n / bə̀nsʊ́n","ǹsʊ́ːn / bə̀nsʊ́ːn","sʊ̄n / bə̀nsʊ́n","sʊ̄n / bə̀nsʊ́n","ńséɲ / ǹséɲ ~ ńséɲ","ǹsɪ̄ɲ / ńsɪ́ɲ","sø̄ʲ ~ wʊ̀òsòɲ / sóʲ","sóʲ / ə̄sóʲ","ǹsʊ́ / ǹsʊ́ŋ","ǹsʊ́ / ǹsʊ́","ìtsʊ̈̌ / kítsʊ̂lə̀","ɪ̀tsʊ̌ / átsʊ́wú~kɪ́tsʊ́lə́","ńsʊ́ŋ / ńswéːn","n̄sʊ̄ŋ / n̄sōn","n̄sʊ̄ŋ / ǹsʊ̄ɪ̄ɲ","ńsʊ́ːŋ / ńsǿé","bʲâ / bə̀bʲá","àtsò / bàtsò","bī~bîː / bɛ̀bí","ʊ̀kɥɪ̀ / bə̀kɥɪ̀"
"17","friend (female)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","friend (male)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","family",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"kxə̀ / kák","tém / bʊ̀tém","ìtʃù / kítʃúlə̄","ɪ̀tsù / átʃúwú ~ kɪ́tʃúlə̄","tʃʊ̀ / tsʊ̀~tʃʊ̀yə́","ø",NULL,NULL,NULL,NULL,NULL,NULL
"20","crowd, group",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"mbwómnə́~ àndʒə́kə́ / bʊ̀mbwómnə́~ bìndʒə́kə́","mbwómnə́ / bʊ̀mbwómnə́","àdù ~ ǹndùnə̀ / bàdúlə́","ʊ̀dùlə́ / bàdúlə́","ŋkɪ̀ŋ~ŋkyə̀ŋ / ŋkyɪ̀ŋ~ŋkyə̂ŋbə̌","bə̄yáʔm / ø",NULL,NULL,NULL,NULL,NULL,NULL
