Doculect	Segment	Zscore	Normedcount	SalienceScore
ABSMissong1	ɲʷ	-0.4	0	0
ABSMissong1	ɳ	-0.14	0	0
ABSMissong1	ʃ	-0.59	11	-7
ABSMissong1	ʃʲ	-0.59	0	0
ABSMissong1	ʃʷ	-0.4	0	0
ABSMissong1	ʉ	-0.26	0	0
ABSMissong1	ʉʱ	-0.14	0	0
ABSMissong1	ʉː	-0.14	0	0
ABSMissong1	ʊ	0.79	91	72
ABSMissong1	ʊʱ	-0.47	0	0
ABSMissong1	ʊʱː	-0.14	0	0
ABSMissong1	ʊː	-0.09	6	-1
ABSMissong1	ʊ̃	1.18	1	1
ABSMissong1	ʊ̃ː	-0.33	0	0
ABSMissong1	ʊ̤	7.21	1	7
ABSMissong1	ʒ	-0.6	0	0
ABSMissong1	ʒʷ	-0.2	0	0
ABSMissong1	ʔ	-0.5	0	0
ABSMissong1	β	0.81	1	1
ABSMissong1	βʷ	-0.14	0	0
ABSMissong1	ẽ	-0.23	0	0
ABSMissong1	ẽː	-0.14	0	0
ABSMissong1	⁴⁵	-0.14	0	0
ABSMissong1	⁵	0.01	297	3
ABSMissong1	⁵³	-0.28	11	-3
ABSMissong1	⁵¹	-1.23	28	-34
ABSMissong1	ⁿb	-0.37	0	0
ABSMissong1	ⁿbʷ	-0.37	0	0
ABSMissong1	ⁿd	-0.45	0	0
ABSMissong1	ⁿdʷ	-0.14	0	0
ABSMissong1	ⁿt	-0.4	0	0
AGAMissong2	a	0.74	158	117
AGAMissong2	aː	-0.49	15	-7
AGAMissong2	b	-0.4	63	-25
AGAMissong2	bʷ	-0.91	0	0
AGAMissong2	d	-0.76	15	-11
AGAMissong2	dzʷ	-0.2	0	0
AGAMissong2	dʒ	-0.24	14	-3
AGAMissong2	dʒʷ	-0.22	0	0
AGAMissong2	dʷ	-0.19	0	0
AGAMissong2	e	-0.66	10	-7
AGAMissong2	eː	-0.32	4	-1
AGAMissong2	f	0.15	54	8
AGAMissong2	fʲ	-0.6	0	0
AGAMissong2	fʷ	-0.59	0	0
AGAMissong2	g	-0.87	7	-6
AGAMissong2	gb	-0.76	7	-5
AGAMissong2	gʷ	-0.31	0	0
AGAMissong2	h	1.15	38	44
AGAMissong2	i	0.84	85	71
AGAMissong2	iː	0.64	10	6
AGAMissong2	j	-0.01	37	0
AGAMissong2	k	0.26	115	30
AGAMissong2	kp	1.4	24	34
AGAMissong2	kpʳʷ	-0.2	0	0
AGAMissong2	kpʷ	-0.14	0	0
AGAMissong2	kx	-0.71	0	0
AGAMissong2	kʰ	-0.14	0	0
AGAMissong2	kʲ	-0.4	0	0
AGAMissong2	kʷ	-0.69	0	0
AGAMissong2	l	0.75	40	30
AGAMissong2	m	-0.11	89	-10
AGAMissong2	mʷ	-0.56	0	0
AGAMissong2	n	-0.73	88	-64
AGAMissong2	nʷ	-0.2	0	0
AGAMissong2	o	-0.23	34	-8
AGAMissong2	oː	-0.59	4	-2
AGAMissong2	p	-0.61	1	-1
AGAMissong2	q	-0.14	0	0
AGAMissong2	r	-0.69	0	0
AGAMissong2	s	-0.12	26	-3
AGAMissong2	sʷ	-0.14	0	0
AGAMissong2	t	-1.76	31	-55
AGAMissong2	ts	-0.23	15	-3
AGAMissong2	tsʷ	-0.24	0	0
AGAMissong2	tsː	-0.14	0	0
AGAMissong2	tʃ	1.14	20	23
AGAMissong2	tʃʷ	-0.41	0	0
AGAMissong2	tʰ	-0.24	0	0
AGAMissong2	tʲ	-0.35	0	0
AGAMissong2	tʷ	-0.43	0	0
AGAMissong2	tˢ	-0.14	0	0
AGAMissong2	u	-0.14	21	-3
AGAMissong2	uʱ	0.0	1	0
AGAMissong2	uː	0.77	5	4
AGAMissong2	uːʱ	-0.14	0	0
AGAMissong2	v	-0.45	0	0
AGAMissong2	vʷ	-0.24	0	0
AGAMissong2	w	0.2	35	7
AGAMissong2	z	-0.53	15	-8
AGAMissong2	zː	-0.14	0	0
AGAMissong2	²¹	-0.14	0	0
AGAMissong2	³	0.12	69	8
AGAMissong2	³¹	-0.2	0	0
AGAMissong2	³⁵	-0.14	0	0
AGAMissong2	¹	-0.22	276	-62
AGAMissong2	¹³	1.25	3	4
AGAMissong2	¹⁵	0.44	41	18
AGAMissong2	ã	-0.44	0	0
AGAMissong2	ãː	-0.33	0	0
AGAMissong2	æ	-0.25	0	0
AGAMissong2	æː	-0.2	0	0
AGAMissong2	æ̃	-0.2	0	0
AGAMissong2	õ	-0.34	0	0
AGAMissong2	õː	-0.31	0	0
AGAMissong2	ø	-0.54	0	0
AGAMissong2	øː	1.37	1	1
AGAMissong2	ĩ	-0.26	0	0
AGAMissong2	ĩː	-0.14	0	0
AGAMissong2	ŋ	0.09	83	7
AGAMissong2	ŋm	-0.27	1	0
AGAMissong2	ŋmʷ	-0.14	0	0
AGAMissong2	ŋʷ	-0.34	0	0
AGAMissong2	ŋˤ	-0.14	0	0
AGAMissong2	œ	-0.05	1	0
AGAMissong2	œː	-0.29	0	0
AGAMissong2	œ̃	-0.14	0	0
AGAMissong2	ũ	-0.28	0	0
AGAMissong2	ũʱ	-0.14	0	0
AGAMissong2	ũː	-0.24	0	0
AGAMissong2	ɑ	-0.47	0	0
AGAMissong2	ɑː	-0.4	0	0
AGAMissong2	ɑ̃	-0.14	0	0
AGAMissong2	ɑ̃ː	-0.14	0	0
AGAMissong2	ɒ	-0.32	0	0
AGAMissong2	ɒː	-0.28	0	0
AGAMissong2	ɒ̃	-0.14	0	0
AGAMissong2	ɒ̃ː	-0.14	0	0
AGAMissong2	ɔ	-0.26	24	-6
AGAMissong2	ɔː	0.26	5	1
AGAMissong2	ɔ̃	-0.23	0	0
AGAMissong2	ɔ̃ː	-0.19	0	0
AGAMissong2	ɘ	-0.34	0	0
AGAMissong2	ɘː	-0.29	0	0
AGAMissong2	ə	-0.69	122	-85
AGAMissong2	əː	-0.37	3	-1
AGAMissong2	əˠ	-0.14	0	0
AGAMissong2	ə̃	0.58	1	1
AGAMissong2	ə̃ː	-0.2	0	0
AGAMissong2	ɛ	-0.66	10	-7
AGAMissong2	ɛː	0.81	12	10
AGAMissong2	ɛ̃	-0.32	0	0
AGAMissong2	ɛ̃ː	-0.28	0	0
AGAMissong2	ɠ	-0.14	0	0
AGAMissong2	ɣ	-0.46	0	0
AGAMissong2	ɥ	-0.61	0	0
AGAMissong2	ɦ	-0.24	0	0
AGAMissong2	ɦː	-0.16	0	0
AGAMissong2	ɨ	-0.68	0	0
AGAMissong2	ɨː	-0.34	0	0
AGAMissong2	ɨ̃	-0.24	0	0
AGAMissong2	ɪ	1.65	132	218
AGAMissong2	ɪː	-0.8	1	-1
AGAMissong2	ɪ̃	-0.26	0	0
AGAMissong2	ɪ̃ː	-0.22	0	0
AGAMissong2	ɯ	-0.2	0	0
AGAMissong2	ɱ	2.33	2	5
AGAMissong2	ɲ	-0.57	13	-7
AGAMissong2	ɲʲ	-0.79	0	0
AGAMissong2	ɲʷ	-0.4	0	0
AGAMissong2	ɳ	-0.14	0	0
AGAMissong2	ʃ	-0.59	11	-7
AGAMissong2	ʃʲ	-0.59	0	0
AGAMissong2	ʃʷ	-0.4	0	0
AGAMissong2	ʉ	-0.26	0	0
AGAMissong2	ʉʱ	-0.14	0	0
AGAMissong2	ʉː	-0.14	0	0
AGAMissong2	ʊ	1.46	112	164
AGAMissong2	ʊʱ	-0.47	0	0
AGAMissong2	ʊʱː	-0.14	0	0
AGAMissong2	ʊː	-0.22	5	-1
AGAMissong2	ʊ̃	1.18	1	1
AGAMissong2	ʊ̃ː	-0.33	0	0
AGAMissong2	ʊ̤	-0.14	0	0
AGAMissong2	ʒ	-0.6	0	0
AGAMissong2	ʒʷ	-0.2	0	0
AGAMissong2	ʔ	-0.5	0	0
AGAMissong2	β	-0.35	0	0
AGAMissong2	βʷ	-0.14	0	0
AGAMissong2	ẽ	-0.23	0	0
AGAMissong2	ẽː	-0.14	0	0
AGAMissong2	⁴⁵	-0.14	0	0
AGAMissong2	⁵	1.22	357	437
AGAMissong2	⁵³	-0.54	8	-4
AGAMissong2	⁵¹	-0.28	46	-13
AGAMissong2	ⁿb	-0.37	0	0
AGAMissong2	ⁿbʷ	-0.37	0	0
AGAMissong2	ⁿd	-0.45	0	0
AGAMissong2	ⁿdʷ	-0.14	0	0
AGAMissong2	ⁿt	-0.4	0	0
AOMNgun2	a	0.31	141	44
AOMNgun2	aː	1.69	41	69
AOMNgun2	b	-0.61	59	-36
AOMNgun2	bʷ	-0.66	1	-1
AOMNgun2	d	-0.46	20	-9
AOMNgun2	dzʷ	-0.2	0	0
AOMNgun2	dʒ	-0.24	14	-3
AOMNgun2	dʒʷ	-0.22	0	0
AOMNgun2	dʷ	-0.19	0	0
AOMNgun2	e	-0.8	8	-6
AOMNgun2	eː	-0.86	0	0
AOMNgun2	f	0.78	65	51
AOMNgun2	fʲ	-0.6	0	0
AOMNgun2	fʷ	-0.59	0	0
AOMNgun2	g	-0.69	9	-6
AOMNgun2	gb	-0.29	9	-3
AOMNgun2	gʷ	-0.31	0	0
AOMNgun2	h	1.65	48	79
AOMNgun2	i	-0.21	49	-10
AOMNgun2	iː	-0.84	3	-3
AOMNgun2	j	-0.07	36	-2
AOMNgun2	k	0.38	119	45
AOMNgun2	kp	0.44	18	8
AOMNgun2	kpʳʷ	-0.2	0	0
AOMNgun2	kpʷ	-0.14	0	0
AOMNgun2	kx	-0.33	1	0
AOMNgun2	kʰ	-0.14	0	0
AOMNgun2	kʲ	-0.4	0	0
AOMNgun2	kʷ	-0.46	2	-1
AOMNgun2	l	-0.62	21	-13
AOMNgun2	m	-0.01	91	-1
AOMNgun2	mʷ	-0.56	0	0
AOMNgun2	n	-0.39	96	-37
AOMNgun2	nʷ	-0.2	0	0
AOMNgun2	o	-0.14	36	-5
AOMNgun2	oː	-0.48	5	-2
AOMNgun2	p	0.08	3	0
AOMNgun2	q	-0.14	0	0
AOMNgun2	r	0.0	1	0
AOMNgun2	s	-0.67	18	-12
AOMNgun2	sʷ	-0.14	0	0
AOMNgun2	t	-0.27	45	-12
AOMNgun2	ts	-0.43	12	-5
AOMNgun2	tsʷ	-0.24	0	0
AOMNgun2	tsː	-0.14	0	0
AOMNgun2	tʃ	0.13	13	2
AOMNgun2	tʃʷ	-0.41	0	0
AOMNgun2	tʰ	-0.24	0	0
AOMNgun2	tʲ	-0.35	0	0
AOMNgun2	tʷ	-0.43	0	0
AOMNgun2	tˢ	-0.14	0	0
AOMNgun2	u	0.19	25	5
AOMNgun2	uʱ	0.0	1	0
AOMNgun2	uː	0.08	3	0
AOMNgun2	uːʱ	7.21	1	7
AOMNgun2	v	-0.12	1	0
AOMNgun2	vʷ	-0.24	0	0
AOMNgun2	w	0.9	47	42
AOMNgun2	z	-0.46	16	-7
AOMNgun2	zː	-0.14	0	0
AOMNgun2	²¹	-0.14	0	0
AOMNgun2	³	-0.18	60	-11
AOMNgun2	³¹	-0.2	0	0
AOMNgun2	³⁵	-0.14	0	0
AOMNgun2	¹	1.31	377	493
AOMNgun2	¹³	-0.09	1	0
AOMNgun2	¹⁵	-0.84	18	-15
AOMNgun2	ã	-0.44	0	0
AOMNgun2	ãː	-0.33	0	0
AOMNgun2	æ	-0.25	0	0
AOMNgun2	æː	-0.2	0	0
AOMNgun2	æ̃	-0.2	0	0
AOMNgun2	õ	0.44	1	0
AOMNgun2	õː	-0.31	0	0
AOMNgun2	ø	1.32	6	8
AOMNgun2	øː	-0.28	0	0
AOMNgun2	ĩ	-0.26	0	0
AOMNgun2	ĩː	-0.14	0	0
AOMNgun2	ŋ	0.05	82	4
AOMNgun2	ŋm	-0.53	0	0
AOMNgun2	ŋmʷ	-0.14	0	0
AOMNgun2	ŋʷ	-0.34	0	0
AOMNgun2	ŋˤ	-0.14	0	0
AOMNgun2	œ	-0.05	1	0
AOMNgun2	œː	-0.29	0	0
AOMNgun2	œ̃	-0.14	0	0
AOMNgun2	ũ	-0.28	0	0
AOMNgun2	ũʱ	-0.14	0	0
AOMNgun2	ũː	-0.24	0	0
AOMNgun2	ɑ	-0.47	0	0
AOMNgun2	ɑː	-0.4	0	0
AOMNgun2	ɑ̃	-0.14	0	0
AOMNgun2	ɑ̃ː	-0.14	0	0
AOMNgun2	ɒ	-0.32	0	0
AOMNgun2	ɒː	-0.28	0	0
AOMNgun2	ɒ̃	-0.14	0	0
AOMNgun2	ɒ̃ː	-0.14	0	0
AOMNgun2	ɔ	0.62	36	22
AOMNgun2	ɔː	0.5	6	3
AOMNgun2	ɔ̃	-0.23	0	0
AOMNgun2	ɔ̃ː	-0.19	0	0
AOMNgun2	ɘ	-0.34	0	0
AOMNgun2	ɘː	-0.29	0	0
AOMNgun2	ə	-0.89	103	-92
AOMNgun2	əː	-0.64	1	-1
AOMNgun2	əˠ	-0.14	0	0
AOMNgun2	ə̃	-0.56	0	0
AOMNgun2	ə̃ː	-0.2	0	0
AOMNgun2	ɛ	1.21	57	69
AOMNgun2	ɛː	-0.63	3	-2
AOMNgun2	ɛ̃	-0.32	0	0
AOMNgun2	ɛ̃ː	-0.28	0	0
AOMNgun2	ɠ	-0.14	0	0
AOMNgun2	ɣ	-0.46	0	0
AOMNgun2	ɥ	-0.54	1	-1
AOMNgun2	ɦ	-0.24	0	0
AOMNgun2	ɦː	-0.16	0	0
AOMNgun2	ɨ	3.85	14	54
AOMNgun2	ɨː	-0.34	0	0
AOMNgun2	ɨ̃	6.61	6	40
AOMNgun2	ɪ	1.53	127	195
AOMNgun2	ɪː	-0.42	2	-1
AOMNgun2	ɪ̃	-0.26	0	0
AOMNgun2	ɪ̃ː	-0.22	0	0
AOMNgun2	ɯ	-0.2	0	0
AOMNgun2	ɱ	-0.44	0	0
AOMNgun2	ɲ	-0.38	16	-6
AOMNgun2	ɲʲ	-0.79	0	0
AOMNgun2	ɲʷ	-0.4	0	0
AOMNgun2	ɳ	-0.14	0	0
AOMNgun2	ʃ	-0.59	11	-7
AOMNgun2	ʃʲ	-0.59	0	0
AOMNgun2	ʃʷ	-0.4	0	0
AOMNgun2	ʉ	-0.26	0	0
AOMNgun2	ʉʱ	-0.14	0	0
AOMNgun2	ʉː	-0.14	0	0
AOMNgun2	ʊ	0.72	89	64
AOMNgun2	ʊʱ	-0.47	0	0
AOMNgun2	ʊʱː	-0.14	0	0
AOMNgun2	ʊː	-0.77	1	-1
AOMNgun2	ʊ̃	1.18	1	1
AOMNgun2	ʊ̃ː	-0.33	0	0
AOMNgun2	ʊ̤	-0.14	0	0
AOMNgun2	ʒ	-0.4	1	0
AOMNgun2	ʒʷ	-0.2	0	0
AOMNgun2	ʔ	-0.5	0	0
AOMNgun2	β	1.98	2	4
AOMNgun2	βʷ	-0.14	0	0
AOMNgun2	ẽ	-0.23	0	0
AOMNgun2	ẽː	-0.14	0	0
AOMNgun2	⁴⁵	-0.14	0	0
AOMNgun2	⁵	-0.46	274	-125
AOMNgun2	⁵³	0.14	16	2
AOMNgun2	⁵¹	-0.44	43	-19
AOMNgun2	ⁿb	-0.37	0	0
AOMNgun2	ⁿbʷ	-0.37	0	0
AOMNgun2	ⁿd	-0.45	0	0
AOMNgun2	ⁿdʷ	-0.14	0	0
AOMNgun2	ⁿt	-0.4	0	0
APBMumfu1	a	0.06	131	8
APBMumfu1	aː	1.86	43	80
APBMumfu1	b	-1.34	45	-60
APBMumfu1	bʷ	-0.66	1	-1
APBMumfu1	d	0.31	33	10
APBMumfu1	dzʷ	-0.2	0	0
APBMumfu1	dʒ	-0.4	12	-5
APBMumfu1	dʒʷ	-0.22	0	0
APBMumfu1	dʷ	-0.19	0	0
APBMumfu1	e	-0.66	10	-7
APBMumfu1	eː	-0.59	2	-1
APBMumfu1	f	-1.07	33	-35
APBMumfu1	fʲ	-0.6	0	0
APBMumfu1	fʷ	-0.59	0	0
APBMumfu1	g	1.71	36	62
APBMumfu1	gb	1.35	16	22
APBMumfu1	gʷ	-0.06	1	0
APBMumfu1	h	-0.65	2	-1
APBMumfu1	i	-1.2	15	-18
APBMumfu1	iː	1.07	12	13
APBMumfu1	j	2.75	85	234
APBMumfu1	k	0.2	113	22
APBMumfu1	kp	0.92	21	19
APBMumfu1	kpʳʷ	-0.2	0	0
APBMumfu1	kpʷ	-0.14	0	0
APBMumfu1	kx	-0.71	0	0
APBMumfu1	kʰ	-0.14	0	0
APBMumfu1	kʲ	-0.17	1	0
APBMumfu1	kʷ	-0.69	0	0
APBMumfu1	l	0.6	38	23
APBMumfu1	m	1.23	117	144
APBMumfu1	mʷ	-0.56	0	0
APBMumfu1	n	1.32	136	180
APBMumfu1	nʷ	-0.2	0	0
APBMumfu1	o	-0.18	35	-6
APBMumfu1	oː	-0.15	8	-1
APBMumfu1	p	-0.61	1	-1
APBMumfu1	q	7.21	6	43
APBMumfu1	r	0.69	2	1
APBMumfu1	s	-0.6	19	-11
APBMumfu1	sʷ	-0.14	0	0
APBMumfu1	t	-0.48	43	-21
APBMumfu1	ts	0.67	28	19
APBMumfu1	tsʷ	-0.24	0	0
APBMumfu1	tsː	-0.14	0	0
APBMumfu1	tʃ	1.29	21	27
APBMumfu1	tʃʷ	-0.41	0	0
APBMumfu1	tʰ	-0.24	0	0
APBMumfu1	tʲ	-0.35	0	0
APBMumfu1	tʷ	-0.43	0	0
APBMumfu1	tˢ	-0.14	0	0
APBMumfu1	u	-0.56	16	-9
APBMumfu1	uʱ	0.0	1	0
APBMumfu1	uː	-0.26	2	-1
APBMumfu1	uːʱ	-0.14	0	0
APBMumfu1	v	-0.45	0	0
APBMumfu1	vʷ	-0.24	0	0
APBMumfu1	w	0.78	45	35
APBMumfu1	z	-0.02	22	0
APBMumfu1	zː	-0.14	0	0
APBMumfu1	²¹	-0.14	0	0
APBMumfu1	³	2.05	126	258
APBMumfu1	³¹	5.05	1	5
APBMumfu1	³⁵	-0.14	0	0
APBMumfu1	¹	-1.38	200	-276
APBMumfu1	¹³	0.58	2	1
APBMumfu1	¹⁵	-0.12	31	-4
APBMumfu1	ã	0.07	1	0
APBMumfu1	ãː	-0.33	0	0
APBMumfu1	æ	-0.25	0	0
APBMumfu1	æː	-0.2	0	0
APBMumfu1	æ̃	-0.2	0	0
APBMumfu1	õ	-0.34	0	0
APBMumfu1	õː	-0.31	0	0
APBMumfu1	ø	0.08	2	0
APBMumfu1	øː	1.37	1	1
APBMumfu1	ĩ	-0.26	0	0
APBMumfu1	ĩː	-0.14	0	0
APBMumfu1	ŋ	2.47	145	358
