Cognate1	Cognate1	Weight
animal_317	arm_808	0.39766081871345027
animal_317	arm_639	0.1952054794520548
animal_317	ashes_835	0.22297297297297297
animal_317	bark_1249	0.07348242811501597
animal_317	bed_1627	0.18027210884353742
animal_317	belly_1901	0.06168831168831169
animal_317	belly_1917	0.10778443113772455
animal_317	belly_1914	0.31186440677966104
animal_317	big_2527	0.2103448275862069
animal_317	big_2431	0.22318840579710145
animal_317	bird_2723	0.3589041095890411
animal_317	bird_2842	0.10437710437710437
animal_317	bite_3105	0.4637223974763407
animal_317	blood_3467	0.12422360248447205
animal_317	blood_3484	0.1162079510703364
animal_317	bone_3882	0.10032362459546926
animal_317	bone_4213	0.11864406779661017
animal_317	bone_3979	0.1152542372881356
animal_317	breast_4265	0.15269461077844312
animal_317	breast_4284	0.3343195266272189
animal_317	burn_4800	0.2534246575342466
animal_317	child_5068	0.6388888888888888
animal_317	cloud_5504	0.07348242811501597
animal_317	cloud_5471	0.12374581939799331
animal_317	cloud_5434	0.12709030100334448
animal_317	come_5888	0.20132013201320131
animal_317	come_5832	0.08116883116883117
animal_317	come_6084	0.18789808917197454
animal_317	count_6193	0.10596026490066225
animal_317	count_6163	0.17993079584775087
animal_317	count_6279	0.15034965034965034
animal_317	dew_6491	0.27835051546391754
animal_317	die_6742	0.234375
animal_317	die_6976	0.3395061728395062
animal_317	dog_7348	0.33714285714285713
animal_317	dog_7119	0.12732919254658384
animal_317	drink_7636	0.46745562130177515
animal_317	drink_7611	0.1746031746031746
animal_317	ear_7930	0.30835734870317005
animal_317	ear_8040	0.3051948051948052
animal_317	eat_8347	0.06583072100313479
animal_317	eat_8349	0.14473684210526316
animal_317	eat_8484	0.1423728813559322
animal_317	eat_8450	0.09615384615384616
animal_317	eat_8710	0.2354948805460751
animal_317	egg_8817	0.22514619883040934
animal_317	elephant_9157	0.23885350318471338
animal_317	elephant_9150	0.17708333333333334
animal_317	elephant_9324	0.16835016835016836
animal_317	elephant_9381	0.11643835616438356
animal_317	eye_9674	0.3588039867109635
animal_317	eye_9769	0.24517906336088155
animal_317	face_10038	0.26006191950464397
animal_317	fall_10314	0.3588039867109635
animal_317	fat, oil_10514	0.5264797507788161
animal_317	feather_10928	0.15606936416184972
animal_317	fingernail_11424	0.07467532467532467
animal_317	fire_11997	0.21724137931034482
animal_317	fire_11947	0.31125827814569534
animal_317	fire_11834	0.06862745098039216
animal_317	fire-wood_12144	0.19281045751633988
animal_317	fire-wood_12057	0.1423728813559322
animal_317	fire-wood_12111	0.18055555555555555
animal_317	fish_12385	0.05825242718446602
animal_317	fish_12438	0.2576271186440678
animal_317	five_12733	0.4584527220630373
animal_317	five_12951	0.20819112627986347
animal_317	fly_13153	0.09966777408637874
animal_317	fly_13243	0.35906040268456374
animal_317	four_13441	0.5151515151515151
animal_317	give_13706	0.1838006230529595
animal_317	give_13701	0.19141914191419143
animal_317	goat_14327	0.4721311475409836
animal_317	goat_14182	0.10702341137123746
animal_317	ground, soil_14494	0.07792207792207792
animal_317	ground, soil_14542	0.1736111111111111
animal_317	head_15361	0.44193548387096776
animal_317	head_15217	0.18960244648318042
animal_317	head_15210	0.05448717948717949
animal_317	heart_16283	0.3333333333333333
animal_317	heart_16187	0.13636363636363635
animal_317	heart_16115	0.16838487972508592
animal_317	horn_16467	0.37755102040816324
animal_317	horn_16411	0.0891089108910891
animal_317	house_16986	0.35570469798657717
animal_317	house_16865	0.2686084142394822
animal_317	hunger_17083	0.1870748299319728
animal_317	hunger_17380	0.42857142857142855
animal_317	intestine_17387	0.20761245674740483
animal_317	intestine_17567	0.15172413793103448
animal_317	iron_17817	0.17993079584775087
animal_317	kill_18018	0.12542372881355932
animal_317	knee_18296	0.11572700296735905
animal_317	knee_18540	0.10631229235880399
animal_317	know_19101	0.14193548387096774
animal_317	know_18997	0.40863787375415284
animal_317	leaf_19588	0.1245674740484429
animal_317	leaf_19482	0.05828220858895705
animal_317	leg_19914	0.1326530612244898
animal_317	leg_19876	0.2737430167597765
animal_317	liver_20442	0.1958762886597938
animal_317	liver_20245	0.07540983606557378
animal_317	liver_20379	0.21843003412969283
animal_317	louse_20660	0.13609467455621302
animal_317	louse_20701	0.3401360544217687
animal_317	man_21142	0.16943521594684385
animal_317	man_21257	0.04126984126984127
animal_317	moon_21517	0.411371237458194
animal_317	moon_21358	0.09749303621169916
animal_317	moon_21365	0.15254237288135594
animal_317	mouth_22059	0.16558441558441558
animal_317	mouth_21787	0.10903426791277258
animal_317	mouth_22066	0.22006472491909385
animal_317	mouth_21987	0.2222222222222222
animal_317	name_22298	0.477088948787062
animal_317	name_22349	0.08196721311475409
animal_317	navel_22582	0.1404109589041096
animal_317	neck_22950	0.44281524926686217
animal_317	night_23445	0.12292358803986711
animal_317	night_23314	0.15017064846416384
animal_317	night_23359	0.271523178807947
animal_317	nose_23832	0.15625
animal_317	nose_23805	0.16346153846153846
animal_317	nose_23825	0.13945578231292516
animal_317	one_24148	0.22740524781341107
animal_317	one_24107	0.2516778523489933
animal_317	person_24653	0.5382585751978892
animal_317	rain_25113	0.5264483627204031
animal_317	road_25370	0.16161616161616163
animal_317	road_25605	0.347953216374269
animal_317	root_25810	0.1695501730103806
animal_317	root_25695	0.1254125412541254
animal_317	root_25932	0.19141914191419143
animal_317	salt_26042	0.12802768166089964
animal_317	salt_26298	0.11073825503355705
animal_317	salt_26085	0.28865979381443296
animal_317	sand_26372	0.14432989690721648
animal_317	sand_26562	0.3929712460063898
animal_317	sand_26369	0.04807692307692308
animal_317	see_26914	0.425414364640884
animal_317	see_27049	0.1506849315068493
animal_317	send_27203	0.5131578947368421
animal_317	shame_27442	0.40307692307692305
animal_317	sing_27812	0.4096774193548387
animal_317	skin_27971	0.12903225806451613
animal_317	skin_28024	0.17647058823529413
animal_317	sky_28440	0.11945392491467577
animal_317	sleep_28790	0.14696485623003194
animal_317	sleep_28909	0.3363914373088685
animal_317	smoke_29254	0.16887417218543047
animal_317	smoke_29368	0.1
animal_317	smoke_29065	0.18055555555555555
animal_317	snake_29468	0.42483660130718953
animal_317	spear_29917	0.30689655172413793
animal_317	spear_29766	0.20972644376899696
animal_317	steal_30153	0.17567567567567569
animal_317	steal_30068	0.2
animal_317	steal_30283	0.14930555555555555
animal_317	stone_30529	0.15878378378378377
animal_317	stone_30436	0.14186851211072665
animal_317	tail_31265	0.3363914373088685
animal_317	tail_31155	0.09446254071661238
animal_317	ten_31562	0.5603715170278638
animal_317	three_31928	0.5126582278481012
animal_317	tongue_32199	0.5613079019073569
animal_317	tooth_32424	0.5044776119402985
animal_317	tooth_32434	0.059375
animal_317	tree_32867	0.3476923076923077
animal_317	two_33280	0.16433566433566432
animal_317	two_33128	0.1582089552238806
