Variety	Concept	Stability
fang1248	1079_rain	1.0
fang1248	1136_rope	1.0
fang1248	1148_salt	1.0
fang1248	1150_sand	1.0
fang1248	1189_sheep	1.0
fang1248	1238_smoke	1.0
fang1248	1240_snake	1.0
fang1248	1252_song	1.0
fang1248	1311_stormwind	1.0
fang1248	1312_story	1.0
fang1248	139_bed	1.0
fang1248	1404_tongue	1.0
fang1248	1405_tooth	1.0
fang1248	1416_tree	1.0
fang1248	1490_water	1.0
fang1248	1541_xylophone	1.0
fang1248	159_bitterleaf	1.0
fang1248	163_blood	1.0
fang1248	170_book	1.0
fang1248	184_breast	1.0
fang1248	192_bridge	1.0
fang1248	194_broom	1.0
fang1248	247_casecourtn	1.0
fang1248	250_cat	1.0
fang1248	253_caterpillar	1.0
fang1248	264_chair	1.0
fang1248	276_chief	1.0
fang1248	277_child	1.0
fang1248	304_cloth	1.0
fang1248	334_compound	1.0
fang1248	340_corn	1.0
fang1248	348_cowcattle	1.0
fang1248	351_crab	1.0
fang1248	371_cutlass	1.0
fang1248	40_air	1.0
fang1248	412_dog	1.0
fang1248	433_dust	1.0
fang1248	435_ear	1.0
fang1248	443_egg	1.0
fang1248	477_faeces	1.0
fang1248	484_farm	1.0
fang1248	50_animal	1.0
fang1248	527_fish	1.0
fang1248	550_forest	1.0
fang1248	556_fowl	1.0
fang1248	557_friend	1.0
fang1248	574_gardenegg	1.0
fang1248	592_gong	1.0
fang1248	594_grass	1.0
fang1248	599_grave	1.0
fang1248	621_hair	1.0
fang1248	623_hand	1.0
fang1248	648_head	1.0
fang1248	681_house	1.0
fang1248	713_intestine	1.0
fang1248	719_jaw	1.0
fang1248	72_axe	1.0
fang1248	76_bag	1.0
fang1248	813_ladder	1.0
fang1248	81_banana	1.0
fang1248	822_leaf	1.0
fang1248	849_lizard	1.0
fang1248	889_medicine	1.0
fang1248	903_monkey	1.0
fang1248	905_moon	1.0
fang1248	90_basket	1.0
fang1248	921_name	1.0
fang1248	939_nose	1.0
fang1248	975_palmnut	1.0
fang1248	978_palmtree	1.0
kosh1246	1000_pepper	1.0
kosh1246	1003_person	1.0
kosh1246	1024_place	1.0
kosh1246	1046_potato	1.0
kosh1246	1150_sand	1.0
kosh1246	1206_sieve	1.0
kosh1246	1247_soap	1.0
kosh1246	1290_star	1.0
kosh1246	1404_tongue	1.0
kosh1246	1541_xylophone	1.0
kosh1246	157_bird	1.0
kosh1246	276_chief	1.0
kosh1246	348_cowcattle	1.0
kosh1246	371_cutlass	1.0
kosh1246	474_eye	1.0
kosh1246	500_fence	1.0
kosh1246	527_fish	1.0
kosh1246	592_gong	1.0
kosh1246	72_axe	1.0
kosh1246	76_bag	1.0
kosh1246	90_basket	1.0
kung1260	1000_pepper	1.0
kung1260	1003_person	1.0
kung1260	1017_pig	1.0
kung1260	1027_plantain	1.0
kung1260	1044_pot	1.0
kung1260	1076_raffiabamboo	1.0
kung1260	1079_rain	1.0
kung1260	1134_root	1.0
kung1260	1136_rope	1.0
kung1260	1148_salt	1.0
kung1260	1150_sand	1.0
kung1260	1189_sheep	1.0
kung1260	1206_sieve	1.0
kung1260	1219_sky	1.0
kung1260	1238_smoke	1.0
kung1260	1240_snake	1.0
kung1260	1247_soap	1.0
kung1260	1252_song	1.0
kung1260	1290_star	1.0
kung1260	1307_stone	1.0
kung1260	1312_story	1.0
kung1260	1404_tongue	1.0
kung1260	1405_tooth	1.0
kung1260	1416_tree	1.0
kung1260	1484_war	1.0
kung1260	157_bird	1.0
kung1260	159_bitterleaf	1.0
kung1260	184_breast	1.0
kung1260	237_cap	1.0
kung1260	250_cat	1.0
kung1260	253_caterpillar	1.0
kung1260	264_chair	1.0
kung1260	276_chief	1.0
kung1260	277_child	1.0
kung1260	304_cloth	1.0
kung1260	334_compound	1.0
kung1260	348_cowcattle	1.0
kung1260	351_crab	1.0
kung1260	359_cricket	1.0
kung1260	371_cutlass	1.0
kung1260	374_dance	1.0
kung1260	385_deitygodgod	1.0
kung1260	435_ear	1.0
kung1260	474_eye	1.0
kung1260	477_faeces	1.0
kung1260	484_farm	1.0
kung1260	487_father	1.0
kung1260	493_feather	1.0
kung1260	500_fence	1.0
kung1260	50_animal	1.0
kung1260	519_fire	1.0
kung1260	527_fish	1.0
kung1260	541_flybird	1.0
kung1260	550_forest	1.0
kung1260	557_friend	1.0
kung1260	574_gardenegg	1.0
kung1260	596_grasshopper	1.0
kung1260	599_grave	1.0
kung1260	618_gun	1.0
kung1260	620_hailstone	1.0
kung1260	621_hair	1.0
kung1260	623_hand	1.0
kung1260	648_head	1.0
kung1260	681_house	1.0
kung1260	713_intestine	1.0
kung1260	72_axe	1.0
kung1260	803_knife	1.0
kung1260	813_ladder	1.0
kung1260	849_lizard	1.0
