ID	Concept	Doculect	Value	Tokens
62	487_father	NJSKung4	bɛ̌ː / bɛ̂ːɣê~ɣèʲbɛ̂ʲ	b ɛː ¹ ⁵
63	487_father	ZKGKung1	bɛ̂ː / ɣɪ̀bɛ̂ː	b ɛː ⁵ ¹
64	487_father	BNMKung2	pə̀pá / sə̀pə̀pá	p ə ¹ p a ⁵
65	487_father	NMNMundabli3	tɪ̌ː / tʲě	t ɪː ¹ ⁵
66	487_father	CENMundabli2	tɪ̌ː / tɪ̌ː wɪ̄	t ɪː ¹ ⁵
67	487_father	LFNMundabli1	těː / tēbó	t eː ¹ ⁵
68	487_father	NINMundabli4	tjě / bə̀tjěbó	t j e ¹ ⁵
69	487_father	NGTMunken3	kʲə̀lə́ / bə̀kʲə̀lə́	kʲ ə ¹ l ə ⁵
70	487_father	NUNMunken4	tâ / bə̀tǎː	t a ⁵ ¹
71	487_father	NEAMunken1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː	t aː ¹ ⁵
72	487_father	TNTMunken2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː	t aː ³
73	487_father	MCANgun3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé	p aː ¹ ⁵
74	487_father	KBMNgun4	bə̀bá / bə̀bə̀bá	b ə ¹ b a ⁵
75	487_father	WCANgun1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé	b aː ⁵ ³
76	487_father	AOMNgun2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá	b aː ⁵ ¹
77	487_father	APBMumfu1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː	t a ¹ ⁵
78	487_father	DNMMumfu2	tā / bə̀tāːbə́	t a ³
79	487_father	BKBMashi2	bə̀bə́ / bʊ̀bə̀bə́	b ə ¹ b ə ⁵
80	487_father	KFKMashi1	tʃyě / bʊ̀tʃyě	tʃ j e ¹ ⁵
81	487_father	ABSMissong1	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ ¹ ⁵
82	487_father	AGAMissong2	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ ¹ ⁵
83	909_mother	NVBAbar7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî	n a ⁵ ¹
84	909_mother	ECLAbar8	nɪ́jā / àné~bʷɪ̀nɪ́jā	n ɪ ⁵ j a ³
85	909_mother	NMAAbar1	néà / bə̀néà	n e ⁵ a ¹
86	909_mother	NACAbar2	nɪ́yā / bə̀nɪ́yā	n ɪ ⁵ j a ³
87	909_mother	NEMAjumbu9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́	ɲʲ ə ⁵
88	909_mother	NVIAjumbu1	má / nânə́ ~	m a ⁵
89	909_mother	KMNAjumbu2	mà / màs	m a ¹
90	909_mother	KDCAjumbu10	nânə́ / bə̀nânə́~ánâ	n a ⁵ ¹ n ə ⁵
91	909_mother	ENBBiya1	nɪ́ā / bə̀nɪ́ā	n ɪ ⁵ a ³
92	909_mother	ICNBiya2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́	ʊ ¹ n d i ¹ n ə ⁵
93	909_mother	NNBBuu3	nâ / bə̀nâ	n a ⁵ ¹
94	909_mother	MNJBuu4	nɪ́ː / bə̀nɪ́	n ɪː ⁵
95	909_mother	KEMBuu1	nâː / ɲí	n aː ⁵ ¹
96	909_mother	KCYBuu2	nâ / bə̀nâ	n a ⁵ ¹
97	909_mother	KHKFang12	nɛ́ / bə̀nɛ́	n ɛ ⁵
98	909_mother	DPNFang13	nɛ̂ / bə̀nɛ̂	n ɛ ⁵ ¹
99	909_mother	JGYKoshin3	nə̂ / bə̀nə̂	n ə ⁵ ¹
100	909_mother	TELKoshin4	ɲʲə́ / bə̀ɲʲə́	ɲʲ ə ⁵
101	909_mother	MRYKoshin2	ɲʲə̄ / ø	ɲʲ ə ³
102	909_mother	KCSKung3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ	n e ⁵ ¹ ɲ
103	909_mother	NJSKung4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ	n e ⁵ ¹ j
104	909_mother	ZKGKung1	nɪ̂ / ɣénɪ̂	n ɪ ⁵ ¹
105	909_mother	BNMKung2	nè~nɪ̀ / sə́nè	n e ¹
106	909_mother	NMNMundabli3	nɪ́ / bɑ̀ɦ ~ bònɪ́	n ɪ ⁵
107	909_mother	CENMundabli2	nɪ́ / nɪ́ː	n ɪ ⁵
108	909_mother	LFNMundabli1	nɪ́ / nɪ́bō	n ɪ ⁵
109	909_mother	NINMundabli4	nɛ́ / bə̀nɛ́bó	n ɛ ⁵
110	909_mother	NGTMunken3	ɲí / bə̀ɲí	ɲ i ⁵
111	909_mother	NUNMunken4	nâ / bə̀nàâ	n a ⁵ ¹
112	909_mother	NEAMunken1	nǎː~na᷇ː / bə̀na᷇ː	n aː ¹ ⁵
113	909_mother	TNTMunken2	nà ~ nǎ / bèɲí ~bə̀na᷇	n a ¹
114	909_mother	MCANgun3	níjā / bɛ̀nɪ́jā	n i ⁵ j a ³
115	909_mother	KBMNgun4	níjā / bɛ̀nɪ́jā	n i ⁵ j a ³
116	909_mother	WCANgun1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː	ɲ ɪ ⁵ s ə ¹
117	909_mother	AOMNgun2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā	n ɪ ⁵
118	909_mother	APBMumfu1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː	n ³ n aː ³
119	909_mother	DNMMumfu2	màmí / bə̄nâː	m a ³ m i ⁵
120	909_mother	BKBMashi2	nî / bʊ̀nî	n i ⁵ ¹
121	909_mother	KFKMashi1	nî / bʊ̀nî	n i ⁵ ¹
