	Doculect1	Doculect2	cosDistance
46905	c141bonyala	c25condinga	0.985453790
88088	m13fipa	m28lambya	0.985405204
68767	e622clema	e622cvunjo	0.985379139
72505	f24kimbu	g61sangu	0.985371909
75480	g33zaramo	g34nguungulu	0.985363900
72800	f25bungu	m64tonga	0.985291431
46906	c141bonyala	c25eeboyi	0.985270920
51730	c36gmonyongo	c412libobi	0.985209687
27549	b22bkoya	b22emwesa	0.985140623
78978	g65kinga	jd67kivinza	0.985092871
47205	c142mondongo	c36gmonyongo	0.985069210
79809	h13kikunyi1989	h16cilinji	0.984979507
84423	je23zinza	je24kerebe	0.984946375
79669	h131kisundicongokimongo1988	h16cilinji	0.984930876
79044	g65kinga	m31nyakyusa	0.984820230
85309	je401ngoreme	je42gusii	0.984811568
75142	g32doe	g33zaramo	0.984784023
75946	g35luguru	n12ngoni	0.984640820
88358	m22namwanga	m54lamba	0.984591514
89121	n13matengo	p11ndengeleko	0.984569867
88023	m12lungwa	m13fipa	0.984565669
83574	je12rutooro	je16lusoga	0.984526957
81675	h16kikongo	h16kimbatangidinga	0.984480549
88659	m41taabwa	p11ndengeleko	0.984477789
88085	m13fipa	m23nyiha	0.984414317
84009	je16lusoga	je24kerebe	0.984401132
67942	e621bmachame	e622akimochi	0.984396845
85497	je403suba	je45nata	0.984368318
89061	n11manda	p23simakonde	0.984331546
51726	c36gmonyongo	c36gmosange	0.984288522
72788	f25bungu	m22namwanga	0.984253669
87971	m11pimbwe	m22namwanga	0.984192447
88093	m13fipa	m54lamba	0.984126398
68970	e622cmamba	e622cvunjo	0.984111353
48635	c25abunji	c25bolee	0.983872610
84321	je22haya	je24kerebe	0.983856932
88037	m12lungwa	m54lamba	0.983789945
65596	e53meru	e621bmachame	0.983737923
76956	g42aamu	g42dunguja	0.983725655
81421	h16gntandu	h16kikongo	0.983717278
89096	n12ngoni	p25mabia	0.983715316
89128	n13matengo	p23simakonde	0.983714621
74972	g31zigua	g33zaramo	0.983649365
88251	m21ndali	m31nyakyusa	0.983619004
46621	c105mbenga	c36dlingala	0.983597790
47210	c142mondongo	c412libobi	0.983539418
80232	h16bkindibu2013	h16hkinkanu2012	0.983513853
87980	m11pimbwe	m54lamba	0.983482594
47775	c21ngare	c25condinga	0.983445505
88598	m31nyakyusa	m54lamba	0.983362167
72783	f25bungu	m13fipa	0.983167319
79960	h16akisikongo2013	h16kimbeko	0.983141003
25773	b204ndambomoli	b204ndambomomassoukou	0.983128969
89670	s51tshwa	s53tsonga	0.983118246
64479	e52mbeere	e53imenti	0.983075804
88310	m21wanda	m64tonga	0.983066444
88271	m21ndali	p11ndengeleko	0.982995522
72789	f25bungu	m23nyiha	0.982971964
47206	c142mondongo	c36gmosange	0.982969187
68562	e622akimochi	e622cmamba	0.982915057
79958	h16akisikongo2013	h16kikongo	0.982861543
47773	c21ngare	c25abunji	0.982828675
78651	g63bena	g65kinga	0.982778990
79671	h131kisundicongokimongo1988	h16cizobe	0.982765796
87061	l12bholu	m11pimbwe	0.982692109
78447	g61sangu	m21ndali	0.982689365
78351	g61sangu	g62hehe	0.982673707
88036	m12lungwa	m52lala	0.982661774
78478	g61sangu	p15mbunga	0.982645453
71362	e74atuveta	g33zaramo	0.982593764
74626	g23sambaa	g31zigua	0.982580374
89159	n14mpoto	p22mwera	0.982531400
89054	n11manda	p11ndengeleko	0.982509785
48923	c25bolee	c25mboshi	0.982443600
67944	e621bmachame	e622cmamba	0.982347505
80086	h16akisolongodrc2012	h16cilinji	0.982346525
89055	n11manda	p12rufiji	0.982341037
80087	h16akisolongodrc2012	h16cimbala	0.982305817
78910	g64pangwa	n12ngoni	0.982282222
89325	p11ndengeleko	p12rufiji	0.982279857
83405	jd67kivinza	m15mambwe	0.982265904
89447	p21yao	p25mabia	0.982237865
85586	je404shasi	je44zanaki	0.982235044
74630	g23sambaa	g34nguungulu	0.982207107
84217	je21runyambo	je23zinza	0.982179511
64030	e51kikuyu	e53imenti	0.982172647
78593	g62hehe	m13fipa	0.982172093
35061	b503vili	b51duma	0.982095360
84008	je16lusoga	je23zinza	0.982062050
89330	p11ndengeleko	p22mwera	0.982053481
88357	m22namwanga	m52lala	0.981981830
79685	h131kisundicongokimongo1988	h32suku	0.981974778
89571	r21kwanyama	r22ndonga	0.981932863
83403	jd67kivinza	m13fipa	0.981898401
88202	m15mambwe	m54lamba	0.981841191
89048	n11manda	n14mpoto	0.981839343
88035	m12lungwa	m42bemba	0.981797807
58055	d14enya	d24songola	0.981795853
65597	e53meru	e621csiha	0.981756515
72793	f25bungu	m31nyakyusa	0.981706151
88908	m64tonga	p11ndengeleko	0.981573032
89661	s42zulu	s44ndebele	0.981558236
84218	je21runyambo	je24kerebe	0.981504476
23246	b11borungu	b11cgalwa	0.981414882
88258	m21ndali	m64tonga	0.981407846
78537	g62hehe	jd67kivinza	0.981350808
83576	je12rutooro	je21runyambo	0.981286117
77587	g44angazija	g44dmaore	0.981265844
72792	f25bungu	m28lambya	0.981194586
89556	r11umbundu	r21kwanyama	0.981161605
89082	n12ngoni	n14mpoto	0.981136037
76958	g42aamu	g43kae	0.981063912
89352	p12rufiji	p14ngindo	0.981057161
89088	n12ngoni	p11ndengeleko	0.981020382
34399	b501wanzie	b503vili	0.980970762
79039	g65kinga	m22namwanga	0.980812689
78591	g62hehe	m11pimbwe	0.980807198
58231	d14enya	l23songe	0.980669319
88199	m15mambwe	m41taabwa	0.980655119
62415	d333ndaaka	d334mbo	0.980655013
78763	g63bena	n12ngoni	0.980645183
87199	l221lwalwa	l52lunda	0.980574273
82489	h32suku	m31nyakyusa	0.980557378
75945	g35luguru	n11manda	0.980552444
78048	g51pogoro	g52ndamba	0.980520508
87965	m11pimbwe	m12lungwa	0.980513399
88205	m15mambwe	m64tonga	0.980496857
83235	jd66kiha	jd67kivinza	0.980482047
87983	m11pimbwe	m64tonga	0.980436383
80233	h16bkindibu2013	h16kikongo	0.980431982
79825	h13kikunyi1989	h32suku	0.980426800
78481	g61sangu	p23simakonde	0.980410178
78272	g52ndamba	k31luyana	0.980372153
79949	h16akisikongo2013	h16cimbala	0.980323039
78466	g61sangu	n12ngoni	0.980276047
89161	n14mpoto	p25mabia	0.980270151
89059	n11manda	p21yao	0.980239596
89094	n12ngoni	p22mwera	0.980232715
33397	b42sangumi	b44lumbu	0.980173020
78202	g52ndamba	g63bena	0.980171767
79684	h131kisundicongokimongo1988	h321soonde	0.980127358
78450	g61sangu	m23nyiha	0.980099682
83145	jd65hangaza	je41maragoli	0.980069862
88595	m31nyakyusa	m41taabwa	0.980024692
32725	b41shira	b43punu	0.980000561
88355	m22namwanga	m41taabwa	0.979981662
88195	m15mambwe	m24malila	0.979978017
70601	e71aupperpokomo	g42aamu	0.979967441
89156	n14mpoto	p14ngindo	0.979963619
