Doculect	Segment	Zscore	Normedcount	SalienceScore
a11londo	ʃʷ	-0.07	0	0
a11londo	ʈ	-0.09	0	0
a11londo	ʈʂ	-0.07	0	0
a11londo	ʈʰ	-0.06	0	0
a11londo	ʉ	-0.12	0	0
a11londo	ʉː	-0.05	0	0
a11londo	ʉ̃	-0.05	0	0
a11londo	ʊ	-0.25	0	0
a11londo	ʊː	-0.05	0	0
a11londo	ʊ̃	-0.07	0	0
a11londo	ʌ	-0.14	0	0
a11londo	ʌ̃̀	-0.05	0	0
a11londo	ʎ	-0.05	0	0
a11londo	ʐ	-0.07	0	0
a11londo	ʑ	-0.05	0	0
a11londo	ʒ	-0.19	0	0
a11londo	ʔ	-0.21	0	0
a11londo	ʕ	-0.05	0	0
a11londo	ʝ	-0.05	0	0
a11londo	β	-0.35	0	0
a11londo	θ	-0.06	0	0
a11londo	χ	-0.05	0	0
a11londo	ẽ	-0.07	0	0
a11londo	ⱱ	-0.05	0	0
a121mbonge	a	-0.06	56	-3
a121mbonge	aˀ	-0.13	0	0
a121mbonge	aː	-0.21	0	0
a121mbonge	b	1.66	26	43
a121mbonge	bʰ	-0.05	0	0
a121mbonge	bʱ	-0.05	0	0
a121mbonge	bʲ	-0.07	0	0
a121mbonge	b̪	-0.05	0	0
a121mbonge	c	-0.5	0	0
a121mbonge	d	2.19	24	53
a121mbonge	dz	-0.42	0	0
a121mbonge	dʒ	-0.36	0	0
a121mbonge	dʒʲ	-0.05	0	0
a121mbonge	dʰ	-0.06	0	0
a121mbonge	dʲ	-0.14	0	0
a121mbonge	dʷ	-0.07	0	0
a121mbonge	d̪	-0.13	0	0
a121mbonge	e	0.87	31	27
a121mbonge	eˀ	-0.09	0	0
a121mbonge	eː	-0.23	0	0
a121mbonge	f	-0.28	2	-1
a121mbonge	fʲ	-0.05	0	0
a121mbonge	g	0.95	15	14
a121mbonge	gʱ	-0.05	0	0
a121mbonge	gʲ	-0.07	0	0
a121mbonge	gʷ	-0.1	0	0
a121mbonge	g̊	-0.05	0	0
a121mbonge	h	-0.76	0	0
a121mbonge	hʷ	-0.05	0	0
a121mbonge	i	-0.58	37	-21
a121mbonge	iˀ	-0.11	0	0
a121mbonge	iː	-0.21	0	0
a121mbonge	j	0.15	12	2
a121mbonge	k	-0.21	21	-4
a121mbonge	kp	-0.05	0	0
a121mbonge	kʰ	-0.1	0	0
a121mbonge	kʲ	-0.07	0	0
a121mbonge	kʷ	-0.15	0	0
a121mbonge	kʼ	-0.09	0	0
a121mbonge	l	0.58	28	16
a121mbonge	lʰ	-0.05	0	0
a121mbonge	lʲ	-0.34	0	0
a121mbonge	lʷ	-0.08	0	0
a121mbonge	lˀ	-0.05	0	0
a121mbonge	lˠ	-0.05	0	0
a121mbonge	l̪	-0.07	0	0
a121mbonge	lᶣ	-0.05	0	0
a121mbonge	m	-0.98	24	-24
a121mbonge	mʰ	-0.05	0	0
