a11londo
ŋ̍	11.49	4
ə	5.15	52

a803shiwa
a	-2.06	28
m̩	6.7	2
õ	2.54	1
ũ	8.6	3
ɐ	20.57	2
ɑ̃	20.57	1
ɔ̃	2.1	1
ə	5.15	52
ɥ	2.92	2
ɲ̩	14.53	1
ʁ	6.38	6
ʃ	3.62	11
ʔ	4.79	10

a81kwasio
bʰ	20.57	1
dʰ	3.99	1
dʷ	14.53	1
gʷ	17.65	5
iː	3.33	4
kʷ	12.4	4
lʷ	17.81	3
sʷ	14.53	1
tʷ	6.13	1
zʷ	20.57	1
ã	10.04	6
ũ	8.6	3
ɔ̃	6.55	3
ɟ	6.55	6
ɥ	4.45	3
ɱ	11.13	5
ɾ	12.29	9
ʕ	20.52	15

a832bekol
c	3.71	9
j	2.3	27
w	3.74	34
û	5.2	10

a83mekaa
g	2.16	22
j	4.02	39
w	3.57	33
û	4.11	8
ə	3.36	35

a841badwe
e	3.77	66
p	2.32	13
œ	4.66	1
ɨ	3.17	11
ʉ	7.54	16

a84njem
e	3.94	68
j	2.16	26
p	2.05	12
œ	4.66	1
ɨ	3.17	11
ʉ	8.97	19
ʔ	3.79	8

a85bbekwilmakokou
ã	4.93	3
ɓ	4.43	14
ɗ	6.25	16
ɛ	5.42	60
ɠ	16.44	4
ɥ	9.03	6
ɪ	4.4	23
ʊ	3.93	26
ʊ̃	6.15	1

a85bbekwilmv
g	3.02	27
ũ	2.76	1
ɓ	4.43	14
ɗ	5.44	14
ɛ	5.63	62
ɠ	12.32	3
ɥ	7.5	5
ɪ	5.41	28
ʊ	5.22	34
ʊ̃	6.15	1

a86cmpiemo
c	3.24	8
õ	5.19	2
ĩ	3.15	1
ũ	2.76	1
ɓ	2.4	8
ɔ	3.9	54
ɗ	2.6	7

a87bomwali
a	-2.85	17
w	3.91	35
ɓ	5.45	17
ɔ	2.0	32
ɗ	5.03	13

a91kwakum
p	2.32	13
ɔ	3.65	51
ɟ	7.66	7
ʃ	6.56	19

a93kako
gʲ	14.53	1
j	3.3	34
t	2.28	25
õ	10.5	4
ĩ	6.44	2
ũ	5.68	2
ɓ	2.4	8
ɔ	2.52	38
ɔ̃	2.1	1
ɗ	2.19	6
ɛ	2.56	32

aghemgrassfields
a	-2.35	24
aˀ	6.2	2
f	2.55	11
ts	2.42	7
ŋ	2.03	19
ɔ	2.35	36
ɣ	2.61	16
ɥ	2.92	2
ɨ	10.15	34
ʌ	4.66	2
ʔ	8.78	18

b11ampongwe
m	-2.23	14
o	2.75	75
w̃	20.57	9
ɣ	5.21	30
β	2.51	7

b11borungu
o	2.33	68
ɣ	2.24	14
β	3.73	10

b11cgalwa
o	2.75	75
ɣ	5.21	30
β	2.1	6

b11ddyumba
aː	10.48	20
eː	6.27	6
iː	9.52	11
oː	13.82	19
uː	4.07	5
ɔː	12.18	8
ɗ	2.6	7
ɛː	16.6	10
ɣ	5.58	32
ɾ	16.41	12
β	2.1	6

b11fenenga
o	2.1	64
ɣ	2.06	13

b201ndasa
dz	2.63	9

b202sigu
aː	11.02	21
eː	4.11	4
iː	6.86	8
oː	2.76	4
uː	15.14	18
ɔː	6.01	4
ɛː	4.89	3

b203samaye
dʒ	2.2	6

b204ndambomoli
dʒ	4.34	11
ɛ	4.2	48
ʃ	3.98	12
ʒ	9.01	9

b204ndambomomassoukou
dʒ	3.48	9
ɛ	3.38	40
ʃ	2.88	9
ʒ	6.97	7

b204ndambomombadi
dʒ	3.48	9
dʒʲ	20.57	1
l	2.13	48
ɔ	2.18	34
ʒ	2.88	3

b21seki
a	-2.49	22
aː	8.88	17
d	4.63	41
eː	4.11	4
iː	8.63	10
oː	7.19	10
uː	6.63	8
ã	3.22	2
ɔ	2.87	42
ɔː	10.64	7
ɛː	4.89	3
β	2.92	8

b22akele
j	2.73	30
ð	8.49	14
ʃ	5.83	17
ʒ	3.9	4
θ	2.48	1

b22bkoya
d	2.48	26
j	3.16	33
m̩	3.3	1
ɲ̩	14.53	1

b22bngom
d	2.77	28
m	-2.1	15
m̩	6.7	2
ĩ	3.15	1
ŋ̍	2.8	1
ɔ̃	2.1	1

b22emwesa
d	4.06	37
j	2.16	26
ɔ̃	2.1	1

b23mbangwe
j	3.01	32
ĩ	9.72	3
ũ	5.68	2
ɛ̃	11.85	1

b24wumbvu
dʒ	5.19	13

b251shake
dʒ	3.06	8
ã	3.22	2
