Cognate1	Cognate1	Weight
animal_16	arm_429	0.20833333333333334
animal_16	arm_462	0.06666666666666667
animal_16	arm_639	0.010752688172043012
animal_16	ashes_835	0.01904761904761905
animal_16	ashes_947	0.015625
animal_16	bark_1249	0.0945945945945946
animal_16	bark_1262	0.045454545454545456
animal_16	bark_1399	0.018518518518518517
animal_16	bed_1625	0.05555555555555555
animal_16	bed_1627	0.022222222222222223
animal_16	bed_1800	0.014705882352941176
animal_16	belly_1901	0.18032786885245902
animal_16	belly_1917	0.09523809523809523
animal_16	bird_2842	0.028169014084507043
animal_16	bite_3084	0.08333333333333333
animal_16	blood_3467	0.009433962264150943
animal_16	blood_3484	0.15789473684210525
animal_16	blood_3623	0.09615384615384616
animal_16	bone_3987	0.018867924528301886
animal_16	bone_3869	0.03636363636363636
animal_16	bone_3882	0.13333333333333333
animal_16	bone_3890	0.22727272727272727
animal_16	bone_4213	0.013513513513513514
animal_16	bone_3979	0.027777777777777776
animal_16	breast_4422	0.015873015873015872
animal_16	breast_4265	0.1504424778761062
animal_16	burn_4800	0.00909090909090909
animal_16	burn_4683	0.3023255813953488
animal_16	burn_4762	0.08064516129032258
animal_16	burn_4854	0.018518518518518517
animal_16	cloud_5504	0.0125
animal_16	cloud_5471	0.0125
animal_16	cloud_5434	0.05128205128205128
animal_16	cloud_5498	0.02040816326530612
animal_16	cloud_5443	0.32558139534883723
animal_16	cloud_5520	0.01694915254237288
animal_16	come_5832	0.11428571428571428
animal_16	come_5997	0.015625
animal_16	come_6084	0.03508771929824561
animal_16	count_6204	0.0847457627118644
animal_16	count_6193	0.025974025974025976
animal_16	count_6187	0.06
animal_16	dew_6491	0.008620689655172414
animal_16	dew_6465	0.03571428571428571
animal_16	die_6749	0.015873015873015872
animal_16	dog_7119	0.1134020618556701
animal_16	dog_7182	0.03333333333333333
animal_16	drink_7693	0.0196078431372549
animal_16	drink_7611	0.05504587155963303
animal_16	eat_8347	0.1643835616438356
animal_16	eat_8349	0.03333333333333333
animal_16	eat_8425	0.058823529411764705
animal_16	eat_8710	0.01904761904761905
animal_16	egg_8748	0.05263157894736842
animal_16	egg_8758	0.08695652173913043
animal_16	egg_8761	0.029850746268656716
animal_16	elephant_9169	0.23809523809523808
animal_16	elephant_9381	0.014285714285714285
animal_16	fall_10205	0.0851063829787234
animal_16	fall_10212	0.0625
animal_16	fat, oil_10503	0.43243243243243246
