	animal_317	child_5068	person_24653	rain_25113	tongue_32199
animal_317	0.0	1.4694444444444443	1.098047493403694	1.1002770780856423	1.1562942779291552
child_5068	1.4694444444444443	0.0	1.2343896103896101	1.2769	1.3597831978319783
person_24653	1.098047493403694	1.2343896103896101	0.0	1.4381510416666665	1.468935574229692
rain_25113	1.1002770780856423	1.2769	1.4381510416666665	0.0	1.4116666666666668
tongue_32199	1.1562942779291552	1.3597831978319783	1.468935574229692	1.4116666666666668	0.0
