# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
#
1520	1000_pepper	NVBAbar7	ʃìntó~ǹtó/mʊ̀ntó~ǹtó	ʃ i ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	39	39.S.C 39.I.V 39.6.T 39.N.c 39.T.C 39.U.V 39.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹nto⁵	0	5	ʃ i ¹ n t o ⁵ - - - -
1521	1000_pepper	ECLAbar8	ʃìntǒː / mʊ̀ntǒː	ʃ i ¹ n t oː ¹ ⁵	3 7 8 4 1 7 8 8	AXTMBYTT	SI6NTU66	11	11.S.C 11.I.V 11.6.T 11.N.c 11.T.C 11.U.V 11.6.T 11.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.0	ʃi¹ntoː¹⁵	0	5	ʃ i ¹ n t oː ¹ - - - ⁵
1522	1000_pepper	NMAAbar1	ʃìntó / m̄tó	ʃ i ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	35	35.S.C 35.I.V 35.6.T 35.N.c 35.T.C 35.U.V 35.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹nto⁵	0	5	ʃ i ¹ n t o ⁵ - - - -
1523	1000_pepper	NACAbar2	ʃìntóː / m̀tóː	ʃ i ¹ n t oː ⁵	3 7 8 4 1 7 8	AXTMBYT	SI6NTU6	29	29.S.C 29.I.V 29.6.T 29.N.c 29.T.C 29.U.V 29.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	ʃi¹ntoː⁵	0	5	ʃ i ¹ n t oː ⁵ - - - -
1524	1000_pepper	NEMAjumbu9	fə̀ⁿtó / m̩̀tó	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	31	31.B.C 31.E.V 31.6.T 31.N.c 31.T.C 31.U.V 31.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	5	f ə ¹ n t o ⁵ - - - -
1525	1000_pepper	NVIAjumbu1	fə̀ntó / ə̂mtó~ mtó	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	40	40.B.C 40.E.V 40.6.T 40.N.c 40.T.C 40.U.V 40.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	5	f ə ¹ n t o ⁵ - - - -
1526	1000_pepper	KMNAjumbu2	fə̀ntóː / m̀tóː	f ə ¹ n t oː ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	24	24.B.C 24.E.V 24.6.T 24.N.c 24.T.C 24.U.V 24.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹ntoː⁵	0	5	f ə ¹ n t oː ⁵ - - - -
1527	1000_pepper	KDCAjumbu10	fə̀ⁿtó / ǹ̩tó:lə́~m̩̀tó:lə́	f ə ¹ n t o ⁵	3 7 8 4 1 7 8	AXTMBYT	BE6NTU6	18	18.B.C 18.E.V 18.6.T 18.N.c 18.T.C 18.U.V 18.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	fə¹nto⁵	0	5	f ə ¹ n t o ⁵ - - - -
1528	1000_pepper	ENBBiya1	m̀fʷàhà / bàmfʷáhá~bə̀mfʷáhá	m ¹ fʷ a ¹ h a ¹	4 8 3 7 8 3 7 8	ATBYTBYT	M6BA6HA6	12	12.M.C 12.6.T 12.B.C 12.A.V 12.6.T 12.H.C 12.A.V 12.6.T	1.6 1.0 1.3 3.0 1.0 1.3 3.0 1.0	m¹fʷa¹ha¹	0	3	m ¹ fʷ - a ¹ h a ¹ - - - - -
