# Wordlist

# DATA
ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	LEXSTATID
766	10_camwood	MCANgun3	kə́bô~ábɔ᷇ː / bíbo᷇ː~ɪ́bɔ᷇ː	k ə ⁵ b o ⁵ ¹	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	16	16.K.C 16.E.V 16.6.T 16.P.C 16.U.V 16.6.T 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵bo⁵¹	0	11	4
767	10_camwood	KBMNgun4	kə́bo᷇ː / bíbo᷇ː	k ə ⁵ b oː ⁵ ³	1 7 8 1 7 8 8	AXTBYTT	KE6PU66	12	12.K.C 12.E.V 12.6.T 12.P.C 12.U.V 12.6.T 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.0	kə⁵boː⁵³	0	11	4
768	10_camwood	APBMumfu1	bʊ́ŋ / bʊ́ŋ~bʊ́ŋwə́	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	3	3.P.C 3.Y.V 3.6.T 3.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	0	3	2
769	10_camwood	DNMMumfu2	bʊ́ŋ / ø	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	6	6.P.C 6.Y.V 6.6.T 6.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	0	3	2
770	10_camwood	BKBMashi2	bú / ø	b u ¹	1 7 8	AXT	PY6	4	4.P.C 4.Y.V 4.6.T	1.6 3.0 1.0	bu¹	0	3	2
771	10_camwood	DNMMumfu2	bʊ́ŋ / ø	b ʊ ⁵ ŋ	1 7 8 4	AXTN	PY6N	6	6.P.C 6.Y.V 6.6.T 6.N.c	1.6 3.0 1.0 0.5	bʊ⁵ŋ	1	3	2
772	10_camwood	ABSMissong1	fìbùbú ~ʊ́bùbú / ʊ́bùbú ~ìbùbú	f i ¹ b o ¹ b u ¹	3 7 8 1 7 8 1 7 8	AXTBYTBYT	BI6PU6PY6	1	1.B.C 1.I.V 1.6.T 1.P.C 1.U.V 1.6.T 1.P.C 1.Y.V 1.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	fi¹bo¹bu¹	0	1	1
773	10_camwood	AGAMissong2	ʊ́bʊ̀bʊ́ ~ ʊ̀bʊ̀bʊ́wū	ʊ ⁵ b ʊ ¹ b ʊ ⁵	7 8 1 7 8 1 7 8	XTBYTBYT	Y6PY6PY6	2	2.Y.V 2.6.T 2.P.C 2.Y.V 2.6.T 2.P.C 2.Y.V 2.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	ʊ⁵bʊ¹bʊ⁵	0	1	1
#
1303	11_cap	NVBAbar7	kə̀fôm~àfôm / ɪ̀fômbî	k ə ¹ f o ⁵ ¹ m	1 7 8 3 7 8 8 4	AXTBYTTN	KE6BU66M	24	24.K.C 24.E.V 24.6.T 24.B.C 24.U.V 24.6.T 24.6.T 24.M.c	1.6 3.0 1.0 1.3 3.0 1.0 1.0 0.5	kə¹fo⁵¹m	0	18	9
1304	11_cap	ECLAbar8	kə̀mfʷôm / bìmfʷôm	k ə ³ m fʷ o ⁵ ¹ m	1 7 8 4 3 7 8 8 4	AXTMBYTTN	KE6MBU66M	8	8.K.C 8.E.V 8.6.T 8.M.c 8.B.C 8.U.V 8.6.T 8.6.T 8.M.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 1.0 0.5	kə³mfʷo⁵¹m	0	18	9
1305	11_cap	NEMAjumbu9	kə̀fʷólə́ / bə̀fʷólə́	k ə ¹ fʷ o ⁵ l ə ⁵	1 7 8 3 7 8 5 7 8	AXTBYTBYT	KE6BU6LE6	18	18.K.C 18.E.V 18.6.T 18.B.C 18.U.V 18.6.T 18.L.C 18.E.V 18.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹fʷo⁵lə⁵	0	18	9
1306	11_cap	KDCAjumbu10	kə̀fɔ́lə́ / bə̀fɔ́lə́	k ə ¹ f ɔ ⁵ l ə ⁵	1 7 8 3 7 8 5 7 8	AXTBYTBYT	KE6BU6LE6	14	14.K.C 14.E.V 14.6.T 14.B.C 14.U.V 14.6.T 14.L.C 14.E.V 14.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹fɔ⁵lə⁵	0	18	9
1307	11_cap	ENBBIYA1	kə̀nə́kʷú / bìnə̂kʷú	k ə ¹ n ə ⁵ kʷ u ¹	1 7 8 4 7 8 1 7 8	AXTBYTBYT	KE6NE6KY6	9	9.K.C 9.E.V 9.6.T 9.N.C 9.E.V 9.6.T 9.K.C 9.Y.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹nə⁵kʷu¹	0	20	10
1308	11_cap	ICNBIYA2	kə̀ntàŋ / bìntàŋ	k ə ¹ n t a ¹ ŋ	1 7 8 4 1 7 8 4	AXTMBYTN	KE6NTA6N	10	10.K.C 10.E.V 10.6.T 10.N.c 10.T.C 10.A.V 10.6.T 10.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	kə¹nta¹ŋ	0	21	11
1309	11_cap	NNBBuu3	kə̀fóːnə́ / mə̀mfómnə́	k ə ¹ f oː ⁵ n ə ⁵	1 7 8 3 7 8 4 7 8	AXTBYTBYT	KE6BU6NE6	22	22.K.C 22.E.V 22.6.T 22.B.C 22.U.V 22.6.T 22.N.C 22.E.V 22.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹foː⁵nə⁵	0	18	9
1310	11_cap	MNJBuu4	kə̀fóːnə́ / bə̀fóːnə́	k ə ¹ f oː ⁵ n ə ⁵	1 7 8 3 7 8 4 7 8	AXTBYTBYT	KE6BU6NE6	17	17.K.C 17.E.V 17.6.T 17.B.C 17.U.V 17.6.T 17.N.C 17.E.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹foː⁵nə⁵	0	18	9
1311	11_cap	KHKFANG12	kə̀fə́~kə̀fə́lə́ / bə̀fə́lə́	k ə ¹ f ə ⁵	1 7 8 3 7 8	AXTBYT	KE6BE6	15	15.K.C 15.E.V 15.6.T 15.B.C 15.E.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə¹fə⁵	0	18	9
1312	11_cap	DPNFANG13	kə̀fə́lə́ / bə̀fə́lə́	k ə ¹ f ə ⁵ l ə ⁵	1 7 8 3 7 8 5 7 8	AXTBYTBYT	KE6BE6LE6	7	7.K.C 7.E.V 7.6.T 7.B.C 7.E.V 7.6.T 7.L.C 7.E.V 7.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹fə⁵lə⁵	0	18	9
1313	11_cap	JGYKoshin3	kə̀fó / bə̀fó	k ə ¹ f o ⁵	1 7 8 3 7 8	AXTBYT	KE6BU6	11	11.K.C 11.E.V 11.6.T 11.B.C 11.U.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə¹fo⁵	0	18	9
1314	11_cap	TELKoshin4	kə̀fó / bə̀fó	k ə ¹ f o ⁵	1 7 8 3 7 8	AXTBYT	KE6BU6	25	25.K.C 25.E.V 25.6.T 25.B.C 25.U.V 25.6.T	1.6 3.0 1.0 1.3 3.0 1.0	kə¹fo⁵	0	18	9
1315	11_cap	KCSKung3	kə̀tàŋə̀ / ʊ̀tàŋə̀	k ə ¹ t a ¹ ŋ ə ¹	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TA6NE6	13	13.K.C 13.E.V 13.6.T 13.T.C 13.A.V 13.6.T 13.N.C 13.E.V 13.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə¹ta¹ŋə¹	0	21	11
1316	11_cap	NJSKung4	kə́tàŋə̀ / ʊ́tàŋə̀	k ə ⁵ t a ¹ ŋ ə ¹	1 7 8 1 7 8 4 7 8	AXTBYTBYT	KE6TA6NE6	20	20.K.C 20.E.V 20.6.T 20.T.C 20.A.V 20.6.T 20.N.C 20.E.V 20.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	kə⁵ta¹ŋə¹	0	21	11
1317	11_cap	NMNMundabli3	fo᷇ː / fo᷇ː	f oː ⁵ ³	3 7 8 8	AXTT	BU66	21	21.B.C 21.U.V 21.6.T 21.6.T	1.6 3.0 1.0 1.0	foː⁵³	0	16	8
1318	11_cap	CENMundabli2	fôː / fo᷇ː bóɦ	f oː ⁵ ¹	3 7 8 8	AXTT	BU66	5	5.B.C 5.U.V 5.6.T 5.6.T	1.6 3.0 1.0 1.0	foː⁵¹	0	16	8
1319	11_cap	NGTMunken3	àŋkʲàŋ / bìŋkʲàŋ	a ¹ ŋ kʲ a ¹ ŋ	7 8 4 1 7 8 4	XTMBYTN	A6NKA6N	19	19.A.V 19.6.T 19.N.c 19.K.C 19.A.V 19.6.T 19.N.c	3.0 1.0 1.1 1.3 3.0 1.0 0.5	a¹ŋkʲa¹ŋ	0	30	11
1320	11_cap	NUNMunken4	àŋkʲàŋ / bìŋkʲàŋ	a ¹ ŋ kʲ a ¹ ŋ	7 8 4 1 7 8 4	XTMBYTN	A6NKA6N	23	23.A.V 23.6.T 23.N.c 23.K.C 23.A.V 23.6.T 23.N.c	3.0 1.0 1.1 1.3 3.0 1.0 0.5	a¹ŋkʲa¹ŋ	0	30	11
