Cognate1	Cognate1	Weight
air_18	animal_36	1.0
air_18	banana_84	0.3076923076923077
air_18	basket_123	0.5
air_18	basket_129	0.25
air_18	bat_133	0.16666666666666666
air_18	bed_166	0.5
air_18	bitter leaf_226	0.2857142857142857
air_18	blood_292	0.5
air_18	book_308	0.16666666666666666
air_18	bridge_408	0.2857142857142857
air_18	broom_415	0.6666666666666666
air_18	camwood_430	0.2857142857142857
air_18	cap_458	0.23076923076923078
air_18	case (court) (n)_464	0.3333333333333333
air_18	case (court) (n)_463	0.16666666666666666
air_18	caterpillar_519	0.3333333333333333
air_18	caterpillar_535	0.25
air_18	chief_595	0.125
air_18	cloth_605	0.13333333333333333
air_18	compound_628	0.375
air_18	compound_634	0.2
air_18	corn_652	0.3333333333333333
air_18	cow, cattle_676	0.14285714285714285
air_18	crab_702	1.0
air_18	cricket_710	0.2857142857142857
air_18	cup_746	0.5714285714285714
air_18	cutlass_789	0.21428571428571427
air_18	day_838	1.0
air_18	dog_921	0.5
air_18	drum_928	0.5
air_18	dry season_984	1.0
air_18	dust_998	0.5
air_18	ear_1007	0.0625
air_18	egg_1027	1.0
air_18	elephant stalk_1035	0.6666666666666666
air_18	eye_1071	0.6666666666666666
air_18	feather_1176	0.09090909090909091
air_18	feather_1173	0.08333333333333333
air_18	feather_1187	0.2
air_18	fence_1214	1.0
air_18	fire_1226	0.4
air_18	fireside_1244	1.0
air_18	fish_1284	0.09090909090909091
air_18	fish_1293	0.75
air_18	fly (bird)_1307	0.13333333333333333
air_18	fly (bird)_1306	0.16666666666666666
air_18	fly (bird)_1308	0.25
air_18	garden egg_1430	0.75
air_18	garden egg_1416	0.125
air_18	gizzard (fowl)_1439	0.18181818181818182
air_18	goat_1470	0.4
air_18	gong_1483	0.07142857142857142
air_18	grasshopper_1535	0.5
air_18	grasshopper_1518	0.14285714285714285
air_18	grave_1548	0.5
air_18	gun_1561	0.2
air_18	gun_1565	0.2857142857142857
air_18	hair_1612	0.2
air_18	hand_1656	0.18181818181818182
air_18	headpad_1680	1.0
air_18	heart_1699	0.75
air_18	heart_1729	0.25
air_18	hill_1742	0.8
air_18	hoe_1767	0.4444444444444444
air_18	horn (head)_1794	0.375
air_18	house_1820	0.16666666666666666
air_18	house_1824	0.75
air_18	intestine_1836	0.8
air_18	knife_1894	0.2
air_18	leaf_1929	1.0
air_18	monkey_1973	0.25
air_18	mother_2019	0.4
air_18	mouth_2052	0.4
air_18	mushroom_2099	0.5
air_18	name_2140	1.0
air_18	oil_2175	1.0
air_18	owl_2225	0.4444444444444444
air_18	palm nut_2257	0.4444444444444444
air_18	palm tree_2326	0.25
air_18	palm tree_2339	0.25
air_18	palm tree_2291	0.2857142857142857
air_18	pap_2348	0.4
air_18	pepper_2396	0.5
air_18	person_2423	0.6666666666666666
air_18	pig_2450	1.0
air_18	pot_2599	0.3333333333333333
air_18	pot_2596	0.3333333333333333
air_18	potato_2618	1.0
