Cognate1	Cognate1	Weight
air_1	animal_19	0.10867924528301887
air_1	animal_22	0.007187780772686433
air_1	bag_67	0.15146750524109012
air_1	bag_59	0.007547169811320755
air_1	basket_105	0.20033296337402884
air_1	basket_112	0.00815910249872514
air_1	bat_134	0.10628930817610063
air_1	bat_153	0.0589622641509434
air_1	bed_173	0.18577648766328012
air_1	belly_186	0.09132075471698113
air_1	belly_202	0.0077406869859700045
air_1	bitter leaf_219	0.3119103773584906
air_1	blood_278	0.04163955757970071
air_1	blood_271	0.026415094339622643
air_1	book_303	0.17028301886792455
air_1	bridge_390	0.16037735849056603
air_1	broom_409	0.29027576197387517
air_1	camwood_428	0.22641509433962265
air_1	camwood_430	0.008625336927223719
air_1	cap_458	0.009148084619782733
air_1	case (court) (n)_460	0.2097242380261248
air_1	case (court) (n)_472	0.0077406869859700045
air_1	cat_511	0.39308176100628933
air_1	caterpillar_522	0.30440251572327043
air_1	chair_564	0.0077406869859700045
air_1	chair_565	0.05270006506180872
air_1	chair_566	0.05660377358490566
air_1	chief_582	0.13632075471698113
air_1	chief_595	0.038953134510042606
air_1	corn_669	0.32002902757619744
air_1	corn_652	0.009148084619782733
air_1	cow, cattle_683	0.2080188679245283
air_1	cow, cattle_676	0.009148084619782733
air_1	crab_686	0.1479245283018868
air_1	crab_698	0.05099439061703213
air_1	cricket_705	0.29027576197387517
air_1	cup_739	0.18802862719583602
air_1	cutlass_780	0.14150943396226415
air_1	cutlass_789	0.02122641509433962
air_1	dance_816	0.07547169811320754
air_1	dance_820	0.020545073375262058
air_1	day_821	0.15723270440251574
air_1	deity, god, God_853	0.22870211549456831
air_1	deity, god, God_842	0.00815910249872514
air_1	devil_871	0.40663630448926474
air_1	dog_904	0.29027576197387517
air_1	dog_907	0.002287021154945683
air_1	drum_932	0.12264150943396226
air_1	dry season_971	0.16981132075471697
air_1	dry season_973	0.004851752021563342
air_1	dust_989	0.41799709724238027
air_1	ear_1008	0.294811320754717
air_1	egg_1012	0.009148084619782733
air_1	egg_1011	0.11388140161725067
air_1	elephant stalk_1030	0.09132075471698113
air_1	eye_1056	0.29027576197387517
air_1	eye_1064	0.015723270440251572
air_1	faeces_1084	0.39308176100628933
air_1	farm_1133	0.18577648766328012
air_1	farm_1136	0.007363092498849517
air_1	father_1148	0.12385099177552007
air_1	father_1150	0.034501347708894875
air_1	feather_1170	0.15723270440251574
air_1	fence_1199	0.2181132075471698
air_1	fence_1202	0.010482180293501049
air_1	fire_1215	0.2602472348731295
air_1	fire_1226	0.015723270440251572
air_1	fireside_1245	0.06522911051212939
air_1	fish_1277	0.2097242380261248
air_1	fish_1278	0.0005549389567147614
air_1	fly (bird)_1302	0.09368900455432662
air_1	fly (bird)_1307	0.06738544474393532
air_1	forest_1309	0.17464925012094823
air_1	fowl_1356	0.29027576197387517
air_1	fowl_1361	0.00686106346483705
air_1	friend_1408	0.006289308176100628
air_1	goat_1466	0.32002902757619744
air_1	goat_1474	0.008385744234800837
air_1	gong_1482	0.12264150943396226
air_1	gong_1480	0.057075471698113216
air_1	grass_1484	0.3747560182173065
air_1	grasshopper_1541	0.07547169811320754
air_1	grasshopper_1518	0.0005241090146750523
air_1	grasshopper_1514	0.09132075471698113
air_1	gun_1549	0.16655823031880285
air_1	hailstone_1579	0.20195667365478687
air_1	hailstone_1573	0.011230907457322551
air_1	hair_1623	0.39308176100628933
air_1	hand_1639	0.2684114424832623
air_1	head_1659	0.32002902757619744
air_1	head_1660	0.00815910249872514
air_1	headpad_1667	0.29356270810210877
air_1	hill_1735	0.05717552887364208
air_1	hoe_1782	0.18577648766328012
air_1	horn (head)_1783	0.2181132075471698
air_1	horse_1805	0.23773584905660378
air_1	horse_1800	0.007547169811320755
air_1	house_1806	0.32002902757619744
air_1	house_1810	0.007944389275074478
air_1	intestine_1825	0.3992452830188679
air_1	jaw_1866	0.031777557100297914
air_1	jaw_1860	0.2097242380261248
air_1	knife_1894	0.06506180871828238
air_1	knife_1880	0.0020964360587002093
air_1	ladder_1911	0.26002358490566035
air_1	ladder_1904	0.007187780772686433
air_1	leaf_1912	0.3081761006289308
air_1	leaf_1919	0.008385744234800837
air_1	medicine_1943	0.2772536687631027
air_1	monkey_1962	0.09703504043126683
air_1	monkey_1966	0.007020623080298377
air_1	moon_1994	0.2351233671988389
air_1	moon_1997	0.007547169811320755
air_1	mouth_2049	0.32002902757619744
air_1	mouth_2053	0.009433962264150943
air_1	mushroom_2086	0.10867924528301887
air_1	name_2122	0.32002902757619744
air_1	nose_2143	0.32002902757619744
air_1	nose_2144	0.006708595387840671
air_1	oil_2169	0.12264150943396226
air_1	oil_2162	0.008385744234800837
air_1	owl_2219	0.26197387518142234
air_1	palm nut_2254	0.23487312947299932
air_1	palm tree_2297	0.008385744234800837
air_1	palm tree_2292	0.07547169811320754
air_1	pap_2342	0.16981132075471697
air_1	pap_2348	0.009738283627510651
air_1	pepper_2381	0.008879023307436182
air_1	person_2427	0.26197387518142234
air_1	person_2431	0.008385744234800837
air_1	pig_2443	0.2097242380261248
air_1	pig_2432	0.03773584905660377
air_1	pineapple_2453	0.3992452830188679
air_1	pineapple_2460	0.0004837929366231253
air_1	place_2491	0.27735849056603773
air_1	place_2500	0.008385744234800837
air_1	plantain_2536	0.06086427267194157
air_1	plantain_2539	0.007363092498849517
air_1	potato_2605	0.14206437291897892
air_1	raffia bamboo_2619	0.26197387518142234
air_1	raffia bamboo_2637	0.007363092498849517
air_1	rain_2658	0.32002902757619744
air_1	rain_2662	0.008385744234800837
air_1	rainbow_2692	0.07547169811320754
air_1	rainbow_2682	0.009433962264150943
air_1	road_2702	0.24452830188679245
air_1	road_2704	0.007020623080298377
air_1	root_2748	0.10628930817610063
air_1	root_2768	0.0020964360587002093
air_1	rope_2771	0.2724528301886792
air_1	rope_2787	0.0003699593044765076
air_1	salt_2799	0.06289308176100629
air_1	sand_2834	0.21832884097035044
air_1	sand_2837	0.007020623080298377
air_1	seed_2848	0.07547169811320754
air_1	seed_2851	0.08176100628930817
air_1	sheep_2902	0.10613207547169812
air_1	sieve_2946	0.24031777557100298
air_1	sky_2959	0.05878084179970972
air_1	sky_2968	0.0330188679245283
air_1	sky_2961	0.008385744234800837
air_1	smoke_3013	0.24952830188679245
air_1	snake_3050	0.008385744234800837
air_1	snake_3049	0.2097242380261248
air_1	soap_3080	0.31032770605759685
air_1	soldier ant_3119	0.20195667365478687
air_1	song_3176	0.3187149413564508
air_1	spider_3215	0.2181132075471698
air_1	star_3220	0.02801600914808462
air_1	stomach_3276	0.2248852626211117
air_1	stone_3317	0.2971698113207547
air_1	stone_3315	0.007187780772686433
air_1	storm (wind)_3336	0.16981132075471697
air_1	storm (wind)_3334	0.009738283627510651
air_1	story_3387	0.09132075471698113
air_1	story_3385	0.009148084619782733
air_1	sun_3435	0.24452830188679245
air_1	toilet_3519	0.22641509433962265
air_1	toilet_3521	0.008879023307436182
air_1	tooth_3597	0.24472807991120976
air_1	tooth_3589	0.0077406869859700045
air_1	trap_3608	0.15723270440251574
air_1	tree_3640	0.17980022197558268
air_1	tree_3641	0.004354136429608128
air_1	umbrella_3645	0.18867924528301888
air_1	war_3690	0.32002902757619744
air_1	war_3691	0.006562756357670221
air_1	water_3735	0.15161725067385443
air_1	water_3726	0.002039775624681285
air_1	wingless termite_3749	0.0017969451931716081
air_1	work (n)_3798	0.030817610062893082
air_1	work (n)_3785	0.031777557100297914
air_1	xylophone_3799	0.09964622641509434
air_1	xylophone_3805	0.004468718967229394
air_1	yam_3836	0.45355587808418
air_1	zinc_3865	0.04495005549389567
air_1	zinc_3858	0.015723270440251572
air_4	animal_22	0.025157232704402514
air_4	bag_67	0.0019860973187686196
air_4	bag_59	0.08984725965858041
air_4	banana_84	0.014375561545372865
air_4	basket_105	0.0019860973187686196
air_4	basket_112	0.10482180293501048
air_4	bat_134	0.006289308176100628
air_4	bat_153	0.002795248078266946
air_4	belly_202	0.09433962264150944
air_4	bitter leaf_219	0.0018867924528301887
air_4	blood_278	0.003430531732418525
air_4	blood_271	0.05750224618149146
air_4	book_303	0.0017152658662092624
air_4	bridge_390	0.0005099439061703213
air_4	broom_412	0.07547169811320754
air_4	camwood_428	0.0025157232704402514
air_4	camwood_430	0.003144654088050314
air_4	cap_458	0.003430531732418525
air_4	case (court) (n)_472	0.1509433962264151
air_4	cat_511	0.0004601932811780948
air_4	cat_515	0.013125512715340442
air_4	caterpillar_522	0.0004965243296921549
