ConceptA	ConceptB	ChisqResidual	NumForms
air_4	drum_925	2.9444863728670914	6
air_4	drum_930	2.193931022920578	2
air_5	drum_926	3.252691193458119	1
air_6	drum_926	5.633826408401309	3
air_7	drum_928	2.9698484809834995	2
air_1	dust_1003	-2.214037213850238	0
air_1	dust_989	3.5671705709641834	24
air_10	dust_998	4.2576344347997	4
air_18	dust_998	4.2576344347997	4
air_4	dust_1003	4.9852724275079074	10
air_4	dust_989	-2.3763541031440187	0
air_5	dust_993	3.2906581974658233	1
air_6	dust_993	5.699587188353825	3
air_7	dust_995	6.861372411737249	2
air_1	ear_1007	-2.5243908214870063	0
air_10	ear_1007	2.951595422046346	4
air_4	ear_1007	2.8252257347845124	8
air_1	egg_1009	2.0595068893914825	8
air_1	egg_1011	2.0825323950590993	13
air_10	egg_1013	4.2576344347997	4
air_18	egg_1027	6.581316394931647	4
air_4	egg_1012	3.080616184861621	8
air_4	egg_1023	2.2294816068526147	2
air_4	egg_1025	2.2294816068526147	2
air_5	egg_1013	2.12881721739985	1
air_6	egg_1013	3.68721958056394	3
air_1	faeces_1084	2.860280321207891	25
air_10	faeces_1093	6.581316394931647	4
air_4	faeces_1084	-2.612188624844061	0
air_4	faeces_1087	3.1529631254723287	4
air_4	faeces_1091	3.1529631254723287	4
air_5	faeces_1088	2.880631738991688	1
air_6	faeces_1088	4.989400529829092	3
air_7	faeces_1090	4.653693451990369	2
air_1	farm_1133	3.002221399786054	16
air_4	farm_1147	2.193931022920578	2
air_5	farm_1137	2.0999999999999996	1
air_6	farm_1137	3.6373066958946425	3
air_7	farm_1137	2.9698484809834995	2
air_1	feather_1170	2.065413123941315	15
air_10	feather_1173	2.65361388801511	2
air_18	feather_1187	2.041241452319315	1
air_4	feather_1173	2.0454124574794497	5
air_5	feather_1174	3.1754264805429417	1
air_6	feather_1174	5.5	3
air_7	feather_1176	2.886751345948129	2
air_1	fence_1199	3.205562138953549	17
air_18	fence_1214	6.272194634409466	4
air_4	fence_1199	-2.0833687940244507	0
air_4	fence_1207	2.084219669613948	2
air_1	fire_1215	2.2162050053752567	20
air_1	fire_1218	-2.258769757263128	0
air_10	fire_1218	2.4916186034997656	2
air_18	fire_1226	3.8095238095238093	4
air_4	fire_1218	3.5471556105096473	8
air_4	fire_1229	2.1578838210232756	2
air_5	fire_1219	3.2142857142857144	1
air_6	fire_1219	5.567306167185677	3
air_18	fireside_1244	6.111919138499425	4
air_4	fireside_1233	3.607266795979158	7
air_7	fireside_1274	6.559132733999383	1
air_1	fish_1277	3.0022213997860536	17
air_10	fish_1284	4.657453891419676	4
air_18	fish_1293	5.699587188353825	3
air_4	fish_1277	-2.0	0
air_4	fish_1278	3.6814319464673777	8
air_6	fish_1280	6.721344403334448	3
air_7	fish_1281	4.653693451990369	2
air_10	forest_1318	6.581316394931647	4
air_4	forest_1312	4.458963213705229	8
air_6	forest_1314	3.8805700005813275	1
air_1	fowl_1356	3.162277660168379	20
air_1	fowl_1361	-2.1105794120443453	4
air_10	fowl_1364	5.692099788303083	4
air_4	fowl_1356	-2.1908902300206647	0
air_4	fowl_1361	2.0541163402772344	10
air_4	fowl_1371	2.193931022920578	2
air_7	fowl_1364	2.8460498941515415	1
air_1	friend_1408	-2.3484289263145093	4
air_1	friend_1411	2.3234463280645477	9
air_7	friend_1405	4.545686450484949	2
air_1	garden egg_1412	2.0595068893914825	8
air_10	garden egg_1426	5.144957554275265	4
air_18	garden egg_1430	5.699587188353825	3
air_4	garden egg_1415	3.1529631254723287	4
air_4	garden egg_1419	2.730546163854619	3
air_5	garden egg_1416	2.880631738991688	1
air_6	garden egg_1416	4.989400529829092	3
air_7	garden egg_1418	4.073828473484438	2
air_1	gong_1482	2.4225625944048432	13
air_1	gong_1483	-2.297825058615212	0
air_4	gong_1483	3.9143094131427807	9
air_1	grasshopper_1514	2.2742569991008454	11
air_1	grasshopper_1541	2.168418966972603	10
air_10	grasshopper_1522	6.571428571428571	3
air_18	grasshopper_1535	4.545686450484949	2
air_4	grasshopper_1517	3.273551741130005	4
air_6	grasshopper_1519	4.238095238095238	2
air_7	grasshopper_1518	2.3147506347180564	2
air_18	grave_1548	4.2576344347997	4
air_7	grave_1548	3.0106021806602214	2
air_1	gun_1549	2.0655911179772892	16
air_1	gun_1557	-2.1908902300206647	0
air_10	gun_1569	3.592584956081995	2
air_18	gun_1565	2.5298221281347035	2
air_4	gun_1557	3.6147844564602556	8
air_4	gun_1562	2.193931022920578	2
air_5	gun_1552	3.8375339303603124	1
air_6	gun_1552	4.289781139198388	2
air_1	hailstone_1579	2.3465952207331746	17
air_10	hailstone_1578	4.238095238095238	2
