Doculect1	Doculect2	SharedCognateCount
BNMKung2	FBCBiya8	20
BNMKung2	ICNBiya2	17
BNMKung2	JGYKoshin3	26
BNMKung2	KBMNgun4	22
BNMKung2	KCSKung3	80
BNMKung2	KCYBuu2	21
BNMKung2	KDCAjumbu10	25
BNMKung2	KDVFang1	17
BNMKung2	KEMBuu1	21
BNMKung2	KFKMashi1	20
BNMKung2	KHKFang12	20
BNMKung2	KJSFang2	16
BNMKung2	KMNAjumbu2	23
BNMKung2	LFNMundabli1	12
BNMKung2	MCANgun3	22
BNMKung2	MEAMumfu3	12
BNMKung2	MNJBuu4	26
BNMKung2	MRYKoshin2	20
BNMKung2	NACAbar2	19
BNMKung2	NCCMumfu4	12
BNMKung2	NCMMashi5	21
BNMKung2	NDNMissong5	19
BNMKung2	NEAMunken1	21
BNMKung2	NEMAjumbu9	24
BNMKung2	NFKBiya7	20
BNMKung2	NGTMunken3	21
BNMKung2	NINMundabli4	13
BNMKung2	NJNBiya6	21
BNMKung2	NJSKung4	86
BNMKung2	NMAAbar1	20
BNMKung2	NMNMundabli3	12
BNMKung2	NMSMissong4	18
BNMKung2	NNBBuu3	26
BNMKung2	NSFBiya5	21
BNMKung2	NUNMunken4	20
BNMKung2	NVBAbar7	20
BNMKung2	NVIAjumbu1	24
BNMKung2	TELKoshin4	25
BNMKung2	TNTMunken2	18
BNMKung2	WCANgun1	17
BNMKung2	ZKGKung1	90
CENMundabli2	DNMMumfu2	88
CENMundabli2	DPNFang13	43
CENMundabli2	ECLAbar8	13
CENMundabli2	ENBBiya1	13
CENMundabli2	FBCBiya8	14
CENMundabli2	ICNBiya2	15
CENMundabli2	JGYKoshin3	51
CENMundabli2	KBMNgun4	14
CENMundabli2	KCSKung3	17
CENMundabli2	KCYBuu2	46
CENMundabli2	KDCAjumbu10	29
CENMundabli2	KDVFang1	34
CENMundabli2	KEMBuu1	50
CENMundabli2	KFKMashi1	33
CENMundabli2	KHKFang12	44
CENMundabli2	KJSFang2	36
CENMundabli2	KMNAjumbu2	24
CENMundabli2	LFNMundabli1	112
CENMundabli2	MCANgun3	15
CENMundabli2	MEAMumfu3	100
CENMundabli2	MNJBuu4	53
CENMundabli2	MRYKoshin2	34
CENMundabli2	NACAbar2	15
CENMundabli2	NCCMumfu4	102
CENMundabli2	NCMMashi5	29
CENMundabli2	NDNMissong5	20
CENMundabli2	NEAMunken1	15
CENMundabli2	NEMAjumbu9	31
CENMundabli2	NFKBiya7	13
CENMundabli2	NGTMunken3	15
CENMundabli2	NINMundabli4	112
CENMundabli2	NJNBiya6	16
CENMundabli2	NJSKung4	16
CENMundabli2	NMAAbar1	14
CENMundabli2	NMNMundabli3	119
CENMundabli2	NMSMissong4	19
CENMundabli2	NNBBuu3	55
CENMundabli2	NSFBiya5	14
CENMundabli2	NUNMunken4	15
CENMundabli2	NVBAbar7	15
CENMundabli2	NVIAjumbu1	24
CENMundabli2	TELKoshin4	51
CENMundabli2	TNTMunken2	15
CENMundabli2	WCANgun1	13
CENMundabli2	ZKGKung1	14
DNMMumfu2	DPNFang13	38
DNMMumfu2	ECLAbar8	14
DNMMumfu2	ENBBiya1	11
DNMMumfu2	FBCBiya8	13
DNMMumfu2	ICNBiya2	10
DNMMumfu2	JGYKoshin3	41
DNMMumfu2	KBMNgun4	12
DNMMumfu2	KCSKung3	13
DNMMumfu2	KCYBuu2	38
DNMMumfu2	KDCAjumbu10	22
DNMMumfu2	KDVFang1	31
DNMMumfu2	KEMBuu1	43
DNMMumfu2	KFKMashi1	29
DNMMumfu2	KHKFang12	37
DNMMumfu2	KJSFang2	30
DNMMumfu2	KMNAjumbu2	21
DNMMumfu2	LFNMundabli1	92
DNMMumfu2	MCANgun3	13
DNMMumfu2	MEAMumfu3	107
DNMMumfu2	MNJBuu4	44
DNMMumfu2	MRYKoshin2	26
DNMMumfu2	NACAbar2	11
DNMMumfu2	NCCMumfu4	106
DNMMumfu2	NCMMashi5	28
DNMMumfu2	NDNMissong5	19
DNMMumfu2	NEAMunken1	13
DNMMumfu2	NEMAjumbu9	26
DNMMumfu2	NFKBiya7	13
DNMMumfu2	NGTMunken3	12
DNMMumfu2	NINMundabli4	86
DNMMumfu2	NJNBiya6	16
DNMMumfu2	NJSKung4	13
DNMMumfu2	NMAAbar1	10
DNMMumfu2	NMNMundabli3	88
DNMMumfu2	NMSMissong4	23
DNMMumfu2	NNBBuu3	44
DNMMumfu2	NSFBiya5	16
DNMMumfu2	NUNMunken4	13
DNMMumfu2	NVBAbar7	13
DNMMumfu2	NVIAjumbu1	21
DNMMumfu2	TELKoshin4	41
DNMMumfu2	TNTMunken2	12
DNMMumfu2	WCANgun1	13
DNMMumfu2	ZKGKung1	11
DPNFang13	ECLAbar8	23
DPNFang13	ENBBiya1	16
DPNFang13	FBCBiya8	18
DPNFang13	ICNBiya2	16
DPNFang13	JGYKoshin3	59
DPNFang13	KBMNgun4	20
DPNFang13	KCSKung3	26
DPNFang13	KCYBuu2	49
DPNFang13	KDCAjumbu10	47
DPNFang13	KDVFang1	88
DPNFang13	KEMBuu1	49
DPNFang13	KFKMashi1	29
DPNFang13	KHKFang12	126
DPNFang13	KJSFang2	83
DPNFang13	KMNAjumbu2	45
DPNFang13	LFNMundabli1	45
DPNFang13	MCANgun3	22
DPNFang13	MEAMumfu3	40
DPNFang13	MNJBuu4	52
DPNFang13	MRYKoshin2	45
DPNFang13	NACAbar2	18
DPNFang13	NCCMumfu4	39
DPNFang13	NCMMashi5	29
DPNFang13	NDNMissong5	22
DPNFang13	NEAMunken1	22
DPNFang13	NEMAjumbu9	50
DPNFang13	NFKBiya7	19
DPNFang13	NGTMunken3	18
DPNFang13	NINMundabli4	43
DPNFang13	NJNBiya6	18
DPNFang13	NJSKung4	25
DPNFang13	NMAAbar1	18
DPNFang13	NMNMundabli3	45
DPNFang13	NMSMissong4	21
DPNFang13	NNBBuu3	51
DPNFang13	NSFBiya5	17
DPNFang13	NUNMunken4	20
DPNFang13	NVBAbar7	20
DPNFang13	NVIAjumbu1	44
DPNFang13	TELKoshin4	53
DPNFang13	TNTMunken2	17
DPNFang13	WCANgun1	19
DPNFang13	ZKGKung1	22
ECLAbar8	ENBBiya1	79
ECLAbar8	FBCBiya8	93
ECLAbar8	ICNBiya2	70
ECLAbar8	JGYKoshin3	29
ECLAbar8	KBMNgun4	106
ECLAbar8	KCSKung3	33
ECLAbar8	KCYBuu2	42
ECLAbar8	KDCAjumbu10	32
ECLAbar8	KDVFang1	15
ECLAbar8	KEMBuu1	38
ECLAbar8	KFKMashi1	27
ECLAbar8	KHKFang12	22
ECLAbar8	KJSFang2	16
ECLAbar8	KMNAjumbu2	33
ECLAbar8	LFNMundabli1	15
ECLAbar8	MCANgun3	99
ECLAbar8	MEAMumfu3	15
ECLAbar8	MNJBuu4	41
ECLAbar8	MRYKoshin2	21
ECLAbar8	NACAbar2	103
ECLAbar8	NCCMumfu4	14
ECLAbar8	NCMMashi5	29
ECLAbar8	NDNMissong5	94
ECLAbar8	NEAMunken1	93
ECLAbar8	NEMAjumbu9	27
ECLAbar8	NFKBiya7	93
ECLAbar8	NGTMunken3	95
ECLAbar8	NINMundabli4	15
ECLAbar8	NJNBiya6	97
ECLAbar8	NJSKung4	30
ECLAbar8	NMAAbar1	95
ECLAbar8	NMNMundabli3	14
ECLAbar8	NMSMissong4	92
ECLAbar8	NNBBuu3	47
ECLAbar8	NSFBiya5	97
ECLAbar8	NUNMunken4	95
ECLAbar8	NVBAbar7	123
ECLAbar8	NVIAjumbu1	30
ECLAbar8	TELKoshin4	28
ECLAbar8	TNTMunken2	92
ECLAbar8	WCANgun1	101
ECLAbar8	ZKGKung1	23
ENBBiya1	FBCBiya8	98
ENBBiya1	ICNBiya2	84
ENBBiya1	JGYKoshin3	17
ENBBiya1	KBMNgun4	85
ENBBiya1	KCSKung3	27
ENBBiya1	KCYBuu2	33
ENBBiya1	KDCAjumbu10	28
ENBBiya1	KDVFang1	14
ENBBiya1	KEMBuu1	32
ENBBiya1	KFKMashi1	23
ENBBiya1	KHKFang12	15
ENBBiya1	KJSFang2	14
ENBBiya1	KMNAjumbu2	31
ENBBiya1	LFNMundabli1	13
ENBBiya1	MCANgun3	79
ENBBiya1	MEAMumfu3	12
ENBBiya1	MNJBuu4	36
ENBBiya1	MRYKoshin2	14
ENBBiya1	NACAbar2	73
ENBBiya1	NCCMumfu4	13
ENBBiya1	NCMMashi5	24
ENBBiya1	NDNMissong5	70
ENBBiya1	NEAMunken1	79
ENBBiya1	NEMAjumbu9	28
ENBBiya1	NFKBiya7	91
ENBBiya1	NGTMunken3	82
ENBBiya1	NINMundabli4	16
ENBBiya1	NJNBiya6	95
ENBBiya1	NJSKung4	24
ENBBiya1	NMAAbar1	68
ENBBiya1	NMNMundabli3	15
ENBBiya1	NMSMissong4	64
ENBBiya1	NNBBuu3	35
ENBBiya1	NSFBiya5	85
ENBBiya1	NUNMunken4	81
ENBBiya1	NVBAbar7	78
ENBBiya1	NVIAjumbu1	31
ENBBiya1	TELKoshin4	19
ENBBiya1	TNTMunken2	78
ENBBiya1	WCANgun1	81
ENBBiya1	ZKGKung1	19
FBCBiya8	ICNBiya2	79
FBCBiya8	JGYKoshin3	20
FBCBiya8	KBMNgun4	103
FBCBiya8	KCSKung3	30
FBCBiya8	KCYBuu2	39
FBCBiya8	KDCAjumbu10	29
FBCBiya8	KDVFang1	15
FBCBiya8	KEMBuu1	35
FBCBiya8	KFKMashi1	27
FBCBiya8	KHKFang12	17
FBCBiya8	KJSFang2	14
FBCBiya8	KMNAjumbu2	29
FBCBiya8	LFNMundabli1	16
FBCBiya8	MCANgun3	97
FBCBiya8	MEAMumfu3	13
FBCBiya8	MNJBuu4	40
FBCBiya8	MRYKoshin2	16
FBCBiya8	NACAbar2	80
FBCBiya8	NCCMumfu4	14
FBCBiya8	NCMMashi5	28
FBCBiya8	NDNMissong5	82
FBCBiya8	NEAMunken1	87
FBCBiya8	NEMAjumbu9	28
FBCBiya8	NFKBiya7	119
FBCBiya8	NGTMunken3	94
FBCBiya8	NINMundabli4	17
FBCBiya8	NJNBiya6	119
FBCBiya8	NJSKung4	27
FBCBiya8	NMAAbar1	76
FBCBiya8	NMNMundabli3	17
FBCBiya8	NMSMissong4	77
FBCBiya8	NNBBuu3	40
FBCBiya8	NSFBiya5	106
FBCBiya8	NUNMunken4	93
FBCBiya8	NVBAbar7	94
FBCBiya8	NVIAjumbu1	29
FBCBiya8	TELKoshin4	22
FBCBiya8	TNTMunken2	91
FBCBiya8	WCANgun1	101
FBCBiya8	ZKGKung1	21
ICNBiya2	JGYKoshin3	23
ICNBiya2	KBMNgun4	72
ICNBiya2	KCSKung3	22
ICNBiya2	KCYBuu2	32
ICNBiya2	KDCAjumbu10	28
ICNBiya2	KDVFang1	12
ICNBiya2	KEMBuu1	28
ICNBiya2	KFKMashi1	22
ICNBiya2	KHKFang12	16
ICNBiya2	KJSFang2	14
ICNBiya2	KMNAjumbu2	30
ICNBiya2	LFNMundabli1	14
ICNBiya2	MCANgun3	67
ICNBiya2	MEAMumfu3	13
ICNBiya2	MNJBuu4	32
ICNBiya2	MRYKoshin2	18
ICNBiya2	NACAbar2	65
ICNBiya2	NCCMumfu4	12
ICNBiya2	NCMMashi5	21
ICNBiya2	NDNMissong5	58
ICNBiya2	NEAMunken1	72
ICNBiya2	NEMAjumbu9	25
ICNBiya2	NFKBiya7	75
ICNBiya2	NGTMunken3	69
ICNBiya2	NINMundabli4	15
ICNBiya2	NJNBiya6	81
ICNBiya2	NJSKung4	18
ICNBiya2	NMAAbar1	60
ICNBiya2	NMNMundabli3	15
ICNBiya2	NMSMissong4	55
ICNBiya2	NNBBuu3	31
ICNBiya2	NSFBiya5	74
ICNBiya2	NUNMunken4	71
ICNBiya2	NVBAbar7	64
ICNBiya2	NVIAjumbu1	25
ICNBiya2	TELKoshin4	23
ICNBiya2	TNTMunken2	65
ICNBiya2	WCANgun1	69
ICNBiya2	ZKGKung1	16
JGYKoshin3	KBMNgun4	23
JGYKoshin3	KCSKung3	33
JGYKoshin3	KCYBuu2	52
JGYKoshin3	KDCAjumbu10	40
JGYKoshin3	KDVFang1	45
JGYKoshin3	KEMBuu1	56
JGYKoshin3	KFKMashi1	45
JGYKoshin3	KHKFang12	55
JGYKoshin3	KJSFang2	45
JGYKoshin3	KMNAjumbu2	37
JGYKoshin3	LFNMundabli1	48
JGYKoshin3	MCANgun3	23
JGYKoshin3	MEAMumfu3	46
JGYKoshin3	MNJBuu4	60
JGYKoshin3	MRYKoshin2	81
JGYKoshin3	NACAbar2	24
JGYKoshin3	NCCMumfu4	42
JGYKoshin3	NCMMashi5	47
JGYKoshin3	NDNMissong5	27
JGYKoshin3	NEAMunken1	25
JGYKoshin3	NEMAjumbu9	43
JGYKoshin3	NFKBiya7	22
JGYKoshin3	NGTMunken3	23
JGYKoshin3	NINMundabli4	45
JGYKoshin3	NJNBiya6	23
JGYKoshin3	NJSKung4	32
JGYKoshin3	NMAAbar1	23
JGYKoshin3	NMNMundabli3	47
JGYKoshin3	NMSMissong4	28
JGYKoshin3	NNBBuu3	62
JGYKoshin3	NSFBiya5	19
JGYKoshin3	NUNMunken4	21
JGYKoshin3	NVBAbar7	27
JGYKoshin3	NVIAjumbu1	28
JGYKoshin3	TELKoshin4	119
JGYKoshin3	TNTMunken2	24
JGYKoshin3	WCANgun1	24
JGYKoshin3	ZKGKung1	26
KBMNgun4	KCSKung3	30
KBMNgun4	KCYBuu2	39
KBMNgun4	KDCAjumbu10	30
KBMNgun4	KDVFang1	13
KBMNgun4	KEMBuu1	35
KBMNgun4	KFKMashi1	24
KBMNgun4	KHKFang12	19
KBMNgun4	KJSFang2	15
KBMNgun4	KMNAjumbu2	30
KBMNgun4	LFNMundabli1	15
KBMNgun4	MCANgun3	111
KBMNgun4	MEAMumfu3	14
KBMNgun4	MNJBuu4	36
KBMNgun4	MRYKoshin2	16
KBMNgun4	NACAbar2	88
KBMNgun4	NCCMumfu4	15
KBMNgun4	NCMMashi5	25
KBMNgun4	NDNMissong5	88
KBMNgun4	NEAMunken1	86
KBMNgun4	NEMAjumbu9	25
KBMNgun4	NFKBiya7	99
KBMNgun4	NGTMunken3	93
KBMNgun4	NINMundabli4	16
KBMNgun4	NJNBiya6	109
KBMNgun4	NJSKung4	26
KBMNgun4	NMAAbar1	85
KBMNgun4	NMNMundabli3	14
KBMNgun4	NMSMissong4	81
KBMNgun4	NNBBuu3	39
KBMNgun4	NSFBiya5	104
KBMNgun4	NUNMunken4	92
KBMNgun4	NVBAbar7	103
KBMNgun4	NVIAjumbu1	28
KBMNgun4	TELKoshin4	21
KBMNgun4	TNTMunken2	92
KBMNgun4	WCANgun1	112
KBMNgun4	ZKGKung1	22
KCSKung3	KCYBuu2	28
KCSKung3	KDCAjumbu10	36
KCSKung3	KDVFang1	18
KCSKung3	KEMBuu1	26
KCSKung3	KFKMashi1	26
KCSKung3	KHKFang12	23
KCSKung3	KJSFang2	18
KCSKung3	KMNAjumbu2	33
KCSKung3	LFNMundabli1	17
KCSKung3	MCANgun3	30
KCSKung3	MEAMumfu3	14
KCSKung3	MNJBuu4	29
KCSKung3	MRYKoshin2	24
KCSKung3	NACAbar2	24
KCSKung3	NCCMumfu4	15
KCSKung3	NCMMashi5	30
KCSKung3	NDNMissong5	30
KCSKung3	NEAMunken1	31
KCSKung3	NEMAjumbu9	35
KCSKung3	NFKBiya7	29
KCSKung3	NGTMunken3	29
KCSKung3	NINMundabli4	18
KCSKung3	NJNBiya6	31
KCSKung3	NJSKung4	122
KCSKung3	NMAAbar1	25
KCSKung3	NMNMundabli3	15
KCSKung3	NMSMissong4	30
KCSKung3	NNBBuu3	31
KCSKung3	NSFBiya5	27
KCSKung3	NUNMunken4	28
KCSKung3	NVBAbar7	30
KCSKung3	NVIAjumbu1	31
KCSKung3	TELKoshin4	30
KCSKung3	TNTMunken2	29
KCSKung3	WCANgun1	28
KCSKung3	ZKGKung1	82
KCYBuu2	KDCAjumbu10	44
KCYBuu2	KDVFang1	41
KCYBuu2	KEMBuu1	109
KCYBuu2	KFKMashi1	44
KCYBuu2	KHKFang12	50
KCYBuu2	KJSFang2	38
KCYBuu2	KMNAjumbu2	45
KCYBuu2	LFNMundabli1	45
KCYBuu2	MCANgun3	40
KCYBuu2	MEAMumfu3	41
KCYBuu2	MNJBuu4	103
KCYBuu2	MRYKoshin2	43
KCYBuu2	NACAbar2	38
KCYBuu2	NCCMumfu4	41
KCYBuu2	NCMMashi5	41
KCYBuu2	NDNMissong5	39
KCYBuu2	NEAMunken1	47
KCYBuu2	NEMAjumbu9	47
KCYBuu2	NFKBiya7	36
KCYBuu2	NGTMunken3	35
KCYBuu2	NINMundabli4	46
KCYBuu2	NJNBiya6	39
KCYBuu2	NJSKung4	27
KCYBuu2	NMAAbar1	38
