	axe_55	bird_217	breast_354	child_599	ear_1008	grave_1542	heart_1684	mother_2027	tongue_3585
axe_55	0.0	0.6226415094339622	0.8979591836734694	0.8979591836734694	0.6037735849056604	0.8367346938775511	0.6923076923076923	0.6981132075471698	0.9183673469387755
bird_217	0.6226415094339622	0.0	0.7115384615384616	0.6792452830188679	0.8	0.6226415094339622	0.5849056603773585	0.72	0.6981132075471698
breast_354	0.8979591836734694	0.7115384615384616	0.0	0.8113207547169812	0.6923076923076923	0.8979591836734694	0.75	0.7547169811320755	0.9795918367346939
child_599	0.8979591836734694	0.6792452830188679	0.8113207547169812	0.0	0.660377358490566	0.7547169811320755	0.7169811320754716	0.7547169811320755	0.8301886792452831
ear_1008	0.6037735849056604	0.8	0.6923076923076923	0.660377358490566	0.0	0.6346153846153846	0.6274509803921569	0.8085106382978723	0.6792452830188679
grave_1542	0.8367346938775511	0.6226415094339622	0.8979591836734694	0.7547169811320755	0.6346153846153846	0.0	0.8333333333333334	0.7647058823529411	0.9183673469387755
heart_1684	0.6923076923076923	0.5849056603773585	0.75	0.7169811320754716	0.6274509803921569	0.8333333333333334	0.0	0.76	0.7692307692307693
mother_2027	0.6981132075471698	0.72	0.7547169811320755	0.7547169811320755	0.8085106382978723	0.7647058823529411	0.76	0.0	0.7735849056603774
tongue_3585	0.9183673469387755	0.6981132075471698	0.9795918367346939	0.8301886792452831	0.6792452830188679	0.9183673469387755	0.7692307692307693	0.7735849056603774	0.0
