Doculect1	Doculect2	SharedCognateCount
APBMumfu1	MCANgun3	22
APBMumfu1	MEAMumfu3	119
APBMumfu1	MNJBuu4	56
APBMumfu1	MRYKoshin2	34
APBMumfu1	NACAbar2	23
APBMumfu1	NCCMumfu4	118
APBMumfu1	NCMMashi5	42
APBMumfu1	NDNMissong5	36
APBMumfu1	NEAMunken1	26
APBMumfu1	NEMAjumbu9	34
APBMumfu1	NFKBiya7	26
APBMumfu1	NGTMunken3	24
APBMumfu1	NINMundabli4	111
APBMumfu1	NJNBiya6	27
APBMumfu1	NJSKung4	19
APBMumfu1	NMAAbar1	23
APBMumfu1	NMNMundabli3	111
APBMumfu1	NMSMissong4	35
APBMumfu1	NNBBuu3	58
APBMumfu1	NSFBiya5	26
APBMumfu1	NUNMunken4	26
APBMumfu1	NVBAbar7	26
APBMumfu1	NVIAjumbu1	28
APBMumfu1	TELKoshin4	55
APBMumfu1	TNTMunken2	25
APBMumfu1	WCANgun1	25
APBMumfu1	ZKGKung1	12
BAAMashi4	BKBMashi2	120
BAAMashi4	BNMKung2	13
BAAMashi4	CENMundabli2	44
BAAMashi4	DNMMumfu2	38
BAAMashi4	DPNFang13	32
BAAMashi4	ECLAbar8	25
BAAMashi4	ENBBiya1	19
BAAMashi4	FBCBiya8	20
BAAMashi4	ICNBiya2	19
BAAMashi4	JGYKoshin3	41
BAAMashi4	KBMNgun4	21
BAAMashi4	KCSKung3	14
BAAMashi4	KCYBuu2	34
BAAMashi4	KDCAjumbu10	24
BAAMashi4	KDVFang1	24
BAAMashi4	KEMBuu1	37
BAAMashi4	KFKMashi1	120
BAAMashi4	KHKFang12	31
BAAMashi4	KJSFang2	21
BAAMashi4	KMNAjumbu2	21
BAAMashi4	LFNMundabli1	46
BAAMashi4	MCANgun3	17
BAAMashi4	MEAMumfu3	36
BAAMashi4	MNJBuu4	36
BAAMashi4	MRYKoshin2	32
BAAMashi4	NACAbar2	20
BAAMashi4	NCCMumfu4	41
BAAMashi4	NCMMashi5	123
BAAMashi4	NDNMissong5	27
BAAMashi4	NEAMunken1	21
BAAMashi4	NEMAjumbu9	23
BAAMashi4	NFKBiya7	21
BAAMashi4	NGTMunken3	21
BAAMashi4	NINMundabli4	45
BAAMashi4	NJNBiya6	21
BAAMashi4	NJSKung4	15
BAAMashi4	NMAAbar1	21
BAAMashi4	NMNMundabli3	44
BAAMashi4	NMSMissong4	28
BAAMashi4	NNBBuu3	35
BAAMashi4	NSFBiya5	23
BAAMashi4	NUNMunken4	20
BAAMashi4	NVBAbar7	21
BAAMashi4	NVIAjumbu1	20
BAAMashi4	TELKoshin4	40
BAAMashi4	TNTMunken2	21
BAAMashi4	WCANgun1	21
BAAMashi4	ZKGKung1	8
BKBMashi2	BNMKung2	13
BKBMashi2	CENMundabli2	42
BKBMashi2	DNMMumfu2	38
BKBMashi2	DPNFang13	32
BKBMashi2	ECLAbar8	24
BKBMashi2	ENBBiya1	20
BKBMashi2	FBCBiya8	21
BKBMashi2	ICNBiya2	20
BKBMashi2	JGYKoshin3	40
BKBMashi2	KBMNgun4	20
BKBMashi2	KCSKung3	13
BKBMashi2	KCYBuu2	32
BKBMashi2	KDCAjumbu10	24
BKBMashi2	KDVFang1	25
BKBMashi2	KEMBuu1	34
BKBMashi2	KFKMashi1	130
BKBMashi2	KHKFang12	30
BKBMashi2	KJSFang2	21
BKBMashi2	KMNAjumbu2	21
BKBMashi2	LFNMundabli1	43
BKBMashi2	MCANgun3	17
BKBMashi2	MEAMumfu3	37
BKBMashi2	MNJBuu4	34
BKBMashi2	MRYKoshin2	31
BKBMashi2	NACAbar2	20
BKBMashi2	NCCMumfu4	41
BKBMashi2	NCMMashi5	123
BKBMashi2	NDNMissong5	27
BKBMashi2	NEAMunken1	21
BKBMashi2	NEMAjumbu9	24
BKBMashi2	NFKBiya7	22
BKBMashi2	NGTMunken3	20
