Doculect1	Doculect2	weight	color
AOMNgun2	NGTMunken3	.01	grey90
AOMNgun2	NINMundabli4	.01	grey90
AOMNgun2	NJNBiya6	.01	grey90
AOMNgun2	NJSKung4	.01	grey90
AOMNgun2	NMAAbar1	.01	grey90
AOMNgun2	NMNMundabli3	.01	grey90
AOMNgun2	NMSMissong4	.01	grey90
AOMNgun2	NNBBuu3	.01	grey90
AOMNgun2	NSFBiya5	.01	grey90
AOMNgun2	NUNMunken4	.01	grey90
AOMNgun2	NVBAbar7	.01	grey90
AOMNgun2	NVIAjumbu1	.01	grey90
AOMNgun2	TELKoshin4	.01	grey90
AOMNgun2	TNTMunken2	.01	grey90
AOMNgun2	WCANgun1	.01	grey90
AOMNgun2	ZKGKung1	.01	grey90
APBMumfu1	BAAMashi4	.01	grey90
APBMumfu1	BKBMashi2	.01	grey90
APBMumfu1	BNMKung2	.01	grey90
APBMumfu1	CENMundabli2	33.333333333333336	grey30
APBMumfu1	DNMMumfu2	33.333333333333336	grey30
APBMumfu1	DPNFang13	.01	grey90
APBMumfu1	ECLAbar8	13	fffff
APBMumfu1	ENBBiya1	.01	grey90
APBMumfu1	FBCBiya8	.01	grey90
APBMumfu1	ICNBiya2	.01	grey90
APBMumfu1	JGYKoshin3	.01	grey90
APBMumfu1	KBMNgun4	.01	grey90
APBMumfu1	KCSKung3	.01	grey90
APBMumfu1	KCYBuu2	43	red
APBMumfu1	KDCAjumbu10	.01	grey90
APBMumfu1	KDVFang1	.01	grey90
APBMumfu1	KEMBuu1	44	red
APBMumfu1	KFKMashi1	.01	grey90
APBMumfu1	KHKFang12	.01	grey90
APBMumfu1	KJSFang2	.01	grey90
APBMumfu1	KMNAjumbu2	.01	grey90
APBMumfu1	LFNMundabli1	34.333333333333336	grey30
APBMumfu1	MCANgun3	.01	grey90
APBMumfu1	MEAMumfu3	35.0	grey30
APBMumfu1	MNJBuu4	47	red
APBMumfu1	MRYKoshin2	.01	grey90
APBMumfu1	NACAbar2	13	fffff
APBMumfu1	NCCMumfu4	36.333333333333336	grey30
APBMumfu1	NCMMashi5	.01	grey90
APBMumfu1	NDNMissong5	.01	grey90
APBMumfu1	NEAMunken1	.01	grey90
APBMumfu1	NEMAjumbu9	.01	grey90
APBMumfu1	NFKBiya7	.01	grey90
APBMumfu1	NGTMunken3	.01	grey90
APBMumfu1	NINMundabli4	33.0	grey30
APBMumfu1	NJNBiya6	.01	grey90
APBMumfu1	NJSKung4	.01	grey90
APBMumfu1	NMAAbar1	12	fffff
APBMumfu1	NMNMundabli3	33.666666666666664	grey30
APBMumfu1	NMSMissong4	.01	grey90
APBMumfu1	NNBBuu3	46	red
APBMumfu1	NSFBiya5	.01	grey90
APBMumfu1	NUNMunken4	.01	grey90
APBMumfu1	NVBAbar7	13	fffff
APBMumfu1	NVIAjumbu1	.01	grey90
APBMumfu1	TELKoshin4	.01	grey90
APBMumfu1	TNTMunken2	.01	grey90
APBMumfu1	WCANgun1	.01	grey90
APBMumfu1	ZKGKung1	.01	grey90
BAAMashi4	BKBMashi2	.01	grey90
BAAMashi4	BNMKung2	.01	grey90
BAAMashi4	CENMundabli2	.01	grey90
BAAMashi4	DNMMumfu2	.01	grey90
BAAMashi4	DPNFang13	.01	grey90
BAAMashi4	ECLAbar8	.01	grey90
BAAMashi4	ENBBiya1	.01	grey90
BAAMashi4	FBCBiya8	.01	grey90
BAAMashi4	ICNBiya2	.01	grey90
BAAMashi4	JGYKoshin3	.01	grey90
BAAMashi4	KBMNgun4	.01	grey90
BAAMashi4	KCSKung3	.01	grey90
BAAMashi4	KCYBuu2	.01	grey90
BAAMashi4	KDCAjumbu10	.01	grey90
BAAMashi4	KDVFang1	.01	grey90
BAAMashi4	KEMBuu1	.01	grey90
BAAMashi4	KFKMashi1	.01	grey90
BAAMashi4	KHKFang12	.01	grey90
BAAMashi4	KJSFang2	.01	grey90
BAAMashi4	KMNAjumbu2	.01	grey90
BAAMashi4	LFNMundabli1	.01	grey90
BAAMashi4	MCANgun3	.01	grey90
BAAMashi4	MEAMumfu3	.01	grey90
BAAMashi4	MNJBuu4	.01	grey90
BAAMashi4	MRYKoshin2	.01	grey90
BAAMashi4	NACAbar2	.01	grey90
BAAMashi4	NCCMumfu4	.01	grey90
BAAMashi4	NCMMashi5	.01	grey90
BAAMashi4	NDNMissong5	.01	grey90
BAAMashi4	NEAMunken1	.01	grey90
BAAMashi4	NEMAjumbu9	.01	grey90
BAAMashi4	NFKBiya7	.01	grey90
BAAMashi4	NGTMunken3	.01	grey90
BAAMashi4	NINMundabli4	.01	grey90
BAAMashi4	NJNBiya6	.01	grey90
BAAMashi4	NJSKung4	.01	grey90
BAAMashi4	NMAAbar1	.01	grey90
BAAMashi4	NMNMundabli3	.01	grey90
BAAMashi4	NMSMissong4	.01	grey90
BAAMashi4	NNBBuu3	.01	grey90
BAAMashi4	NSFBiya5	.01	grey90
BAAMashi4	NUNMunken4	.01	grey90
BAAMashi4	NVBAbar7	.01	grey90
BAAMashi4	NVIAjumbu1	.01	grey90
BAAMashi4	TELKoshin4	.01	grey90
BAAMashi4	TNTMunken2	.01	grey90
BAAMashi4	WCANgun1	.01	grey90
BAAMashi4	ZKGKung1	.01	grey90
BKBMashi2	BNMKung2	.01	grey90
BKBMashi2	CENMundabli2	.01	grey90
BKBMashi2	DNMMumfu2	.01	grey90
BKBMashi2	DPNFang13	.01	grey90
BKBMashi2	ECLAbar8	.01	grey90
BKBMashi2	ENBBiya1	.01	grey90
BKBMashi2	FBCBiya8	.01	grey90
BKBMashi2	ICNBiya2	.01	grey90
BKBMashi2	JGYKoshin3	.01	grey90
BKBMashi2	KBMNgun4	.01	grey90
BKBMashi2	KCSKung3	.01	grey90
BKBMashi2	KCYBuu2	.01	grey90
BKBMashi2	KDCAjumbu10	.01	grey90
BKBMashi2	KDVFang1	.01	grey90
BKBMashi2	KEMBuu1	.01	grey90
BKBMashi2	KFKMashi1	.01	grey90
BKBMashi2	KHKFang12	.01	grey90
BKBMashi2	KJSFang2	.01	grey90
BKBMashi2	KMNAjumbu2	.01	grey90
BKBMashi2	LFNMundabli1	.01	grey90
BKBMashi2	MCANgun3	.01	grey90
BKBMashi2	MEAMumfu3	.01	grey90
BKBMashi2	MNJBuu4	.01	grey90
BKBMashi2	MRYKoshin2	.01	grey90
BKBMashi2	NACAbar2	.01	grey90
BKBMashi2	NCCMumfu4	.01	grey90
BKBMashi2	NCMMashi5	.01	grey90
BKBMashi2	NDNMissong5	.01	grey90
BKBMashi2	NEAMunken1	.01	grey90
BKBMashi2	NEMAjumbu9	.01	grey90
BKBMashi2	NFKBiya7	.01	grey90
BKBMashi2	NGTMunken3	.01	grey90
BKBMashi2	NINMundabli4	.01	grey90
BKBMashi2	NJNBiya6	.01	grey90
BKBMashi2	NJSKung4	.01	grey90
BKBMashi2	NMAAbar1	.01	grey90
BKBMashi2	NMNMundabli3	.01	grey90
BKBMashi2	NMSMissong4	.01	grey90
BKBMashi2	NNBBuu3	.01	grey90
BKBMashi2	NSFBiya5	.01	grey90
BKBMashi2	NUNMunken4	.01	grey90
BKBMashi2	NVBAbar7	.01	grey90
BKBMashi2	NVIAjumbu1	.01	grey90
BKBMashi2	TELKoshin4	.01	grey90
BKBMashi2	TNTMunken2	.01	grey90
BKBMashi2	WCANgun1	.01	grey90
BKBMashi2	ZKGKung1	.01	grey90
BNMKung2	CENMundabli2	.01	grey90
BNMKung2	DNMMumfu2	.01	grey90
BNMKung2	DPNFang13	.01	grey90
BNMKung2	ECLAbar8	.01	grey90
BNMKung2	ENBBiya1	.01	grey90
BNMKung2	FBCBiya8	.01	grey90
BNMKung2	ICNBiya2	.01	grey90
BNMKung2	JGYKoshin3	.01	grey90
BNMKung2	KBMNgun4	.01	grey90
BNMKung2	KCSKung3	.01	grey90
BNMKung2	KCYBuu2	.01	grey90
BNMKung2	KDCAjumbu10	.01	grey90
BNMKung2	KDVFang1	.01	grey90
BNMKung2	KEMBuu1	.01	grey90
BNMKung2	KFKMashi1	.01	grey90
BNMKung2	KHKFang12	.01	grey90
BNMKung2	KJSFang2	.01	grey90
BNMKung2	KMNAjumbu2	.01	grey90
BNMKung2	LFNMundabli1	.01	grey90
BNMKung2	MCANgun3	.01	grey90
BNMKung2	MEAMumfu3	.01	grey90
BNMKung2	MNJBuu4	.01	grey90
BNMKung2	MRYKoshin2	.01	grey90
BNMKung2	NACAbar2	.01	grey90
BNMKung2	NCCMumfu4	.01	grey90
BNMKung2	NCMMashi5	.01	grey90
BNMKung2	NDNMissong5	.01	grey90
BNMKung2	NEAMunken1	.01	grey90
BNMKung2	NEMAjumbu9	.01	grey90
BNMKung2	NFKBiya7	.01	grey90
BNMKung2	NGTMunken3	.01	grey90
BNMKung2	NINMundabli4	.01	grey90
BNMKung2	NJNBiya6	.01	grey90
BNMKung2	NJSKung4	.01	grey90
BNMKung2	NMAAbar1	.01	grey90
BNMKung2	NMNMundabli3	.01	grey90
BNMKung2	NMSMissong4	.01	grey90
BNMKung2	NNBBuu3	.01	grey90
BNMKung2	NSFBiya5	.01	grey90
BNMKung2	NUNMunken4	.01	grey90
BNMKung2	NVBAbar7	.01	grey90
BNMKung2	NVIAjumbu1	.01	grey90
