NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
157	seventy (70)	N/A	1721	SEVENTY	2
158	sheep	N/A	1331	SHEEP	2
159	sieve	N/A	86	SIEVE	2
160	six (6)	N/A	1703	SIX	2
161	sixteen (16)	N/A	2454	SIXTEEN	2
162	sixty (60)	N/A	1718	SIXTY	2
163	sky	N/A	1732	SKY	2
164	sleep	N/A	1585	SLEEP	2
165	smoke	N/A	778	SMOKE (EXHAUST)	2
166	snake	N/A	730	SNAKE	2
167	soap	N/A	788	SOAP	2
168	soldier ant	N/A		587	ANT	
169	song	N/A	1096	SONG	2
170	spider	N/A	843	SPIDER	2
171	star	N/A	1430	STAR	2
172	stomach	N/A	819	STOMACH	2
173	stone	N/A	857	STONE	2
174	storm (wind)	N/A	858	STORM	4
175	story	N/A	2060	STORY	2
176	sun	N/A	1343	SUN	2
177	take	N/A	1749	TAKE	2
178	ten (10)	N/A	1515	TEN	2
179	termite	N/A	883	TERMITE	2
180	they	N/A	817	THEY	2
181	thirteen (13)	N/A	1708	THIRTEEN	2
182	thirty (30)	N/A	1715	THIRTY	2
183	three (3)	N/A	492	THREE	2
184	tie (bag)	N/A	1094	FASTEN	4
185	toad (rough back)	N/A	894	TOAD	4
186	tobacco	N/A	974	TOBACCO	2
187	toilet	N/A	219	TOILET	2
188	tongue	N/A	1205	TONGUE	2
189	tooth	N/A	1380	TOOTH	2
190	trap	N/A	3320	SNARE (TRAP)	2
191	tree	N/A	906	TREE	2
192	twelve (12)	N/A	1707	TWELVE	2
193	twenty (20)	N/A	1710	TWENTY	2
194	twenty four (24)	N/A	1736	TWENTY FOUR	4
195	twenty one (21)	N/A	1734	TWENTY ONE	4
196	twenty three (23)	N/A	3165	TWENTY THREE	4
197	twenty two (22)	N/A	3166	TWENTY TWO	4
198	two (2)	N/A	1498	TWO	2
199	two hundred (200)	N/A	2676	TWO HUNDRED	2
200	two thousand (2000)	N/A	3524	TWO THOUSAND	4
201	umbrella	N/A	3105	UMBRELLA	2
202	walk	N/A	1443	WALK	2
203	war	N/A	935	WAR	2
204	water	N/A	948	WATER	2
205	wax (incense)	N/A	1931	BEESWAX	4
206	we (inc)	N/A	1131	WE (INCLUSIVE)	4
207	wear	N/A	976	WEAR	2
208	week	N/A	1469	WEEK	2
209	wingless termite	N/A		883	TERMITE	
210	work (n)	N/A	984	WORK (LABOUR)	2
211	xylophone	N/A			
212	yam	N/A	410	YAM	2
213	year	N/A	1226	YEAR	2
214	you (pl)	N/A	1213	YOU	2
215	you (sg)	N/A	1215	THOU	2
216	zinc	N/A			
