ID	Concept	Doculect	Value	Tokens
90	father	NUNMunken4	tâ / bə̀tǎː	t a.⁵¹/a
91	father	NEAMunken1	tǎː ~tâː~ta᷇ː / bə̀ta᷇ː	t aː.¹⁵/aː
92	father	TNTMunken2	tāː ~ tá / bə̀kyə̀lə́  ~ bə̀ta᷇ː	t aː.³/aː
93	father	MCANgun3	pǎː~bʊ̀bá / bə̀bʊ̀bá~bètʲé	p aː.¹⁵/aː
94	father	KBMNgun4	bə̀bá / bə̀bə̀bá	b ə.¹/ə b a.⁵/a
95	father	WCANgun1	ba᷇ː~ tyē / bə̀ba᷇ː  ~ bə̀tyé	b aː.⁵³/aː
96	father	AOMNgun2	bâː ~bʊ̀bá / bɛ̀bʊ̀bá	b aː.⁵¹/aː
97	father	APBMumfu1	tǎ / bə̀tyə̌ ~ tā / bə̀tāː	t a.¹⁵/a
98	father	DNMMumfu2	tā / bə̀tāːbə́	t a.³/a
99	father	BKBMashi2	bə̀bə́ / bʊ̀bə̀bə́	b ə.¹/ə b ə.⁵/ə
100	father	KFKMashi1	tʃyě / bʊ̀tʃyě	tʃ j e.¹⁵/e
101	father	ABSMissong1	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ.¹⁵/ɛ
102	father	AGAMissong2	tʃyɛ̌ / bàtʃyɛ̌	tʃ j ɛ.¹⁵/ɛ
103	mother	NVBAbar7	nâ~ɲí / àɲí~ɪ̀ɲí~ànɪ́jàbʷɪ̂~ɪ́-níbî	n a.⁵¹/a
104	mother	ECLAbar8	nɪ́jā / àné~bʷɪ̀nɪ́jā	n ɪ.⁵/ɪ j a.³/a
105	mother	NMAAbar1	néà / bə̀néà	n e.⁵/e a.¹/a
106	mother	NACAbar2	nɪ́yā / bə̀nɪ́yā	n ɪ.⁵/ɪ j a.³/a
107	mother	NEMAjumbu9	ɲʲə́~màmɪ́~nânə́ / bə̀ɲʲə́~bə̀màmɪ́~bə̀nânə́	ɲʲ ə.⁵/ə
108	mother	NVIAjumbu1	má / nânə́ ~	m a.⁵/a
109	mother	KMNAjumbu2	mà / màs	m a.¹/a
110	mother	KDCAjumbu10	nânə́ / bə̀nânə́~ánâ	n a.⁵¹/a n ə.⁵/ə
111	mother	ENBBiya1	nɪ́ā / bə̀nɪ́ā	n ɪ.⁵/ɪ a.³/a
112	mother	ICNBiya2	ʊ̀ⁿdìnə́~nî / bə̀ⁿdínə́	ʊ.¹/ʊ ⁿd i.¹/i n ə.⁵/ə
113	mother	NNBBuu3	nâ / bə̀nâ	n a.⁵¹/a
114	mother	MNJBuu4	nɪ́ː / bə̀nɪ́	n ɪː.⁵/ɪː
115	mother	KEMBuu1	nâː / ɲí	n aː.⁵¹/aː
116	mother	KCYBuu2	nâ / bə̀nâ	n a.⁵¹/a
117	mother	KHKFang12	nɛ́ / bə̀nɛ́	n ɛ.⁵/ɛ
118	mother	DPNFang13	nɛ̂ / bə̀nɛ̂	n ɛ.⁵¹/ɛ
119	mother	JGYKoshin3	nə̂ / bə̀nə̂	n ə.⁵¹/ə
120	mother	TELKoshin4	ɲʲə́ / bə̀ɲʲə́	ɲʲ ə.⁵/ə
121	mother	MRYKoshin2	ɲʲə̄ / ø	ɲʲ ə.³/ə
122	mother	KCSKung3	nêɲ ~ wùzə́ŋ / ɣɛ̀nêɲ	n e.⁵¹/e ɲ
123	mother	NJSKung4	nêʲ / nêʲɣê~ɣèʲbɛ̂ʲ	n e.⁵¹/e j
124	mother	ZKGKung1	nɪ̂ / ɣénɪ̂	n ɪ.⁵¹/ɪ
125	mother	BNMKung2	nè~nɪ̀ / sə́nè	n e.¹/e
126	mother	NMNMundabli3	nɪ́ / bɑ̀ɦ ~ bònɪ́	n ɪ.⁵/ɪ
127	mother	CENMundabli2	nɪ́ / nɪ́ː	n ɪ.⁵/ɪ
128	mother	LFNMundabli1	nɪ́ / nɪ́bō	n ɪ.⁵/ɪ
129	mother	NINMundabli4	nɛ́ / bə̀nɛ́bó	n ɛ.⁵/ɛ
130	mother	NGTMunken3	ɲí / bə̀ɲí	ɲ i.⁵/i
131	mother	NUNMunken4	nâ / bə̀nàâ	n a.⁵¹/a
132	mother	NEAMunken1	nǎː~na᷇ː / bə̀na᷇ː	n aː.¹⁵/aː
133	mother	TNTMunken2	nà ~ nǎ / bèɲí ~bə̀na᷇	n a.¹/a
134	mother	MCANgun3	níjā / bɛ̀nɪ́jā	n i.⁵/i j a.³/a
135	mother	KBMNgun4	níjā / bɛ̀nɪ́jā	n i.⁵/i j a.³/a
136	mother	WCANgun1	ɲɪ́sə̀~ na᷇ː / bəɲísə́ ~ bə̀na᷇ː	ɲ ɪ.⁵/ɪ s ə.¹/ə
137	mother	AOMNgun2	nɪ́ ~nɪ́yā / bɛ́nɪ́yā	n ɪ.⁵/ɪ
138	mother	APBMumfu1	n̄nāː / bə̀níbə́ ~ nāː / bə̀nāː	n.³/n n aː.³/aː
139	mother	DNMMumfu2	màmí / bə̄nâː	m a.³/a m i.⁵/i
140	mother	BKBMashi2	nî / bʊ̀nî	n i.⁵¹/i
141	mother	KFKMashi1	nî / bʊ̀nî	n i.⁵¹/i
142	mother	ABSMissong1	ɲí / bàɲí	ɲ i.⁵/i
143	mother	AGAMissong2	ɲí / bàɲí	ɲ i.⁵/i
186	person	NVBAbar7	ònò~ʊ̀nʊ̀ / ána᷇ː	o.¹/o n o.¹/o
187	person	ECLAbar8	ʊ̀nò / bʷɪ̀na᷇ː	ʊ.¹/ʊ n o.¹/o
188	person	NMAAbar1	ʊ̀nʊ̀ / bə́na᷇ː	ʊ.¹/ʊ n ʊ.¹/ʊ
189	person	NACAbar2	ʊ̀nò / bə́na᷇ː	ʊ.¹/ʊ n o.¹/o
190	person	NEMAjumbu9	ŋʊ̀ / ánɪ̂~ánîbə̄	ŋ ʊ.¹/ʊ
191	person	NVIAjumbu1	ŋʊ̀ / ánɪ̀	ŋ ʊ.¹/ʊ
192	person	KMNAjumbu2	ŋʊ̀ / ánɪ̂	ŋ ʊ.¹/ʊ
193	person	KDCAjumbu10	ŋʊ̀ / ànè	ŋ ʊ.¹/ʊ
194	person	ENBBiya1	ʊ̀nʊ̀ / bə̀nô	ʊ.¹/ʊ n ʊ.¹/ʊ
195	person	ICNBiya2	ʊ̀nə̀~ʊ̀nò / bə̀nø̂	ʊ.¹/ʊ n ə.¹/ə
196	person	NNBBuu3	mgbɪ̀ / mbɪ́lə́	m gb ɪ.¹/ɪ
197	person	MNJBuu4	mgbɪ̀ː / mbɪ᷇ːlə́	m gb ɪ.¹/ɪ
198	person	KEMBuu1	mgbɪ̀ / mbɪ̀ːlə̀	m gb ɪ.¹/ɪ
199	person	KCYBuu2	mgbɪ̀ / mbɪ́ːlə́	m gb ɪ.¹/ɪ
200	person	KHKFang12	ŋmə̀ / ŋmɪ̀m	ŋm ə.¹/ə
201	person	DPNFang13	ŋmə̀~ŋmə̀tə̀ / ŋmɪ᷇ːm	ŋm ə.¹/ə
202	person	JGYKoshin3	mùèɲ ~ mwèɲ / bə́nî	m u.¹/u e.¹/e ɲ
203	person	TELKoshin4	mɥɪ̀ɲ / bə́nî	m ɥ ɪ.¹/ɪ ɲ
204	person	MRYKoshin2	mwɪ̀n  /  bə̀nɪ̀	m w ɪ.¹/ɪ n
205	person	KCSKung3	wùò / àɣʲə᷇ː	w u.¹/u o.¹/o
206	person	NJSKung4	wʊ̀ə̀ / ɣʲə᷇ː	w ʊ.¹/ʊ ə.¹/ə
207	person	ZKGKung1	wùò / ə́ɣyə᷇	w u.¹/u o.¹/o
208	person	BNMKung2	wʊ̀ə̀ / ə́ɣɨ᷇ː	w ʊ.¹/ʊ ə.¹/ə
209	person	NMNMundabli3	mò / ḿbɛ̂ː	m o.¹/o
210	person	CENMundabli2	mò / mbɛ̂ː	m o.¹/o
211	person	LFNMundabli1	mɔ̀wɔ́ / mbɛ̀ːbó	m ɔ.¹/ɔ w ɔ.⁵/ɔ
212	person	NINMundabli4	mò / mbɛːbɛ́n	m o.¹/o
213	person	NGTMunken3	ʊ̀nɛ̀ / bə̀nɛ̂	ʊ.¹/ʊ n ɛ.¹/ɛ
214	person	NUNMunken4	ʊ̀nè / bə́nê	ʊ.¹/ʊ n e.¹/e
215	person	NEAMunken1	ʊ̀nɛ̀ / bə́nɛ᷇ː	ʊ.¹/ʊ n ɛ.¹/ɛ
216	person	TNTMunken2	ʊ̀nɛ̀ló / bə̀nɛ̂bə̀ló	ʊ.¹/ʊ n ɛ.¹/ɛ l o.⁵/o
217	person	MCANgun3	ʊ̀nò / bɛ̀no᷇ː~áno᷇ː	ʊ.¹/ʊ n o.¹/o
