ID	CONCEPT	DOCULECT	VALUE	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	SCAID	ALIGNMENT
2934	cough (n)	KJSFang2	kpɪ́sə́ / tə̀kpɪ́sə́	kp ɪ.⁵/ɪ s ə.⁵/ə	1 7 3 7	AXBZ	KISE	24	24.K.C 24.I.V 24.S.C 24.E.V	2.0 1.5 1.75 0.8	kpɪ.⁵/ɪsə.⁵/ə	0	861	- kp ɪ.⁵/ɪ s ə.⁵/ə -
2935	cough (n)	MRYKoshin2	kə̄kwɑ̄ / ø	k ə.³/ə k w ɑ.³/ɑ	1 7 1 6 7	AXBCZ	KEKWA	30	30.K.C 30.E.V 30.K.C 30.W.C 30.A.V	2.0 1.5 1.75 1.5 0.8	kə.³/əkwɑ.³/ɑ	0	878	k ə.³/ə k w ɑ.³/ɑ
2936	cough (n)	ZKGKung1	zɔ̀ʔkə́sʊ᷇ːʔkə́ / zɔ̀ʔʊ́sʊ᷇ːʔwə̄	z ɔ.¹/ɔ ʔ k ə.⁵/ə s ʊː.¹/ʊː ʔ k ə.⁵/ə	3 7 1 1 7 3 7 1 1 7	AXMBYBYMBZ	SUHKESYHKE	53	53.S.C 53.U.V 53.H.c 53.K.C 53.E.V 53.S.C 53.Y.V 53.H.c 53.K.C 53.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.1 1.75 0.8	zɔ.¹/ɔʔkə.⁵/əsʊː.¹/ʊːʔkə.⁵/ə	0	887	z ɔ.¹/ɔ ʔ k ə.⁵/ə s ʊː.¹/ʊː ʔ k ə.⁵/ə
2937	cough (n)	BNMKung2	kə̀zɔ̀ʔ / ʊ̀zɔ̀ʔ	k ə.¹/ə z ɔ.¹/ɔ ʔ	1 7 3 7 1	AXBYN	KESUH	7	7.K.C 7.E.V 7.S.C 7.U.V 7.H.c	2.0 1.5 1.75 1.3 0.8	kə.¹/əzɔ.¹/ɔʔ	1	861	- k ə.¹/ə z ɔ.¹/ɔ ʔ
2938	cough (n)	LFNMundabli1	sɔ́ŋ / sɔ̄ŋkɔ́	s ɔ.⁵/ɔ ŋ	3 7 4	AXN	SUN	26	26.S.C 26.U.V 26.N.c	2.0 1.5 0.8	sɔ.⁵/ɔŋ	0	864	- s ɔ.⁵/ɔ ŋ
2939	cough (n)	NINMundabli4	sɔ́ŋ / sɔ́ŋbɛ̄n	s ɔ.⁵/ɔ ŋ	3 7 4	AXN	SUN	39	39.S.C 39.U.V 39.N.c	2.0 1.5 0.8	sɔ.⁵/ɔŋ	0	864	- s ɔ.⁵/ɔ ŋ
2940	cough (n)	NEAMunken1	ʊ́kpɛ́ / ø	ʊ.⁵/ʊ kp ɛ.⁵/ɛ	7 1 7	XBZ	YKE	35	35.Y.V 35.K.C 35.E.V	1.5 1.75 0.8	ʊ.⁵/ʊkpɛ.⁵/ɛ	0	863	ʊ.⁵/ʊ kp ɛ.⁵/ɛ
2941	cough (n)	TNTMunken2	ʊ́kpɛ́ / kìkpɛ́	ʊ.⁵/ʊ kp ɛ.⁵/ɛ	7 1 7	XBZ	YKE	51	51.Y.V 51.K.C 51.E.V	1.5 1.75 0.8	ʊ.⁵/ʊkpɛ.⁵/ɛ	0	863	ʊ.⁵/ʊ kp ɛ.⁵/ɛ
2942	cough (n)	WCANgun1	ʊ́kpɛ́ː / ø ~ kə́kpɛ́	ʊ.⁵/ʊ kp ɛː.⁵/ɛː	7 1 7	XBZ	YKE	52	52.Y.V 52.K.C 52.E.V	1.5 1.75 0.8	ʊ.⁵/ʊkpɛː.⁵/ɛː	0	863	ʊ.⁵/ʊ kp ɛː.⁵/ɛː
2943	cough (n)	AOMNgun2	ʊ̀kpɛ́ / kə́kpɛ́	ʊ.¹/ʊ kp ɛ.⁵/ɛ	7 1 7	XBZ	YKE	3	3.Y.V 3.K.C 3.E.V	1.5 1.75 0.8	ʊ.¹/ʊkpɛ.⁵/ɛ	0	863	ʊ.¹/ʊ kp ɛ.⁵/ɛ
2944	cough (n)	APBMumfu1	sɔ́ŋ / sɔ́ŋkə́	s ɔ.⁵/ɔ ŋ	3 7 4	AXN	SUN	4	4.S.C 4.U.V 4.N.c	2.0 1.5 0.8	sɔ.⁵/ɔŋ	1	864	- s ɔ.⁵/ɔ ŋ
2945	cough (n)	DNMMumfu2	àkɔ́ / ø	a.¹/a k ɔ.⁵/ɔ	7 1 7	XBZ	AKU	9	9.A.V 9.K.C 9.U.V	1.5 1.75 0.8	a.¹/akɔ.⁵/ɔ	0	863	a.¹/a k ɔ.⁵/ɔ
2946	cough (n)	BKBMashi2	ànfɔ́ŋɔ́ / bìnfɔ́ŋɔ́	a.¹/a n f ɔ.⁵/ɔ ŋ ɔ.⁵/ɔ	7 4 3 7 4 7	XMBYBZ	ANBUNU	6	6.A.V 6.N.c 6.B.C 6.U.V 6.N.C 6.U.V	1.5 1.1 1.75 1.3 1.75 0.8	a.¹/anfɔ.⁵/ɔŋɔ.⁵/ɔ	1	865	a.¹/a n f ɔ.⁵/ɔ ŋ ɔ.⁵/ɔ
2947	cough (n)	KFKMashi1	ánʃɔ́ŋá / bínʃɔ́ŋá	a.⁵/a n ʃ ɔ.⁵/ɔ ŋ a.⁵/a	7 4 3 7 4 7	XMBYBZ	ANSUNA	22	22.A.V 22.N.c 22.S.C 22.U.V 22.N.C 22.A.V	1.5 1.1 1.75 1.3 1.75 0.8	a.⁵/anʃɔ.⁵/ɔŋa.⁵/a	0	865	a.⁵/a n ʃ ɔ.⁵/ɔ ŋ a.⁵/a
2948	cough (n)	ABSMissong1	ŋ̀kɔ̀hɔ̀ / ŋ̀kɔ̀hɔ̀nə̀	ŋ.¹/ŋ k ɔ.¹/ɔ h ɔ.¹/ɔ	4 1 7 3 7	ACYBZ	NKUHU	1	1.N.C 1.K.C 1.U.V 1.H.C 1.U.V	2.0 1.5 1.3 1.75 0.8	ŋ.¹/ŋkɔ.¹/ɔhɔ.¹/ɔ	0	861	ŋ.¹/ŋ k ɔ.¹/ɔ h ɔ.¹/ɔ -
2949	cough (n)	AGAMissong2	kìsʊ́ŋ / bìsʊ́ŋ	k i.¹/i s ʊ.⁵/ʊ ŋ	1 7 3 7 4	AXBYN	KISYN	2	2.K.C 2.I.V 2.S.C 2.Y.V 2.N.c	2.0 1.5 1.75 1.3 0.8	ki.¹/isʊ.⁵/ʊŋ	1	861	- k i.¹/i s ʊ.⁵/ʊ ŋ
16445	cough (n)	NFKBiya7	ʊ̀kpé	ʊ.¹/ʊ kp e.⁵/e	7 1 7	XBZ	YKE	37	37.Y.V 37.K.C 37.E.V	1.5 1.75 0.8	ʊ.¹/ʊkpe.⁵/e	0	863	ʊ.¹/ʊ kp e.⁵/e
