Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ɛ̂ː	ɛː.⁵¹	13	U+025b U+0302 U+02d0	
ɛ̃᷇ː	ɛ̃ː.⁵³			
ɛ᷇ː	ɛː.⁵³	6	U+025b U+1dc7 U+02d0	
ɘ̀	ɘ.¹	5	U+0258 U+0300	
ɘ̌	ɘ.¹⁵			
ɘ	ɘ.³			
ɘ̄	ɘ.³			
ɘ́	ɘ.⁵			
ɘ̂	ɘ.⁵¹			
ɘ̌:	ɘː.¹⁵			
ɘ̄ː	əː.³	4	U+0258 U+0304 U+02d0	
ɘ̀ː	ɘː.¹			
ɘ̌ː	ɘː.¹⁵			
ɘ́ː	ɘː.⁵	12	U+0258 U+0301 U+02d0	
ɘ̂ː	ɘː.⁵¹			
f	f	162	U+0066	
F	f	162	U+0066	
fʲ	fʲ	8	U+0066U+02b2	
fʷ	fʷ			
g	g	12	U+0067	
gb	gb			
gbʷ	gbʷ			
gʷ	gʷ			
ɠ	ɠ			
ɣ	ɣ	57	U+0263	
ʰ	h			
h᷂	h			
h	h	55	U+0068	
ɦ	ɦ			
ɦː	ɦː	4	U+0266U+02d0	
ʻ	NULL			
ĩ̀	ĩ.¹			
ì	i.¹	250	U+00ec	
ǐ	i.¹⁵			
i	i.³			
ĩ̄	ĩ.³			
ī	i.³			
ĩ́	ĩ.⁵			
í	i.⁵	61	U+00ed	
ĩ̂	ĩ.⁵¹			
î	i.⁵¹	27	U+00ee	
I	NULL			
ĩ̀ː	ĩː.¹			
ìː	iː.¹	23	U+00ec U+02d0	
i᷇ː	iː.¹³			
ǐː	iː.¹⁵			
īː	iː.³			
íː	iː.⁵			
îː	iː.⁵¹			
ĩ̂ː	ĩː.⁵¹			
ɪ̃̀	ɪ̃.¹			
ɪ̀	ɪ.¹	29	U+026a U+0300	
ɪ̌	ɪ.¹⁵			
ɪ	ɪ.³			
ɪ̃̄	ɪ̃.³			
ɪ̄	ɪ.³	4	U+026a U+0304	
ɪ̃́	ɪ̃.⁵			
ɪ́	ɪ.⁵	79	U+026a U+0301	
ɪ̃̂	ɪ̃.⁵¹			
ɪ̂	ɪ.⁵¹	54	U+026a U+0302	
ɪ᷇	ɪ.⁵³			
ɪ̀ː	ɪ.¹			
ɪ̃̀ː	ɪ̃ː.¹			
ɪ̌ː	ɪː.¹⁵			
ɪ̃̌ː	ɪ̃ː.¹⁵			
ɪ̃ː	ɪ̃ː.³			
ɪ̄ː	ɪː.³			
ɪ̃́ː	ɪ̃ː.⁵			
ɪ́ː	ɪː.⁵	6	U+026a U+0301 U+02d0	
ɪ̂ː	ɪː.⁵¹			
ɪ̃̂ː	ɪ̃ː.⁵¹			
ɪ᷇ː̄	ɪː.⁵³			
ɪ᷇ː	ɪː.⁵³	7	U+026a U+1dc7 U+02d0	
ɪ́ⁱ	ɪ.⁵			
ɪ᷇ʲː	ɪː.⁵³			
ɨ̀	ɨ.¹			
ɨ̃̀	ɨ̃.¹			
ɨ̏	ɨ.¹			
ɨ̌	ɨ.¹⁵			
ɨ	ɨ.³			
ɨ̄	ɨ.³			
ɨ́	ɨ.⁵			
ɨ̃́	ɨ̃.⁵			
ɨ̂	ɨ.⁵¹			
ɨ̃̂	ɨ̃.⁵¹			
ɨ̀ː	ɨː.¹			
ɨ̌ː	ɨː.¹⁵			
ɨ́ː	ɨː.⁵			
ɨ̄᷇ː	ɨː.⁵³			
ɨ᷇ː	ɨː.⁵³			
j	j			
ʲ	j			
ᵏ	k			
K	k			
k	k	308	U+006b	
kᶠ	kᶠ			
kʲ	kʲ	11	U+006bU+02b2	
kp	kp			
kpʳʷ	kpʳʷ			
kʷ	kʷ	43	U+006bU+02b7	
kx	kx			
kˣ	kx			
ƙ	q			
l	l	44	U+006c	
lː	l			
m̩	m			
ṃ	m			
m	m	215	U+006d	
̀m	m.¹			
m̀	m.¹	22	U+006d U+0300	
m̩̀	m.¹	26	U+006d U+0329 U+0300	
m̄	m.³			
m̩̄	m.³			
ṃ̄	m.³			
ḿ	m.⁵			
ḿ̩	m.⁵			
ḿ̩̩	m.⁵			
m̂	m.⁵¹			
M	ɱ			
mʷ	mʷ	15	U+006dU+02b7	
ɱ	ɱ			
ɱ̀	ɱ.¹			
ⁿ	n			
N	n			
n̩	n			
ṇ	n			
n	n	419	U+006e	
Ǹ	N.¹			
ǹ̩	n.¹			
ǹ	n.¹	48	U+01f9	
n̄	n.³			
ṇ̄	n.³			
ń	n.⁵			
ń̩	n.⁵			
N̂	n.⁵¹			
Ń	Ń			
ⁿb	ⁿb			
ⁿbʷ	ⁿbʷ			
ⁿd	ⁿd			
ⁿdʷ	ⁿdʷ			
ⁿt	ⁿt			
nʷ	nʷ			
ɲ	ɲ	162	U+0272	
ɲ̀	ɲ.¹			
ɲ̄	ɲ.³			
ɲ́	ɲ.⁵			
ɲⁱ	ɲʲ			
ɲʲ	ɲʲ	8	U+0272U+02b2	
ɲʷ	ɲʷ			
ᶇ	ŋ			
ɳ	ɳ			
Ŋ	ŋ			
ŋ̃	ŋ			
ŋ̩	ŋ			
ŋ	ŋ	111	U+014b	
ŋ̩̀	ŋ.¹			
ŋ̀	ŋ.¹	12	U+014b U+0300	
ŋ̄	ŋ.³			
ŋ̄̀	ŋ.³¹			
ŋ́	ŋ.⁵			
ŋ̩́	ŋ.⁵			
ŋ̈	ŋˤ			
ŋm̀	ŋ m.¹			
ŋm	ŋm			
ŋmʷ	ŋmʷ			
ŋʃʲ	ŋ ʃʲ	5	U+014b U+0283U+02b2	
ŋʷ	ŋʷ	4	U+014bU+02b7	
õ̀	õ.¹			
ø̀	ø.¹			
ò	o.¹	61	U+00f2	
õ̌	õ.¹⁵			
ø̌	ø.¹⁵			
ǒ	o.¹⁵	4	U+01d2	
o	o.³			
ȭ	õ.³			
ø	ø.³			
ø̄	ø.³			
ō	o.³	3	U+014d	
ő	o.⁵			
ṍ	õ.⁵			
ǿ	ø.⁵			
ó	o.⁵	50	U+00f3	
o᷇	o.⁵			
õ̂	õ.⁵¹			
ø̂	ø.⁵¹	10	U+00f8 U+0302	
ô	o.⁵¹	56	U+00f4	
ø᷇	ø.⁵³			
ø̀ː	øː.¹			
òː	oː.¹	3	U+00f2 U+02d0	
õ̌ː	õː.¹⁵			
ǒː	oː.¹⁵	26	U+01d2 U+02d0	
oː	oː.³			
ȭː	õː.³			
ōː	oː.³			
ṍː	õː.⁵			
ǿː	øː.⁵			
ø̂ː	øː.⁵			
óː	oː.⁵	16	U+00f3 U+02d0	
ôː	oː.⁵¹			
õ᷇ː	õː.⁵³			
ø᷇ː	øː.⁵³			
ø᷇᷇ː	øː.⁵³			
o᷇ː	oː.⁵³	5	U+006f U+1dc7 U+02d0	
œ̀	œ.¹			
œ̏	œ.¹			
œ̌	œ.¹⁵			
œ	œ.³			
œ̄	œ.³			
œ́	œ.⁵			
œ̂	œ.⁵¹			
œ̃᷇	œ̃.⁵³			
œ᷇	œ.⁵³			
œ̀ː	œː.¹			
œ̌ː	œː.¹⁵			
œ̄ː	œː.³			
œ́ː	œː.⁵			
œ̂ː	œː.⁵¹			
œ᷇ː	œː.⁵³			
óő	oː.⁴⁵			
ɔ̃̀	ɔ̃.¹			
ɔ̀	ɔ.¹	34	U+0254 U+0300	
ɔ̌	ɔ.¹⁵			
ɔ̃̌	ɔ̃.¹⁵			
ɔ	ɔ.³			
ɔ̃̄	ɔ̃.³			
ɔ̄	ɔ.³			
ɔ́	ɔ.⁵			
ɔ̋	ɔ.⁵			
ɔ̃́	ɔ̃.⁵			
ɔ̂	ɔ.⁵¹			
ɔ̃̂	ɔ̃.⁵¹			
ɔ᷇	ɔ.⁵³			
ɔ̀ː	ɔː.¹			
ɔ̌ː	ɔː.¹⁵			
ɔ̃̌ː	ɔ̃ː.¹⁵			
ɔː	ɔː.³			
ɔ̄ː	ɔː.³			
ɔ́ː	ɔː.⁵			
ɔ̃́ː	ɔ̃ː.⁵			
ɔ̂ː	ɔː.⁵¹			
ɔ̃̂ː	ɔ̃ː.⁵¹			
ɔ᷇ː	ɔː.⁵³			
p	p	83	U+0070	
r	r			
ʳ	r			
s	s	19	U+0073	
sʷ	sʷ			
ʃ	ʃ	7	U+0283	
