Grapheme	IPA	FREQUENCY	CODEPOINTS	NOTES
ə̄ː	əː.³/əː
ə̃́ː	ə̃ː.⁵/ə̃ː
ə́ː	əː.⁵/əː	8	U+0259 U+0301 U+02d0
ə̂ː	əː.⁵¹/əː
ə̃̂ː	ə̃ː.⁵¹/ə̃ː
ə̃᷇ː	ə̃ː.⁵³/ə̃ː
ə᷇ː	əː.⁵³/əː
ə̀ˠ	əˠ.¹/əˠ
ɛ̃̀	ɛ̃.¹/ɛ̃
ɛ̀	ɛ.¹/ɛ	61	U+025b U+0300
ɛ̌	ɛ.¹⁵/ɛ
ɛ̃̌	ɛ̃.¹⁵/ɛ̃	4	U+025b U+0303 U+030c
ɛ	ɛ.³/ɛ
ɛ̃̂	ɛ̃.³/ɛ̃
ɛ̃̃	ɛ̃.³/ɛ̃
ɛ̄	ɛ.³/ɛ
ɛ̃̄	ɛ̃.³/ɛ̃	4	U+025b U+0303 U+0304
ɛ᷆	ɛ.³¹/ɛ
ɛ̋	ɛ.⁵/ɛ
ɛ̃́	ɛ̃.⁵/ɛ̃
ɛ́	ɛ.⁵/ɛ	75	U+025b U+0301
ɛ̂	ɛ.⁵¹/ɛ	34	U+025b U+0302
ɛ᷇	ɛ.⁵³/ɛ
ɛ́:	ɛː.⁵/ɛː
ɛ̀ː	ɛː.¹/ɛː	15	U+025b U+0300 U+02d0
ɛ̌ː	ɛː.¹⁵/ɛː
ɛ̃̌ː	ɛ̃ː.¹⁵/ɛ̃ː
ɛː	ɛː.³/ɛː
ɛ̄ː	ɛː.³/ɛː
ɛ́ː	ɛː.⁵/ɛː
ɛ̃́ː	ɛ̃ː.⁵/ɛ̃ː
ɛ̂ː	ɛː.⁵¹/ɛː	13	U+025b U+0302 U+02d0
ɛ̃᷇ː	ɛ̃ː.⁵³/ɛ̃ː
ɛ᷇ː	ɛː.⁵³/ɛː	6	U+025b U+1dc7 U+02d0
ɘ̀	ɘ.¹/ɘ	5	U+0258 U+0300
ɘ̌	ɘ.¹⁵/ɘ
ɘ	ɘ.³/ɘ
ɘ̄	ɘ.³/ɘ
ɘ́	ɘ.⁵/ɘ
ɘ̂	ɘ.⁵¹/ɘ
ɘ̌:	ɘː.¹⁵/ɘː
ɘ̄ː	əː.³/əː	4	U+0258 U+0304 U+02d0
ɘ̀ː	ɘː.¹/ɘː
ɘ̌ː	ɘː.¹⁵/ɘː
ɘ́ː	ɘː.⁵/ɘː	12	U+0258 U+0301 U+02d0
ɘ̂ː	ɘː.⁵¹/ɘː
f	f	162	U+0066
F	f	162	U+0066
fʲ	fʲ	8	U+0066U+02b2
fʷ	fʷ
g	g	12	U+0067
gb	gb
gbʷ	gbʷ
gʷ	gʷ
ɠ	ɠ
ɣ	ɣ	57	U+0263
ʰ	h
h᷂	h
h	h	55	U+0068
ɦ	ɦ
ɦː	ɦː	4	U+0266U+02d0
ʻ	NULL
ĩ̀	ĩ.¹/ĩ
ì	i.¹/i	250	U+00ec
ǐ	i.¹⁵/i
i	i.³/i
ĩ̄	ĩ.³/ĩ
ī	i.³/i
ĩ́	ĩ.⁵/ĩ
í	i.⁵/i	61	U+00ed
ĩ̂	ĩ.⁵¹/ĩ
î	i.⁵¹/i	27	U+00ee
I	NULL
ĩ̀ː	ĩː.¹/ĩː
ìː	iː.¹/iː	23	U+00ec U+02d0
i᷇ː	iː.¹³/iː
ǐː	iː.¹⁵/iː
īː	iː.³/iː
íː	iː.⁵/iː
îː	iː.⁵¹/iː
ĩ̂ː	ĩː.⁵¹/ĩː
ɪ̃̀	ɪ̃.¹/ɪ̃
ɪ̀	ɪ.¹/ɪ	29	U+026a U+0300
ɪ̌	ɪ.¹⁵/ɪ
ɪ	ɪ.³/ɪ
ɪ̃̄	ɪ̃.³/ɪ̃
ɪ̄	ɪ.³/ɪ	4	U+026a U+0304
ɪ̃́	ɪ̃.⁵/ɪ̃
ɪ́	ɪ.⁵/ɪ	79	U+026a U+0301
ɪ̃̂	ɪ̃.⁵¹/ɪ̃
ɪ̂	ɪ.⁵¹/ɪ	54	U+026a U+0302
ɪ᷇	ɪ.⁵³/ɪ
ɪ̀ː	ɪ.¹/ɪ
ɪ̃̀ː	ɪ̃ː.¹/ɪ̃ː
ɪ̌ː	ɪː.¹⁵/ɪː
ɪ̃̌ː	ɪ̃ː.¹⁵/ɪ̃ː
ɪ̃ː	ɪ̃ː.³/ɪ̃ː
ɪ̄ː	ɪː.³/ɪː
ɪ̃́ː	ɪ̃ː.⁵/ɪ̃ː
ɪ́ː	ɪː.⁵/ɪː	6	U+026a U+0301 U+02d0
ɪ̂ː	ɪː.⁵¹/ɪː
ɪ̃̂ː	ɪ̃ː.⁵¹/ɪ̃ː
ɪ᷇ː̄	ɪː.⁵³/ɪː
ɪ᷇ː	ɪː.⁵³/ɪː	7	U+026a U+1dc7 U+02d0
ɪ́ⁱ	ɪ.⁵/ɪ j
ɪ᷇ʲː	ɪː.⁵³/ɪː j
ɨ̀	ɨ.¹/ɨ
ɨ̃̀	ɨ̃.¹/ɨ̃
ɨ̏	ɨ.¹/ɨ
ɨ̌	ɨ.¹⁵/ɨ
