NUMBER	ENGLISH	POS
1098	reduce, length	N/A
1099	remain (not go)	N/A
1100	remember	N/A
1101	remove (feather)	N/A
1102	remove (fire)	N/A
1103	remove (mushroom)	N/A
1104	remove (palm nuts)	N/A
1105	rescue	N/A
1106	resemble	N/A
1107	respond, reply	N/A
1108	response	N/A
1109	rest	N/A
1110	rhizome fruit (hill lilly)	N/A
1111	rhizome fruit (valley lilly)	N/A
1112	rib	N/A
1113	rib side	N/A
1114	rice	N/A
1115	ride (bicycle)	N/A
1116	ridge (bed-farm)	N/A
1117	ridge (farm)	N/A
1118	ring	N/A
1119	ring (hand, ear)	N/A
1120	ring bell	N/A
1121	ringworm	N/A
1122	river	N/A
1123	road	N/A
1124	road junction	N/A
1125	roast	N/A
1126	roast (corn)	N/A
1127	roasting (fowl)	N/A
1128	robe	N/A
1129	rock	N/A
1130	roll (stone)	N/A
1131	roll fufu (in palm)	N/A
1132	roof	N/A
1133	roof (ceiling)	N/A
1134	root	N/A
1135	root (vein)	N/A
1136	rope	N/A
1137	rope (goat)	N/A
1138	rope (k.o)	N/A
1139	rope (palm climbing)	N/A
1140	rot, rust (iron)	N/A
1141	rotten	N/A
1142	rub excess (oil)	N/A
1143	rub, anoint	N/A
1144	rule	N/A
1145	run	N/A
1146	sacred dance	N/A
1147	sad	N/A
1148	salt	N/A
1149	salt calabash	N/A
1150	sand	N/A
1151	sand-paper tree	N/A
1152	saucer (calabash)	N/A
1153	say	N/A
1154	scabies	N/A
1155	scar	N/A
1156	scarify	N/A
1157	scatter (bag, cloth)	N/A
1158	scatter (by fowl)	N/A
1159	scatter (heap)	N/A
1160	scatter seed planting	N/A
1161	scorpion	N/A
1162	scrape; clean off	N/A
1163	scratch	N/A
1164	scratch (skin)	N/A
1165	screech owl	N/A
1166	see	N/A
1167	seed	N/A
1168	seedling (planting seeds)	N/A
1169	seive	N/A
1170	seize (force)	N/A
1171	select (vegetable)	N/A
1172	select, choose	N/A
1173	sell	N/A
1174	send	N/A
1175	separate (fight)	N/A
1176	seven (7)	N/A
1177	seventeen (17)	N/A
1178	seventy (70)	N/A
1179	sew (with hand)	N/A
1180	sew (with machine)	N/A
1181	sex (v)	N/A
1182	shake (pear tree)	N/A
1183	shake (person)	N/A
1184	sharpen	N/A
1185	shave (scissors)	N/A
1186	shave head(razor)	N/A
1187	shaving knife	N/A
1188	sheath	N/A
1189	sheep	N/A
1190	shell (snail)	N/A
1191	shift	N/A
1192	shin	N/A
1193	shine (excess sun)	N/A
1194	shine (excess torchlight)	N/A
1195	shine (neat)	N/A
1196	shine (sun, moon, star)	N/A
1197	shine (torch, bulb)	N/A
1198	shoe	N/A
1199	shoot	N/A
1200	short drum	N/A
1201	shoulder	N/A
1202	shout	N/A
1203	show (cup to collect something)	N/A
1204	sickness	N/A
1205	side pain (rapid heart beat under the left breast)	N/A
1206	sieve	N/A
1207	sigh (v)	N/A
1208	silence (v)	N/A
1209	sink	N/A
1210	sit	N/A
1211	six (6)	N/A
1212	sixteen (16)	N/A
1213	sixty (60)	N/A
1214	skeleton	N/A
1215	skin	N/A
1216	skin rasches (cause by heat)	N/A
1217	skin rashes (baby)	N/A
1218	skull	N/A
1219	sky	N/A
1220	sky, heaven	N/A
1221	slave	N/A
1222	sleep	N/A
1223	slice (cut)	N/A
1224	slimy soup	N/A
1225	slimy soup chaff	N/A
1226	slimy soup dish	N/A
1227	slimy soup dish (clay pot)	N/A
1228	slip off, slide	N/A
1229	small drum	N/A
1230	small grinding stone	N/A
1231	small hand bag for female (dance)	N/A
1232	small hand bag for male (dance)	N/A
1233	small noise making grasshopper	N/A
1234	small woven dish	N/A
1235	smash	N/A
1236	smell	N/A
1237	smile	N/A
1238	smoke	N/A
1239	snail	N/A
1240	snake	N/A
1241	snake (black)	N/A
1242	snake (dotted mboma)	N/A
1243	snake (white, smallest)	N/A
1244	sneeze	N/A
1245	snore	N/A
1246	soak (garri)	N/A
1247	soap	N/A
1248	soil beetle (edible)	N/A
1249	soldier ant	N/A
1250	sole (underfoot)	N/A
1251	somersault (fufu  in calabash)	N/A
1252	song	N/A
1253	song bird (after rain)	N/A
1254	song bird (early morning	N/A
1255	soot	N/A
1256	soup	N/A
1257	soup (liquid)	N/A
1258	soup (vegetable)	N/A
1259	soup dish	N/A
1260	soup-pot (clay-made)	N/A
1261	speak	N/A
1262	spear	N/A
1263	spear grass	N/A
1264	spend (the day)	N/A
1265	sperm	N/A
1266	spider	N/A
1267	spin (v)	N/A
1268	spine (backbone)	N/A
1269	spirit	N/A
1270	spit	N/A
1271	spleen (side belly pain)	N/A
1272	split (wood)	N/A
1273	spoil self, miscarriage person	N/A
1274	spoon	N/A
1275	spoon (calabash)	N/A
1276	spoon (vegetables)	N/A
1277	spread sheet (on bed)	N/A
1278	spring	N/A
1279	spy (listening secretly	N/A
1280	squeeze (bitterleaf)	N/A
1281	squeeze (cloth)	N/A
1282	squeeze (palm nut)	N/A
1283	squeeze fufu (in water)	N/A
1284	squeeze neck (devil)	N/A
1285	staff (stick walk support)	N/A
1286	staff (walk support)	N/A
1287	staked, pin stick	N/A
1288	stammer (v)	N/A
1289	stand up	N/A
1290	star	N/A
1291	start	N/A
1292	steal	N/A
1293	stem	N/A
1294	stick	N/A
1295	stick1	N/A
1296	stick2	N/A
1297	sting	N/A
1298	stinginess (n)	N/A
1299	stinginess, selfishness	N/A
1300	stingy (v)	N/A
1301	stingy man	N/A
1302	stir (pap)	N/A
1303	stir (stream dirty)	N/A
1304	stir vegetable	N/A
1305	stirring spoon (vegetables)	N/A
1306	stomach	N/A
1307	stone	N/A
1308	stone trap	N/A
1309	stop	N/A
1310	stop (rain)	N/A
1311	storm (wind)	N/A
1312	story	N/A
1313	stream	N/A
1314	stretch (arm)	N/A
1315	strike (thunder)	N/A
1316	stripped rat	N/A
1317	struggle	N/A
1318	sub chief	N/A
1319	suck (bonbon, orange)	N/A
1320	suck (breast)	N/A
1321	suck (orange)	N/A
1322	suffer (n)	N/A
1323	sugar cane	N/A
1324	summon  (v)	N/A
1325	sun	N/A
1326	support (plantain)	N/A
1327	swallow (food)	N/A
1328	swallow bird	N/A
1329	swamp	N/A
1330	swear (n)	N/A
1331	swear (v)	N/A
1332	sweat	N/A
1333	sweep	N/A
1334	swell (n)	N/A
1335	swell (v)	N/A
1336	swelling (with no pus)	N/A
1337	swim	N/A
1338	swing	N/A
1339	tad-pole (frog/fish)	N/A
1340	tadpole	N/A
1341	take	N/A
1342	take (part of something)	N/A
1343	take away	N/A
1344	talk	N/A
1345	talking drum	N/A
1346	tap (wine, palm, raffia)	N/A
1347	tapping -pipe	N/A
1348	tapping hoe	N/A
1349	tapping knife	N/A
1350	tapping pipe	N/A
1351	tapping pipe (raffia/palm wine)	N/A
1352	tapping-pipe	N/A
1353	tarantula	N/A
1354	taste	N/A
1355	tatoo	N/A
1356	tear (torn)	N/A
1357	tear (with knife)	N/A
1358	tear open (fruits)	N/A
1359	tears	N/A
1360	teeth	N/A
1361	tell	N/A
1362	tell (story)	N/A
1363	tell lies	N/A
1364	ten (10)	N/A
1365	ten thousand (10,000)	N/A
1366	tend (fire)	N/A
1367	termite	N/A
1368	termite mount	N/A
1369	test, try	N/A
1370	testicle	N/A
1371	thank (n)	N/A
1372	thatch	N/A
1373	thatch grass	N/A
1374	they	N/A
1375	thief	N/A
1376	thigh (lap)	N/A
1377	thing	N/A
1378	think	N/A
1379	thirteen (13)	N/A
1380	thirty (30)	N/A
1381	thongs	N/A
1382	three (3)	N/A
1383	three hundred (300)	N/A
1384	throat	N/A
1385	throw away	N/A
1386	thumb	N/A
1387	tie (bag)	N/A
1388	tie (firewood)	N/A
1389	tie (rope)	N/A
1390	tiger	N/A
1391	till soil to plant groundnut	N/A
1392	to be matured	N/A
1393	to burn (incense)	N/A
1394	to rinse (a pan)	N/A
1395	to visit	N/A
1396	toad (rough back)	N/A
1397	tobacco	N/A
1398	tobacco leaf	N/A
1399	tobacco pipe	N/A
1400	tobacco powder	N/A
1401	toe	N/A
1402	toenail	N/A
1403	toilet	N/A
1404	tongue	N/A
1405	tooth	N/A
1406	touch	N/A
1407	transfer, exile, leave house	N/A
1408	transform (into spirit)	N/A
1409	trap	N/A
1410	trap (2)	N/A
1411	trap (inclined stone)	N/A
1412	trap (partridge)	N/A
1413	trap (rope-bone)	N/A
1414	travel (go far off)	N/A
1415	tray	N/A
1416	tree	N/A
1417	tree beans	N/A
1418	trouble (n)	N/A
1419	trough, (cocoyam, cow)	N/A
1420	trumpet	N/A
1421	tunic	N/A
1422	turn (dancing)	N/A
1423	twelve (12)	N/A
1424	twenty (20)	N/A
1425	twenty eight (28)	N/A
1426	twenty five (25)	N/A
1427	twenty four (24)	N/A
1428	twenty nine (29)	N/A
1429	twenty one (21)	N/A
1430	twenty seven (27)	N/A
1431	twenty six (26)	N/A
1432	twenty thounsand (20,000)	N/A
1433	twenty three (23)	N/A
1434	twenty two (22)	N/A
1435	twin	N/A
1436	twin calabash	N/A
1437	twine	N/A
1438	twine (weaved rope)	N/A
1439	twine (weaved-rope)(lap)	N/A
1440	twine (woven fibre)	N/A
1441	twine weaved (hand)	N/A
1442	twist (face )	N/A
1443	two (2)	N/A
1444	two head snake (human)	N/A
1445	two hundred (200)	N/A
1446	two million (2,000,000)	N/A
1447	two thousand (2000)	N/A
1448	tyre (car)	N/A
1449	ugly	N/A
1450	umbilical cord	N/A
1451	umbrella	N/A
1452	umbrella  (non-native)	N/A
1453	umbrella (non-native)	N/A
1454	uncle	N/A
1455	undress	N/A
1456	upper grinding stone	N/A
1457	upper wall shelf	N/A
1458	upper-grinding-stone(pepper)	N/A
1459	upper-pepper-stone	N/A
1460	upper-wall-shelf (inside the house)	N/A
1461	uproot	N/A
1462	urinate	N/A
1463	urine	N/A
1464	vagina	N/A
1465	valley	N/A
1466	vegetable spoon	N/A
1467	vein	N/A
1468	vex	N/A
1469	village	N/A
1470	viper	N/A
1471	vomit	N/A
1472	vomit matter	N/A
1473	waist	N/A
1474	waist beads	N/A
1475	waist-bead	N/A
1476	wait	N/A
1477	wake (sleep, death)	N/A
1478	walk	N/A
1479	walking-staff	N/A
1480	wall (house)	N/A
1481	wall shelf	N/A
1482	wander (about)	N/A
1483	want	N/A
1484	war	N/A
1485	warm	N/A
1486	wasp (brown)	N/A
1487	wasp (bush)	N/A
1488	wasp (house, black)	N/A
1489	watch	N/A
1490	water	N/A
1491	water duck	N/A
1492	wax (incense)	N/A
1493	wax (native-incense)	N/A
1494	we (inc)	N/A
1495	wear	N/A
1496	weaved rope	N/A
1497	weaver bird	N/A
1498	weed (v)	N/A
1499	week	N/A
1500	wet	N/A
1501	whistle (v)	N/A
1502	white	N/A
1503	white man	N/A
1504	white neck hawk	N/A
1505	wicked heart (n)	N/A
1506	wicked man	N/A
1507	wickedness	N/A
1508	wicklow	N/A
1509	wife	N/A
1510	wind	N/A
1511	wine (palm, raffia)	N/A
1512	wine red ant	N/A
1513	wingless termite	N/A
1514	witch	N/A
1515	witch man	N/A
1516	woman	N/A
1517	women cloth (leaves)	N/A
1518	wonder (about)	N/A
1519	wonder (v)	N/A
1520	wood pecker	N/A
1521	wooden dish	N/A
1522	wooden dish (leg)	N/A
1523	wooden spoon	N/A
1524	wooden-dish (yellow soup, feast bitter-leaf)	N/A
1525	wooden-dish (yellow soup; feast bitter-leaf)	N/A
1526	work (n)	N/A
1527	work (v)	N/A
1528	world	N/A
1529	worrisome (v)	N/A
1530	wound	N/A
1531	woven bowl	N/A
1532	woven dish	N/A
1533	woven dish (tray)	N/A
1534	woven dish (with a lid)	N/A
1535	woven-dish (flat for sieving corn flour)	N/A
1536	woven-dish (for corn-fufu)	N/A
1537	woven-tray	N/A
1538	wrestle	N/A
1539	wrist	N/A
1540	write	N/A
1541	xylophone	N/A
1542	yam	N/A
1543	yard	N/A
1544	yawn	N/A
1545	year	N/A
1546	yellow soup	N/A
1547	you (pl)	N/A
1548	you (sg)	N/A
1549	young cock	N/A
1550	young hen	N/A
1551	young palm tree	N/A
1552	zinc	N/A
1553	zinc-house	N/A
1554	ʻNkohʼ leaf	N/A
1555	ʻNkohʼ tree	N/A
