NUMBER	ENGLISH	POS
251	catarrh	N/A
252	catch (run)	N/A
253	caterpillar	N/A
254	caterpillar (black, stings)	N/A
255	caterpillar (cylinder sticks)	N/A
256	caterpillar (edible)	N/A
257	caterpillar (for crabs)	N/A
258	caterpillar (red, yellow lines)	N/A
259	caterpillar (stings)	N/A
260	caterpillar (variegated)	N/A
261	ceiling	N/A
262	centipede	N/A
263	chain (someone)	N/A
264	chair	N/A
265	chair (bamboo)	N/A
266	chair (carved)	N/A
267	chair (plank)	N/A
268	chameleon	N/A
269	change, exchange	N/A
270	charcoal	N/A
271	chase (away)	N/A
272	check someone; trap	N/A
273	check trap	N/A
274	chest	N/A
275	chew	N/A
276	chief	N/A
277	child	N/A
278	child calabash	N/A
279	chimpanzee	N/A
280	chin	N/A
281	clap (v)	N/A
282	clay	N/A
283	clay pot	N/A
284	clay pot (cooking fufu)	N/A
285	clay pot (country pot)	N/A
286	clay pot (for cooking fufu)	N/A
287	clay pot (fufu)	N/A
288	clay pot (soup)	N/A
289	clay-pot (big)	N/A
290	clay-pot (legs)	N/A
291	clay-pot (with legs; soup for elders)	N/A
292	clean	N/A
293	clean (broom)	N/A
294	clear (grass)	N/A
295	clear (with hoe)	N/A
296	clear farm	N/A
297	cliff	N/A
298	clitoris	N/A
299	clock	N/A
300	clock bird	N/A
301	close (door)	N/A
302	close, cover (door)	N/A
303	clot, coagulate	N/A
304	cloth	N/A
305	cloth-tree	N/A
306	cloud	N/A
307	co-wife	N/A
308	coarse flour (kende)	N/A
309	cobra	N/A
310	cobweb	N/A
311	cock	N/A
312	cockroach (house)	N/A
313	cockroach (toilet)	N/A
314	cocoyam	N/A
315	cocoyam (egg yolk)	N/A
316	cocoyam (makabo)	N/A
317	cocoyam (native)	N/A
318	cocoyam (native, red)	N/A
319	cocoyam (slimy strands)	N/A
320	cocoyam leaf (soup)	N/A
321	coffin	N/A
322	cola	N/A
323	cold	N/A
324	cold (air)	N/A
325	cold (solid)	N/A
326	collapse (bricks)	N/A
327	collapse (house)	N/A
328	collect (rain water)	N/A
329	collide	N/A
330	comb	N/A
331	come	N/A
332	commit suicide	N/A
333	compare	N/A
334	compound	N/A
335	conduct (turn a stick)	N/A
336	cook	N/A
337	cook (corn beer)	N/A
338	cook (fufu)	N/A
339	cooking spoon	N/A
340	corn	N/A
341	corn beer	N/A
342	corn flour	N/A
343	corn fufu	N/A
344	corpse	N/A
345	cough (n)	N/A
346	count (v)	N/A
347	country	N/A
348	cow, cattle	N/A
349	cowpea bean	N/A
350	cowpea leaf	N/A
351	crab	N/A
352	crab (cast lots)	N/A
353	crack (egg; stone)	N/A
354	crack (groundnut, egussi)	N/A
355	crack (kernel)	N/A
356	crack (rock by itself)	N/A
357	crack, burst	N/A
358	crawl, creep (child)	N/A
359	cricket	N/A
360	cross (bridge, road)	N/A
361	crowd, group	N/A
