Pattern	abar1239	biya1235	buuu1246	fang1248	kosh1246	kung1260	mbuu1238	miss1255	mufu1234	mund1340	munk1244	naki1238	ngun1279	Examples	COGID
biya1235:1 kung1260:1 mufu1234:1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	24	1022_pineapple
kosh1246:3	0	0	0	0	3	0	0	0	0	0	0	0	0	8	27 339 492 504 551 578 660 802	1022_pineapple, 1542_yam, 381_day, 391_devil, 443_egg, 484_farm, 590_goat, 889_medicine
kung1260:1	0	0	0	0	0	1	0	0	0	0	0	0	0	24	28 115 111 195 211 231 236 265 333 350 372 381 382 406 508 523 609 636 724 731 768 798 793 847	1022_pineapple, 1167_seed, 1167_seed, 1306_stomach, 1311_stormwind, 1325_sun, 1325_sun, 1403_toilet, 1541_xylophone, 1552_zinc, 170_book, 192_bridge, 192_bridge, 247_casecourtn, 391_devil, 412_dog, 522_fireside, 556_fowl, 654_heart, 661_hill, 76_bag, 822_leaf, 822_leaf, 939_nose
mufu1234:1	0	0	0	0	0	0	0	0	1	0	0	0	0	8	22 148 289 292 726 791 820 865	1022_pineapple, 1247_soap, 1451_umbrella, 1451_umbrella, 661_hill, 822_leaf, 909_mother, 95_bat
abar1239:4 biya1235:2 miss1255:2 munk1244:4 naki1238:2 ngun1279:4	4	2	0	0	0	0	0	2	0	0	4	2	4	1	29	1024_place
buuu1246:4 fang1248:4 kosh1246:4 mbuu1238:4	0	0	4	4	4	0	4	0	0	0	0	0	0	1	32	1024_place
kung1260:2	0	0	0	0	0	2	0	0	0	0	0	0	0	39	33 31 85 113 155 169 227 245 255 263 282 311 307 317 340 337 454 451 473 471 493 515 512 529 544 541 552 561 635 657 661 738 762 796 817 815 845 860 893	1024_place, 1024_place, 1123_road, 1167_seed, 1249_soldierant, 1266_spider, 1325_sun, 1367_termite, 139_bed, 1403_toilet, 1409_trap, 1490_water, 1490_water, 1513_winglesstermite, 1542_yam, 1542_yam, 340_corn, 340_corn, 365_cup, 365_cup, 381_day, 40_air, 40_air, 428_drum, 433_dust, 433_dust, 443_egg, 458_elephantstalk, 556_fowl, 584_gizzardfowl, 590_goat, 667_hoe, 719_jaw, 822_leaf, 905_moon, 905_moon, 939_nose, 958_owl, 980_pap
mufu1234:2 mund1340:3	0	0	0	0	0	0	0	0	2	3	0	0	0	3	30 487 539	1024_place, 381_day, 433_dust
mund1340:1	0	0	0	0	0	0	0	0	0	1	0	0	0	8	34 298 291 439 446 533 669 834	1024_place, 1451_umbrella, 1451_umbrella, 334_compound, 334_compound, 428_drum, 594_grass, 913_mouth
abar1239:4 biya1235:1 kosh1246:2 ngun1279:4	4	1	0	0	2	0	0	0	0	0	0	0	4	1	36	1027_plantain
biya1235:1 buuu1246:4 fang1248:4 mbuu1238:4 mufu1234:2 mund1340:4	0	1	4	4	0	0	4	0	2	4	0	0	0	1	37	1027_plantain
munk1244:4	0	0	0	0	0	0	0	0	0	0	4	0	0	2	42 326	1027_plantain, 1526_workn
abar1239:4 biya1235:1 ngun1279:2	4	1	0	0	0	0	0	0	0	0	0	0	2	1	44	1044_pot
mbuu1238:4 ngun1279:2	0	0	0	0	0	0	4	0	0	0	0	0	2	1	50	1044_pot
biya1235:1 munk1244:4	0	1	0	0	0	0	0	0	0	0	4	0	0	1	49	1044_pot
buuu1246:4	0	0	4	0	0	0	0	0	0	0	0	0	0	8	51 209 219 388 474 530 651 789	1044_pot, 1311_stormwind, 1312_story, 194_broom, 365_cup, 428_drum, 574_gardenegg, 81_banana
fang1248:4	0	0	0	4	0	0	0	0	0	0	0	0	0	15	48 136 142 308 366 403 440 514 521 573 634 708 746 753 876	1044_pot, 1238_smoke, 1240_snake, 1490_water, 163_blood, 247_casecourtn, 334_compound, 40_air, 412_dog, 477_faeces, 556_fowl, 623_hand, 681_house, 713_intestine, 975_palmnut
kosh1246:3 mufu1234:2 mund1340:4	0	0	0	0	3	0	0	0	2	4	0	0	0	1	45	1044_pot
miss1255:2 naki1238:2	0	0	0	0	0	0	0	2	0	0	0	2	0	1	43	1044_pot
abar1239:4 biya1235:2 fang1248:4 kung1260:1 mund1340:4 munk1244:4 naki1238:2 ngun1279:4	4	2	0	4	0	1	0	0	0	4	4	2	4	1	53	1046_potato
buuu1246:4 kung1260:3 mbuu1238:4	0	0	4	0	0	3	4	0	0	0	0	0	0	1	54	1046_potato
kosh1246:4	0	0	0	0	4	0	0	0	0	0	0	0	0	3	55 108 427	1046_potato, 1150_sand, 276_chief
miss1255:2 mufu1234:2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	52	1046_potato
abar1239:4 biya1235:2 buuu1246:4 fang1248:3 kosh1246:3 mbuu1238:4 miss1255:2 mufu1234:2 mund1340:4 munk1244:4 ngun1279:3	4	2	4	3	3	0	4	2	2	4	4	0	3	1	56	1076_raffiabamboo
ngun1279:1	0	0	0	0	0	0	0	0	0	0	0	0	1	14	60 171 223 247 278 299 322 371 681 698 723 770 824 855	1076_raffiabamboo, 1266_spider, 1312_story, 1367_termite, 1409_trap, 1451_umbrella, 1513_winglesstermite, 170_book, 596_grasshopper, 620_hailstone, 654_heart, 803_knife, 90_basket, 944_oil
abar1239:4 biya1235:2 miss1255:2 munk1244:4 ngun1279:4	4	2	0	0	0	0	0	2	0	0	4	0	4	11	61 196 383 448 563 590 632 742 790 830 842	1079_rain, 1307_stone, 194_broom, 340_corn, 474_eye, 50_animal, 556_fowl, 681_house, 822_leaf, 913_mouth, 939_nose
fang1248:4 mbuu1238:4	0	0	0	4	0	0	4	0	0	0	0	0	0	3	66 453 543	1079_rain, 340_corn, 433_dust
