Concept	Density
463_emptypalmcone	0.05
468_equal	0.52
471_evilsocietynyogo	0.02
476_eye	0.98
477_face	0.48
479_faeces	0.45
480_faeceslittle	0.23
481_fall	0.45
485_family	0.52
17_fangannualdance	0.45
486_farm	0.98
487_farmhousecornstorage	0.18
489_father	0.91
490_fatherinlaw	0.32
491_faxstick	0.2
492_faxedpillar	0.05
493_fearn	0.48
495_feather	0.89
498_fellowmanfriendlyexpression	0.02
499_female	0.2
500_femalelizardbrown	0.2
501_femaleyouthdance	0.02
502_fence	0.5
503_fenceopenfarm	0.05
504_fenceopenfarm	0.02
505_fencesealedpalace	0.05
506_fencesealedpalace	0.05
507_fencerestrict	0.02
508_few	0.3
509_fibrepalmrope	0.02
510_fifteen15	0.45
511_fifty50	0.45
513_fightv	0.5
517_finger	0.48
518_fingerabscesswicklow	0.55
519_fingernail	0.5
521_fire	0.91
522_firesidestonesupport	0.45
523_firegun	0.36
524_fireside	0.75
525_firesidestone	0.5
527_firesidestonesupport	0.25
528_firewood	0.52
529_fish	0.55
530_fishnoserashes	0.18
531_fist	0.48
532_five5	0.45
533_fivehundred500	0.45
535_flatlongstones	0.02
536_flatlongstonesredulatesthesizeoffireside	0.55
538_flutabokohare	0.05
539_flute	0.5
540_flutehorizontal	0.05
541_flutevertical	0.45
542_flutedance	0.07
543_flybird	0.45
544_flylargerthannormalfly	0.09
545_foam	0.55
549_food	0.27
550_foot	0.5
551_forehead	0.43
552_forest	0.93
554_four4	0.45
555_fourhundred400	0.09
556_fourteen14	0.45
557_fourty40	0.45
558_fowl	1.0
559_friend	0.95
560_friendfemale	0.02
561_friendmale	0.05
563_frogedible	0.55
564_frogsmoothback	0.5
565_frogvariegated	0.23
566_frontdoor	0.55
567_fruit	0.55
568_fruitfly	0.05
571_fufudish	0.52
572_fungipimple	0.36
573_funnel	0.41
19_furrowbetweenridges	0.39
574_gallbladder	0.5
575_garbagepit	0.05
576_gardenegg	0.48
577_garri	0.18
579_gauze	0.05
580_gauzedryingmeat	0.05
581_gecko	0.39
585_giveoffer	0.45
586_gizzardfowl	0.91
588_go	0.45
592_goat	0.91
593_goitre	0.41
594_gong	0.77
595_gossipn	0.36
596_grass	0.57
597_grasshouse	0.05
598_grasshopper	0.98
599_grasshopperfattest	0.5
600_grasshoppermongwin	0.25
601_grave	1.0
602_graveyard	0.52
603_graveyard	0.5
604_greensnake	0.02
608_grindingstone	0.05
610_groundsoil	0.52
611_groundnut	0.2
612_groundnutbasket	0.02
613_groundnutpudding	0.07
614_groupcow	0.55
615_grow	0.45
616_guard	0.45
618_guidev	0.02
619_guitar	0.05
620_gun	0.91
621_hail	0.34
622_hailstone	0.8
623_hair	1.0
624_half	0.02
625_hand	0.98
626_handplantain1	0.5
627_handplantain2	0.55
628_handrattlecane	0.55
630_handle1	0.32
632_handleknifearm	0.45
637_hangedceiling	0.52
648_hawk	0.27
649_hegoat	0.52
650_heshe	0.66
651_head	1.0
652_headache	0.23
653_headpad	0.45
657_heart	1.0
659_heaven	0.32
660_heelbackfoot	0.52
663_hieniaswellingsaroundgroin	0.55
664_hill	0.98
665_hillgrass	0.52
670_hoe	0.52
672_hole	0.59
673_honeybee	0.32
674_honeyjuice	0.36
675_hornhead	0.95
676_horntrumpet	0.11
677_horntrumpetcow	0.55
679_horse	0.66
680_hot	0.39
681_hotheatair	0.09
682_hotheatsolid	0.36
683_hour	0.5
684_house	0.95
685_housefly	0.5
686_huckleberrynjamanjama	0.55
689_hunger	0.02
692_huntn	0.05
694_hunter	0.11
696_husband	0.52
697_hut	0.05
698_hutkoa	0.45
699_hutkob	0.07
1557_nkohleaf	0.5
1558_nkohtree	0.5
20_i	0.5
706_indianbamboo	0.45
707_indianbamboo	0.05
712_injunctionorder	0.36
715_innerpalmnutscone	0.05
716_intestine	0.95
718_iron	0.55
719_irontrap	0.36
721_itchingcatarrh	0.5
722_jaw	1.0
724_jealousman	0.14
725_jealousy	0.3
728_jigger	0.02
735_juju	0.27
736_jujuhouse	0.41
737_jump	0.45
738_koantyellow	0.5
739_kocricket	0.36
740_kosnake	0.18
741_koant	0.43
742_kobaghanged	0.05
743_kobat	0.32
744_kobee	0.02
745_kocalabash	0.05
747_kocap	0.45
751_kococoyamb	0.05
752_kococoyamc	0.09
753_kodragonfly	0.02
754_kofemaledancefemaleritesociety	0.09
755_kofish	0.05
756_kofishwhite	0.16
757_koflyslowpainfulbite	0.09
758_koflyslowpainfulbite	0.25
759_koflysmartbitesucks	0.39
760_koflysmartbitesucks	0.45
761_koflysuckscompound	0.45
