ID,Name,Concepticon_ID,Concepticon_Gloss
315_cocoyameggyolk,cocoyam (egg yolk),,
316_cocoyammakabo,cocoyam (makabo),,
317_cocoyamnative,cocoyam (native),,
318_cocoyamnativered,"cocoyam (native, red)",,
320_cocoyamleafsoup,cocoyam leaf (soup),,
321_coffin,coffin,,
322_cola,cola,,
323_cold,cold,,
324_coldair,cold (air),,
325_coldsolid,cold (solid),,
330_comb,comb,,
331_come,come,,
334_compound,compound,,
336_cook,cook,,
339_cookingspoon,cooking spoon,,
340_corn,corn,,
341_cornbeer,corn beer,,
342_cornflour,corn flour,,
343_cornfufu,corn fufu,,
345_coughn,cough (n),,
346_countv,count (v),,
347_country,country,,
348_cowcattle,"cow, cattle",,
349_cowpeabean,cowpea bean,,
350_cowpealeaf,cowpea leaf,,
351_crab,crab,,
352_crabcastlots,crab (cast lots),,
359_cricket,cricket,,
361_crowdgroup,"crowd, group",,
362_cryn,cry (n),,
363_cryv,cry (v),,
365_cup,cup,,
366_cupsieve,cup sieve,,
371_cutlass,cutlass,,
373_cutlasssmall,cutlass (small),,
374_dance,dance,,
376_dancev,dance (v),,
379_datepalm,date palm,,
380_datepalm,datepalm,,
381_day,day,,
382_death,death,,
385_deitygodgod,"deity, god, God",,
391_devil,devil,,
392_diarrhoea,diarrhoea,,
393_diev,die (v),,
394_dig,dig,,
397_dirts,dirts,,
400_discussion,discussion,,
401_dish,dish,,
402_dishaluminium,dish (aluminium),,
403_dishpan,dish (pan),,
405_dishpotclay,dish/pot (clay),,
412_dog,dog,,
414_door,door,,
415_doorframe,door (frame),,
416_doorlid,door (lid),,
417_doorlidspace,door (lid/space),,
418_doorspace,door (space),,
420_doorwayspace,doorway (space),,
422_dragonfly,dragonfly,,
426_drinkv,drink (v),,
428_drum,drum,,
429_drumbothside,drum (bothside),,
430_dryseason,dry season,,
432_duck,duck,,
433_dust,dust,,
434_dysentry,dysentry,,
435_ear,ear,,
436_earth,earth,,
437_earthworm,earthworm,,
438_eat,eat,,
442_eczema,eczema,,
443_egg,egg,,
444_egussi,egussi,,
445_egussicracked,egussi cracked,,
446_egussipudding,egussi pudding,,
447_egussiuncracked,egussi uncracked,,
448_eight8,eight (8),,
450_eighteen18,eighteen (18),,
451_eighty80,eighty (80),,
452_elbow,elbow,,
453_elderbirth,elder (birth),,
454_elderculturalinitiationrites,elder (cultural initiation rites),,
455_eldersdance,elders dance,,
456_electricfish,electric fish,,
