ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
AOMNgun2-277_child-1,,AOMNgun2,277_child,wán~wâw / bɛkyâŋ ~wâwɛ́nwɪ̂,wán,w a.⁵/a n,,,,,^ w á n $,default
APBMumfu1-277_child-1,,APBMumfu1,277_child,wɛ́ʼn / ɲɔ́m,wɛ́ʼn,w ɛ.⁵/ɛ ʔ n,,,,,^ w ɛ́ ʼ n $,default
DNMMumfu2-277_child-1,,DNMMumfu2,277_child,wɛ́ʼn / ɲɔ́m,wɛ́ʼn,w ɛ.⁵/ɛ ʔ n,,,,,^ w ɛ́ ʼ n $,default
BKBMashi2-277_child-1,,BKBMashi2,277_child,ŋwə́ / bím,ŋwə́,ŋ w ə.⁵/ə,,,,,^ ŋ w ə́ $,default
KFKMashi1-277_child-1,,KFKMashi1,277_child,ŋwə́ / bín,ŋwə́,ŋ w ə.⁵/ə,,,,,^ ŋ w ə́ $,default
ABSMissong1-277_child-1,,ABSMissong1,277_child,wâ / bàbyáŋbʊ́,wâ,w a.⁵¹/a,,,,,^ w â $,default
AGAMissong2-277_child-1,,AGAMissong2,277_child,wá ~ wó / bàbya᷇ŋ,wá,w a.⁵/a,,,,,^ w á $,default
NVBAbar7-487_father-1,,NVBAbar7,487_father,tà~bə̀bá / àtìlə́bʷɪ̂,tà,t a.¹/a,,,,,^ t à $,default
ECLAbar8-487_father-1,,ECLAbar8,487_father,bʊ̀bá~tʲə̀lə́ / bʷɪ̀tʲə̀lə́,bʊ̀bá,b ʊ.¹/ʊ b a.⁵/a,,,,,^ b ʊ̀ b á $,default
NMAAbar1-487_father-1,,NMAAbar1,487_father,téà / bə̀tìlô,téà,t e.⁵/e a.¹/a,,,,,^ t é à $,default
NACAbar2-487_father-1,,NACAbar2,487_father,tə̀à ~ bàbá / bə̀tə́à,tə̀à,t ə.¹/ə a.¹/a,,,,,^ t ə̀ à $,default
NEMAjumbu9-487_father-1,,NEMAjumbu9,487_father,tâː~tâːtá~tátò / bàtâːtá~bə̀tâː,tâː,t aː.⁵¹/aː,,,,,^ t âː $,default
NVIAjumbu1-487_father-1,,NVIAjumbu1,487_father,tsè~bâːbə́ / àtsèː~àbâbə́,tsè,ts e.¹/e,,,,,^ ts è $,default
KMNAjumbu2-487_father-1,,KMNAjumbu2,487_father,tsè / brǎs,tsè,ts e.¹/e,,,,,^ ts è $,default
KDCAjumbu10-487_father-1,,KDCAjumbu10,487_father,bâbə́~bʷâ / bə̀bâbə́~ábʷá,bâbə́,b a.⁵¹/a b ə.⁵/ə,,,,,^ b â b ə́ $,default
ENBBiya1-487_father-1,,ENBBiya1,487_father,ʊ̀bá~tɛ̂ / pàpá~bàtɛ̂,ʊ̀bá,ʊ.¹/ʊ b a.⁵/a,,,,,^ ʊ̀ b á $,default
ICNBiya2-487_father-1,,ICNBiya2,487_father,tʲě / bə̀tʲěː,tʲě,tʲ e.¹⁵/e,,,,,^ tʲ ě $,default
NNBBuu3-487_father-1,,NNBBuu3,487_father,tə̌ː / bə̀tǎː,tə̌ː,t əː.¹⁵/əː,,,,,^ t ə̌ː $,default
MNJBuu4-487_father-1,,MNJBuu4,487_father,tə̌ː / bə̀tə̌ː,tə̌ː,t əː.¹⁵/əː,,,,,^ t ə̌ː $,default
KEMBuu1-487_father-1,,KEMBuu1,487_father,tǎː / bə̀tə̌ː,tǎː,t aː.¹⁵/aː,,,,,^ t ǎː $,default
KCYBuu2-487_father-1,,KCYBuu2,487_father,tàː / bə̀tàː,tàː,t aː.¹/aː,,,,,^ t àː $,default
KHKFang12-487_father-1,,KHKFang12,487_father,tɪ̀lə́ / bə̀tɪ̀lə́,tɪ̀lə́,t ɪ.¹/ɪ l ə.⁵/ə,,,,,^ t ɪ̀ l ə́ $,default
